When	WRB	when
the	DT	the
X-Press-Pearl	NP	X-Press-Pearl
cargo	NN	cargo
ship	NN	ship
caught	VBD	catch
fire	NN	fire
and	CC	and
sank	VBD	sink
off	RP	off
the	DT	the
coast	NN	coast
of	IN	of
Sri	NP	Sri
Lanka	NP	Lanka
,	,	,
the	DT	the
disaster	NN	disaster
did	VBD	do
not	RB	not
stay	VB	stay
at	IN	at
sea	NN	sea
.	SENT	.
It	PP	it
came	VBD	come
ashore	RB	ashore
in	IN	in
waves	NNS	wave
of	IN	of
charred	VBN	char
debris	NN	debris
,	,	,
hazardous	JJ	hazardous
cargo	NN	cargo
and	CC	and
billions	NNS	billion
of	IN	of
tiny	JJ	tiny
plastic	JJ	plastic
nurdles	NNS	<unknown>
that	WDT	that
coated	VBD	coat
the	DT	the
beaches	NNS	beach
and	CC	and
seeped	VBN	seep
into	IN	into
everyday	JJ	everyday
life	NN	life
.	SENT	.
For	IN	for
coastal	JJ	coastal
communities	NNS	community
whose	WP$	whose
lives	NNS	life
and	CC	and
identities	NNS	identity
are	VBP	be
bound	VBN	bind
to	TO	to
the	DT	the
ocean	NN	ocean
,	,	,
the	DT	the
impact	NN	impact
was	VBD	be
immediate	JJ	immediate
and	CC	and
brutal	JJ	brutal
.	SENT	.
An	DT	an
80	CD	@card@
kilometre	NN	kilometre
fishing	NN	fishing
ban	NN	ban
was	VBD	be
imposed	VBN	impose
around	IN	around
the	DT	the
wreck	NN	wreck
,	,	,
cutting	VBG	cut
off	RP	off
the	DT	the
main	JJ	main
source	NN	source
of	IN	of
income	NN	income
for	IN	for
thousands	NNS	thousand
of	IN	of
fishermen	NNS	fisherman
and	CC	and
their	PP$	their
families	NNS	family
.	SENT	.
Many	JJ	many
were	VBD	be
already	RB	already
on	IN	on
the	DT	the
brink	NN	brink
after	IN	after
months	NNS	month
of	IN	of
pandemic	JJ	pandemic
lockdowns	NNS	lockdown
that	WDT	that
had	VBD	have
shrunk	VBN	shrink
markets	NNS	market
and	CC	and
pushed	VBN	push
household	NN	household
debts	NNS	debt
higher	RBR	higher
.	SENT	.
Then	RB	then
came	VBD	come
heavy	JJ	heavy
rains	NNS	rain
and	CC	and
flooding	NN	flooding
,	,	,
compounding	VBG	compound
the	DT	the
crisis	NN	crisis
and	CC	and
making	VBG	make
recovery	NN	recovery
even	RB	even
harder	RBR	harder
.	SENT	.
Photographer	NN	photographer
and	CC	and
activist	NN	activist
Tashiya	NP	<unknown>
stepped	VBD	step
into	IN	into
this	DT	this
unfolding	VBG	unfold
catastrophe	NN	catastrophe
with	IN	with
her	PP$	her
camera	NN	camera
,	,	,
documenting	VBG	document
what	WP	what
the	DT	the
official	JJ	official
statements	NNS	statement
could	MD	could
not	RB	not
fully	RB	fully
capture	VB	capture
:	:	:
beaches	NNS	beach
littered	VBN	litter
with	IN	with
nurdles	NNS	<unknown>
and	CC	and
burned	VBN	burn
fragments	NNS	fragment
of	IN	of
cargo	NN	cargo
,	,	,
the	DT	the
sheen	NN	sheen
and	CC	and
smell	NN	smell
of	IN	of
chemical	NN	chemical
contamination	NN	contamination
,	,	,
and	CC	and
the	DT	the
haunting	VBG	haunt
sight	NN	sight
of	IN	of
dead	JJ	dead
marine	JJ	marine
life	NN	life
washed	VBN	wash
ashore	RB	ashore
.	SENT	.
Her	PP$	her
images	NNS	image
trace	VB	trace
the	DT	the
outline	NN	outline
of	IN	of
a	DT	a
longer	JJR	long
,	,	,
slower	JJR	slow
disaster	NN	disaster
—	:	-
long-term	JJ	long-term
damage	NN	damage
to	TO	to
coastal	JJ	coastal
and	CC	and
marine	JJ	marine
ecosystems	NNS	ecosystem
that	WDT	that
will	MD	will
not	RB	not
be	VB	be
washed	VBN	wash
away	RB	away
with	IN	with
the	DT	the
next	JJ	next
tide	NN	tide
.	SENT	.
The	DT	the
nurdles	NNS	<unknown>
themselves	PP	themselves
,	,	,
billions	NNS	billion
of	IN	of
lentil-sized	JJ	lentil-sized
plastic	JJ	plastic
pellets	NNS	pellet
,	,	,
are	VBP	be
a	DT	a
symbol	NN	symbol
of	IN	of
a	DT	a
much	RB	much
deeper	JJR	deep
problem	NN	problem
.	SENT	.
They	PP	they
are	VBP	be
the	DT	the
raw	JJ	raw
material	NN	material
of	IN	of
the	DT	the
global	JJ	global
plastics	NNS	plastic
industry	NN	industry
,	,	,
designed	VBN	design
to	TO	to
be	VB	be
melted	VBN	melt
down	RP	down
and	CC	and
turned	VBD	turn
into	IN	into
countless	JJ	countless
products	NNS	product
.	SENT	.
Spilled	VBN	spill
into	IN	into
the	DT	the
ocean	NN	ocean
,	,	,
they	PP	they
become	VBP	become
a	DT	a
near-permanent	JJ	near-permanent
pollutant	NN	pollutant
,	,	,
impossible	JJ	impossible
to	TO	to
fully	RB	fully
clean	VB	clean
up	RB	up
and	CC	and
easy	RB	easy
to	TO	to
mistake	VB	mistake
for	IN	for
food	NN	food
by	IN	by
fish	NN	fish
,	,	,
turtles	NNS	turtle
and	CC	and
seabirds	NNS	seabird
.	SENT	.
The	DT	the
hazardous	JJ	hazardous
cargo	NN	cargo
and	CC	and
chemicals	NNS	chemical
released	VBN	release
from	IN	from
the	DT	the
X-Press-Pearl	NP	X-Press-Pearl
add	VB	add
another	DT	another
layer	NN	layer
of	IN	of
toxicity	NN	toxicity
,	,	,
threatening	VBG	threaten
human	JJ	human
health	NN	health
,	,	,
food	NN	food
security	NN	security
and	CC	and
biodiversity	NN	biodiversity
.	SENT	.
From	IN	from
what	WP	what
she	PP	she
witnessed	VBN	witness
on	IN	on
Sri	NP	Sri
Lanka	NP	Lanka
’s	POS	's
beaches	NNS	beach
,	,	,
Tashiya	NP	<unknown>
is	VBZ	be
clear	JJ	clear
about	IN	about
what	WP	what
needs	VBZ	need
to	TO	to
change	VB	change
.	SENT	.
She	PP	she
calls	VBZ	call
for	IN	for
a	DT	a
halt	NN	halt
to	TO	to
plastic	JJ	plastic
production	NN	production
,	,	,
arguing	VBG	argue
that	IN	that
the	DT	the
world	NN	world
cannot	MD	can
continue	VB	continue
to	TO	to
churn	VB	churn
out	RP	out
ever	RB	ever
more	RBR	more
plastic	JJ	plastic
and	CC	and
expect	VB	expect
frontline	NN	frontline
communities	NNS	community
and	CC	and
ecosystems	NNS	ecosystem
to	TO	to
absorb	VB	absorb
the	DT	the
cost	NN	cost
.	SENT	.
Instead	RB	instead
,	,	,
she	PP	she
urges	VBZ	urge
a	DT	a
shift	NN	shift
to	TO	to
a	DT	a
truly	RB	truly
sustainable	JJ	sustainable
economy	NN	economy
that	WDT	that
prioritises	VBZ	<unknown>
the	DT	the
health	NN	health
of	IN	of
people	NNS	people
and	CC	and
planet	NN	planet
over	IN	over
short-term	JJ	short-term
profit	NN	profit
.	SENT	.
That	DT	that
