Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
people	NNS	people
set	VBD	set
sail	NN	sail
from	IN	from
Canada	NP	Canada
toward	IN	toward
a	DT	a
remote	JJ	remote
Alaskan	JJ	Alaskan
island	NN	island
to	TO	to
protest	VB	protest
a	DT	a
nuclear	JJ	nuclear
bomb	NN	bomb
test	NN	test
.	SENT	.
They	PP	they
were	VBD	be
few	JJ	few
in	IN	in
number	NN	number
and	CC	and
facing	VBG	face
a	DT	a
powerful	JJ	powerful
government	NN	government
determined	VBN	determine
to	TO	to
proceed	VB	proceed
.	SENT	.
That	DT	that
journey	NN	journey
did	VBD	do
more	RBR	more
than	IN	than
challenge	VB	challenge
a	DT	a
single	JJ	single
bomb	NN	bomb
;	:	;
it	PP	it
sparked	VBD	spark
a	DT	a
wave	NN	wave
of	IN	of
global	JJ	global
action	NN	action
and	CC	and
gave	VBD	give
birth	NN	birth
to	TO	to
Greenpeace	NP	Greenpeace
.	SENT	.
Those	DT	those
early	JJ	early
crew	NN	crew
members	NNS	member
and	CC	and
supporters	NNS	supporter
could	MD	could
not	RB	not
have	VB	have
known	VBN	know
how	WRB	how
far	RB	far
their	PP$	their
act	NN	act
of	IN	of
courage	NN	courage
and	CC	and
conscience	NN	conscience
would	MD	would
reach	VB	reach
.	SENT	.
What	WP	what
began	VBD	begin
as	IN	as
a	DT	a
local	JJ	local
initiative	NN	initiative
,	,	,
driven	VBN	drive
largely	RB	largely
by	IN	by
a	DT	a
small	JJ	small
,	,	,
predominantly	RB	predominantly
male	JJ	male
,	,	,
white	JJ	white
group	NN	group
,	,	,
has	VBZ	have
become	VBN	become
a	DT	a
diverse	JJ	diverse
,	,	,
global	JJ	global
movement	NN	movement
.	SENT	.
Over	IN	over
the	DT	the
decades	NNS	decade
,	,	,
people	NNS	people
from	IN	from
many	JJ	many
backgrounds	NNS	background
and	CC	and
regions	NNS	region
have	VBP	have
helped	VBN	help
reshape	VB	reshape
Greenpeace	NP	Greenpeace
into	IN	into
an	DT	an
organization	NN	organization
that	WDT	that
works	VBZ	work
across	IN	across
borders	NNS	border
and	CC	and
cultures	NNS	culture
,	,	,
united	VBN	unite
by	IN	by
a	DT	a
shared	VBN	share
commitment	NN	commitment
to	TO	to
protect	VB	protect
the	DT	the
living	VBG	live
world	NN	world
.	SENT	.
Along	IN	along
the	DT	the
way	NN	way
,	,	,
this	DT	this
movement	NN	movement
has	VBZ	have
helped	VBN	help
win	VB	win
critical	JJ	critical
environmental	JJ	environmental
protections	NNS	protection
.	SENT	.
Together	RB	together
with	IN	with
allies	NNS	ally
,	,	,
Greenpeace	NP	Greenpeace
has	VBZ	have
contributed	VBN	contribute
to	TO	to
securing	VBG	secure
moratoriums	NNS	moratorium
on	IN	on
commercial	JJ	commercial
whaling	NN	whaling
,	,	,
helping	VBG	help
to	TO	to
give	VB	give
some	DT	some
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
most	JJS	most
threatened	VBN	threaten
whale	NN	whale
populations	NNS	population
a	DT	a
fighting	NN	fighting
