When	WRB	when
the	DT	the
first	JJ	first
reports	NNS	report
of	IN	of
COVID-19	NP	<unknown>
reached	VBD	reach
São	NP	São
Gabriel	NP	Gabriel
da	NP	da
Cachoeira	NP	<unknown>
,	,	,
in	IN	in
the	DT	the
Brazilian	JJ	Brazilian
Amazon	NP	Amazon
,	,	,
Indigenous	JJ	indigenous
artisans	NNS	artisan
Elizângela	NP	<unknown>
da	NP	da
Silva	NP	Silva
(	(	(
Baré	NP	<unknown>
)	)	)
and	CC	and
Janete	NP	<unknown>
Alves	NP	Alves
(	(	(
Desana	NP	<unknown>
)	)	)
were	VBD	be
focused	VBN	focus
on	IN	on
their	PP$	their
usual	JJ	usual
work	NN	work
:	:	:
handicrafts	NNS	handicraft
that	WDT	that
help	VBP	help
sustain	VB	sustain
families	NNS	family
and	CC	and
keep	VB	keep
ancestral	JJ	ancestral
knowledge	NN	knowledge
alive	JJ	alive
.	SENT	.
As	IN	as
the	DT	the
pandemic	JJ	pandemic
advanced	JJ	advanced
and	CC	and
news	NN	news
showed	VBD	show
people	NNS	people
sewing	VBG	sew
masks	NNS	mask
at	IN	at
home	NN	home
,	,	,
they	PP	they
decided	VBD	decide
to	TO	to
transform	VB	transform
their	PP$	their
skills	NNS	skill
into	IN	into
a	DT	a
tool	NN	tool
for	IN	for
collective	JJ	collective
protection	NN	protection
.	SENT	.
From	IN	from
their	PP$	their
roles	NNS	role
as	IN	as
coordinators	NNS	coordinator
of	IN	of
the	DT	the
Women	NP	Women
’s	POS	's
Department	NP	Department
of	IN	of
FOIRN	NP	<unknown>
(	(	(
Federation	NP	Federation
of	IN	of
Indigenous	JJ	indigenous
Organizations	NNS	organization
of	IN	of
the	DT	the
Rio	NP	Rio
Negro	NP	Negro
)	)	)
,	,	,
they	PP	they
began	VBD	begin
mobilizing	VBG	mobilize
other	JJ	other
artisans	NNS	artisan
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
Using	VBG	use
patterns	NNS	pattern
that	WDT	that
had	VBD	have
been	VBN	be
donated	VBN	donate
and	CC	and
online	JJ	online
tutorials	NNS	tutorial
as	IN	as
guidance	NN	guidance
,	,	,
they	PP	they
organized	VBD	organize
a	DT	a
network	NN	network
of	IN	of
women	NNS	woman
to	TO	to
produce	VB	produce
protective	JJ	protective
masks	NNS	mask
for	IN	for
Indigenous	JJ	indigenous
communities	NNS	community
along	IN	along
the	DT	the
Rio	NP	Rio
Negro	NP	Negro
.	SENT	.
What	WP	what
started	VBD	start
as	IN	as
a	DT	a
response	NN	response
to	TO	to
worrying	JJ	worrying
images	NNS	image
on	IN	on
television	NN	television
quickly	RB	quickly
became	VBD	become
a	DT	a
large-scale	JJ	large-scale
effort	NN	effort
.	SENT	.
Together	RB	together
,	,	,
they	PP	they
produced	VBD	produce
more	JJR	more
than	IN	than
16,000	CD	@card@
masks	NNS	mask
,	,	,
which	WDT	which
were	VBD	be
distributed	VBN	distribute
to	TO	to
23	CD	@card@
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
in	IN	in
the	DT	the
Rio	NP	Rio
Negro	NP	Negro
region	NN	region
.	SENT	.
This	DT	this
work	NN	work
was	VBD	be
supported	VBN	support
financially	RB	financially
by	IN	by
the	DT	the
“	``	"
Rio	NP	Rio
Negro	NP	Negro
,	,	,
Nós	NP	<unknown>
Cuidamos	NP	<unknown>
”	''	"
(	(	(
“	``	"
Rio	NP	Rio
Negro	NP	Negro
,	,	,
We	PP	we
Take	VBP	take
Care	NP	Care
”	''	"
)	)	)
project	NN	project
,	,	,
and	CC	and
strengthened	VBD	strengthen
by	IN	by
Greenpeace	NP	Greenpeace
’s	POS	's
Wings	NP	Wings
of	IN	of
Emergency	NP	Emergency
initiative	NN	initiative
,	,	,
which	WDT	which
provided	VBD	provide
sewing	NN	sewing
machines	NNS	machine
to	TO	to
expand	VB	expand
production	NN	production
.	SENT	.
Behind	IN	behind
the	DT	the
numbers	NNS	number
lies	VBZ	lie
a	DT	a
story	NN	story
marked	VBD	mark
by	IN	by
grief	NN	grief
and	CC	and
resilience	NN	resilience
.	SENT	.
The	DT	the
pandemic	NN	pandemic
brought	VBD	bring
painful	JJ	painful
losses	NNS	loss
to	TO	to
these	DT	these
communities	NNS	community
,	,	,
including	VBG	include
elders	NNS	elder
who	WP	who
were	VBD	be
cremated	VBN	cremate
without	IN	without
the	DT	the
traditional	JJ	traditional
funeral	JJ	funeral
rites	NNS	rite
that	WDT	that
