Europe	NP	Europe
is	VBZ	be
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
volatile	JJ	volatile
energy	NN	energy
crisis	NN	crisis
.	SENT	.
War	NN	war
,	,	,
soaring	VBG	soar
energy	NN	energy
prices	NNS	price
,	,	,
inflation	NN	inflation
and	CC	and
recession	NN	recession
are	VBP	be
colliding	VBG	collide
with	IN	with
escalating	VBG	escalate
climate	NN	climate
impacts	NNS	impact
.	SENT	.
Together	RB	together
,	,	,
they	PP	they
are	VBP	be
pushing	VBG	push
millions	NNS	million
of	IN	of
people	NNS	people
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
energy	NN	energy
poverty	NN	poverty
this	DT	this
winter	NN	winter
.	SENT	.
This	DT	this
moment	NN	moment
demands	VBZ	demand
more	RBR	more
than	IN	than
small	JJ	small
,	,	,
individual	JJ	individual
tweaks	NNS	tweak
.	SENT	.
It	PP	it
calls	VBZ	call
for	IN	for
coordinated	VBN	coordinate
,	,	,
structural	JJ	structural
changes	NNS	change
that	WDT	that
cut	VBD	cut
our	PP$	our
dependence	NN	dependence
on	IN	on
gas	NN	gas
and	CC	and
oil	NN	oil
,	,	,
protect	VB	protect
people	NNS	people
from	IN	from
hardship	NN	hardship
,	,	,
and	CC	and
accelerate	VB	accelerate
the	DT	the
shift	NN	shift
to	TO	to
clean	VB	clean
,	,	,
renewable	JJ	renewable
energy	NN	energy
.	SENT	.
One	CD	one
immediate	JJ	immediate
step	NN	step
is	VBZ	be
to	TO	to
reduce	VB	reduce
gas	NN	gas
,	,	,
oil	NN	oil
and	CC	and
electricity	NN	electricity
use	NN	use
in	IN	in
a	DT	a
fair	JJ	fair
and	CC	and
planned	JJ	planned
way	NN	way
.	SENT	.
That	DT	that
means	VBZ	mean
prioritising	JJ	<unknown>
essential	JJ	essential
uses	NNS	use
and	CC	and
critical	JJ	critical
sectors	NNS	sector
,	,	,
rather	RB	rather
than	IN	than
letting	VBG	let
the	DT	the
market	NN	market
alone	RB	alone
decide	VB	decide
who	WP	who
can	MD	can
afford	VB	afford
energy	NN	energy
and	CC	and
who	WP	who
is	VBZ	be
left	VBN	leave
in	IN	in
the	DT	the
cold	NN	cold
.	SENT	.
Industry	NN	industry
must	MD	must
be	VB	be
part	NN	part
of	IN	of
this	DT	this
effort	NN	effort
,	,	,
through	IN	through
rationing	VBG	ration
and	CC	and
mandatory	JJ	mandatory
measures	NNS	measure
that	WDT	that
guarantee	VBP	guarantee
real	JJ	real
reductions	NNS	reduction
in	IN	in
fossil	JJ	fossil
fuel	NN	fuel
consumption	NN	consumption
.	SENT	.
Some	DT	some
countries	NNS	country
are	VBP	be
already	RB	already
showing	VBG	show
what	WP	what
this	DT	this
can	MD	can
look	VB	look
like	IN	like
in	IN	in
practice	NN	practice
:	:	:
in	IN	in
the	DT	the
Netherlands	NPS	Netherlands
,	,	,
for	IN	for
example	NN	example
,	,	,
gas	NN	gas
use	NN	use
has	VBZ	have
been	VBN	be
cut	VBN	cut
by	IN	by
25	CD	@card@
%	NN	%
,	,	,
demonstrating	VBG	demonstrate
that	IN	that
significant	JJ	significant
reductions	NNS	reduction
are	VBP	be
possible	JJ	possible
when	WRB	when
governments	NNS	government
act	VBP	act
.	SENT	.
Transport	NN	transport
reforms	NNS	reform
are	VBP	be
another	DT	another
powerful	JJ	powerful
tool	NN	tool
.	SENT	.
Affordable	JJ	affordable
public	JJ	public
transport	NN	transport
tickets	NNS	ticket
can	MD	can
make	VB	make
it	PP	it
easier	JJR	easy
and	CC	and
cheaper	JJR	cheap
for	IN	for
people	NNS	people
to	TO	to
leave	VB	leave
the	DT	the
car	NN	car
at	IN	at
home	NN	home
.	SENT	.
Banning	VBG	ban
short-haul	NN	short-haul
flights	NNS	flight
where	WRB	where
rail	NN	rail
alternatives	NNS	alternative
exist	VBP	exist
,	,	,
and	CC	and
ending	VBG	end
the	DT	the
use	NN	use
of	IN	of
private	JJ	private
jets	NNS	jet
for	IN	for
luxury	NN	luxury
travel	NN	travel
,	,	,
would	MD	would
cut	VB	cut
wasteful	JJ	wasteful
oil	NN	oil
consumption	NN	consumption
and	CC	and
unnecessary	JJ	unnecessary
emissions	NNS	emission
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
encouraging	VBG	encourage
and	CC	and
supporting	VBG	support
more	RBR	more
efficient	JJ	efficient
driving	NN	driving
can	MD	can
further	RBR	further
reduce	VB	reduce
fuel	NN	fuel
use	NN	use
.	SENT	.
Together	RB	together
,	,	,
these	DT	these
measures	NNS	measure
would	MD	would
not	RB	not
only	RB	only
lower	JJR	low
emissions	NNS	emission
,	,	,
but	CC	but
also	RB	also
save	VB	save
an	DT	an
estimated	JJ	estimated
€63	NN	<unknown>
billion	NNS	billion
in	IN	in
oil	NN	oil
costs	NNS	cost
.	SENT	.
In	IN	in
buildings	NNS	building
,	,	,
urgent	JJ	urgent
action	NN	action
can	MD	can
both	CC	both
protect	VB	protect
households	NNS	household
and	CC	and
slash	VB	slash
fossil	JJ	fossil
fuel	NN	fuel
demand	NN	demand
.	SENT	.
Scaling	VBG	scale
up	RP	up
heat	NN	heat
pumps	NNS	pump
,	,	,
improving	VBG	improve
insulation	NN	insulation
and	CC	and
rolling	VBG	roll
out	RP	out
more	JJR	more
rooftop	NN	rooftop
solar	JJ	solar
can	MD	can
dramatically	RB	dramatically
reduce	VB	reduce
the	DT	the
amount	NN	amount
of	IN	of
gas	NN	gas
and	CC	and
oil	NN	oil
needed	VBN	need
to	TO	to
heat	VB	heat
homes	NNS	home
and	CC	and
workplaces	NNS	workplace
.	SENT	.
These	DT	these
solutions	NNS	solution
are	VBP	be
already	RB	already
available	JJ	available
and	CC	and
can	MD	can
be	VB	be
deployed	VBN	deploy
quickly	RB	quickly
with	IN	with
the	DT	the
right	JJ	right
political	JJ	political
will	NN	will
and	CC	and
financial	JJ	financial
support	NN	support
.	SENT	.
Financing	VBG	finance
this	DT	this
transition	NN	transition
fairly	RB	fairly
is	VBZ	be
crucial	JJ	crucial
.	SENT	.
Taxing	VBG	tax
the	DT	the
windfall	NN	windfall
profits	NNS	profit
of	IN	of
fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
can	MD	can
generate	VB	generate
the	DT	the
resources	NNS	resource
needed	VBN	need
to	TO	to
support	VB	support
vulnerable	JJ	vulnerable
households	NNS	household
through	IN	through
the	DT	the
crisis	NN	crisis
,	,	,
helping	VBG	help
them	PP	them
pay	VB	pay
their	PP$	their
bills	NNS	bill
and	CC	and
invest	VB	invest
in	IN	in
energy-saving	VBG	energy-save
measures	NNS	measure
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
governments	NNS	government
must	MD	must
stop	VB	stop
propping	VBG	prop
up	RP	up
the	DT	the
very	JJ	very
system	NN	system
that	WDT	that
created	VBD	create
this	DT	this
crisis	NN	crisis
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
Ending	VBG	end
subsidies	NNS	subsidy
for	IN	for
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
halting	VBG	halt
any	DT	any
further	JJR	further
expansion	NN	expansion
of	IN	of
coal	NN	coal
,	,	,
oil	NN	oil
and	CC	and
gas	NN	gas
infrastructure	NN	infrastructure
are	VBP	be
essential	JJ	essential
steps	NNS	step
.	SENT	.
A	DT	a
just	JJ	just
transition	NN	transition
away	RB	away
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
towards	IN	towards
100	CD	@card@
%	NN	%
renewable	JJ	renewable
energy	NN	energy
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
climate	NN	climate
necessity	NN	necessity
;	:	;
it	PP	it
is	VBZ	be
also	RB	also
the	DT	the
clearest	JJS	clear
route	NN	route
out	RB	out
of	IN	of
the	DT	the
current	JJ	current
crisis	NN	crisis
.	SENT	.
By	IN	by
cutting	VBG	cut
wasteful	JJ	wasteful
fossil	JJ	fossil
fuel	NN	fuel
use	NN	use
,	,	,
reshaping	VBG	reshape
transport	NN	transport
,	,	,
upgrading	VBG	upgrade
our	PP$	our
homes	NNS	home
and	CC	and
energy	NN	energy
systems	NNS	system
,	,	,
and	CC	and
making	VBG	make
polluters	NNS	polluter
pay	VB	pay
,	,	,
Europe	NP	Europe
can	MD	can
protect	VB	protect
people	NNS	people
this	DT	this
winter	NN	winter
and	CC	and
build	VB	build
a	DT	a
safer	JJR	safe
,	,	,
fairer	JJR	fair
energy	NN	energy
future	NN	future
for	IN	for
everyone	NN	everyone
.	SENT	.
