When	WRB	when
Minister	NP	Minister
Gwede	NP	<unknown>
Mantashe	NP	<unknown>
approved	VBD	approve
Shell	NP	Shell
’s	POS	's
seismic	JJ	seismic
survey	NN	survey
for	IN	for
oil	NN	oil
and	CC	and
gas	NN	gas
exploration	NN	exploration
off	IN	off
South	NP	South
Africa	NP	Africa
’s	POS	's
Wild	NP	Wild
Coast	NP	Coast
,	,	,
it	PP	it
came	VBD	come
despite	IN	despite
strong	JJ	strong
local	JJ	local
opposition	NN	opposition
and	CC	and
in	IN	in
the	DT	the
immediate	JJ	immediate
aftermath	NN	aftermath
of	IN	of
global	JJ	global
climate	NN	climate
talks	NNS	talk
at	IN	at
COP26	NP	<unknown>
that	WDT	that
failed	VBD	fail
to	TO	to
secure	VB	secure
the	DT	the
action	NN	action
needed	VBD	need
to	TO	to
avert	VB	avert
climate	NN	climate
breakdown	NN	breakdown
.	SENT	.
Communities	NNS	community
,	,	,
fishers	NNS	fisher
,	,	,
activists	NNS	activist
and	CC	and
civil	JJ	civil
society	NN	society
organisations	NNS	organisation
have	VBP	have
been	VBN	be
clear	JJ	clear
:	:	:
Shell	NP	Shell
is	VBZ	be
not	RB	not
welcome	JJ	welcome
on	IN	on
the	DT	the
Wild	NP	Wild
Coast	NP	Coast
.	SENT	.
That	DT	that
resistance	NN	resistance
is	VBZ	be
rooted	VBN	root
not	RB	not
only	RB	only
in	IN	in
concern	NN	concern
for	IN	for
the	DT	the
ocean	NN	ocean
and	CC	and
the	DT	the
climate	NN	climate
,	,	,
but	CC	but
also	RB	also
in	IN	in
Shell	NP	Shell
’s	POS	's
track	NN	track
record	NN	record
elsewhere	RB	elsewhere
on	IN	on
the	DT	the
African	JJ	African
continent	NN	continent
.	SENT	.
In	IN	in
Nigeria	NP	Nigeria
’s	POS	's
Niger	NP	Niger
Delta	NP	Delta
,	,	,
Shell	NP	Shell
’s	POS	's
operations	NNS	operation
have	VBP	have
been	VBN	be
marked	VBN	mark
by	IN	by
oil	NN	oil
spills	NNS	spill
,	,	,
severe	JJ	severe
environmental	JJ	environmental
damage	NN	damage
,	,	,
and	CC	and
decades	NNS	decade
of	IN	of
protests	NNS	protest
from	IN	from
communities	NNS	community
whose	WP$	whose
land	NN	land
and	CC	and
waters	NNS	water
have	VBP	have
been	VBN	be
poisoned	VBN	poison
.	SENT	.
Those	DT	those
protests	NNS	protest
have	VBP	have
often	RB	often
been	VBN	be
met	VBN	meet
with	IN	with
violence	NN	violence
,	,	,
leaving	VBG	leave
a	DT	a
legacy	NN	legacy
of	IN	of
trauma	NN	trauma
and	CC	and
injustice	NN	injustice
.	SENT	.
For	IN	for
many	JJ	many
people	NNS	people
along	IN	along
the	DT	the
Wild	NP	Wild
Coast	NP	Coast
,	,	,
this	DT	this
history	NN	history
is	VBZ	be
a	DT	a
warning	NN	warning
of	IN	of
what	WP	what
offshore	JJ	offshore
oil	NN	oil
and	CC	and
gas	NN	gas
could	MD	could
bring	VB	bring
to	TO	to
their	PP$	their
own	JJ	own
shores	NNS	shore
.	SENT	.
Seismic	JJ	seismic
blasting	NN	blasting
is	VBZ	be
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
current	JJ	current
controversy	NN	controversy
.	SENT	.
The	DT	the
technique	NN	technique
involves	VBZ	involve
firing	VBG	fire
powerful	JJ	powerful
soundwaves	NNS	soundwave
into	IN	into
the	DT	the
ocean	NN	ocean
to	TO	to
map	VB	map
deposits	NNS	deposit
of	IN	of
oil	NN	oil
and	CC	and
gas	NN	gas
beneath	IN	beneath
the	DT	the
seabed	NN	seabed
.	SENT	.
These	DT	these
blasts	NNS	blast
threaten	VBP	threaten
marine	JJ	marine
life	NN	life
in	IN	in
an	DT	an
area	NN	area
known	VBN	know
for	IN	for
its	PP$	its
rich	JJ	rich
biodiversity	NN	biodiversity
.	SENT	.
Species	NNS	specie
such	JJ	such
as	IN	as
southern	JJ	southern
right	JJ	right
whales	NNS	whale
and	CC	and
ancient	JJ	ancient
coelacanths	NNS	coelacanth
are	VBP	be
part	NN	part
of	IN	of
a	DT	a
fragile	JJ	fragile
web	NN	web
of	IN	of
life	NN	life
that	WDT	that
could	MD	could
be	VB	be
disrupted	VBN	disrupt
or	CC	or
displaced	VBN	displace
by	IN	by
intense	JJ	intense
underwater	JJ	underwater
noise	NN	noise
.	SENT	.
The	DT	the
Wild	NP	Wild
Coast	NP	Coast
’s	POS	's
ocean	NN	ocean
ecosystems	NNS	ecosystem
also	RB	also
play	VBP	play
a	DT	a
vital	JJ	vital
role	NN	role
in	IN	in
climate	NN	climate
protection	NN	protection
,	,	,
and	CC	and
further	RBR	further
fossil	JJ	fossil
fuel	NN	fuel
exploration	NN	exploration
undermines	VBZ	undermine
efforts	NNS	effort
to	TO	to
keep	VB	keep
global	JJ	global
warming	NN	warming
within	IN	within
safe	JJ	safe
limits	NNS	limit
.	SENT	.
For	IN	for
coastal	JJ	coastal
communities	NNS	community
,	,	,
the	DT	the
stakes	NNS	stake
are	VBP	be
immediate	JJ	immediate
and	CC	and
personal	JJ	personal
.	SENT	.
Many	JJ	many
people	NNS	people
rely	VBP	rely
on	IN	on
small-scale	JJ	small-scale
fishing	NN	fishing
and	CC	and
ecotourism	NN	ecotourism
for	IN	for
their	PP$	their
livelihoods	NNS	livelihood
.	SENT	.
Healthy	JJ	healthy
fish	NN	fish
populations	NNS	population
,	,	,
intact	JJ	intact
marine	JJ	marine
ecosystems	NNS	ecosystem
and	CC	and
thriving	JJ	thriving
wildlife	NN	wildlife
are	VBP	be
the	DT	the
foundation	NN	foundation
of	IN	of
local	JJ	local
economies	NNS	economy
.	SENT	.
Seismic	JJ	seismic
surveys	NNS	survey
and	CC	and
the	DT	the
prospect	NN	prospect
of	IN	of
future	JJ	future
drilling	NN	drilling
raise	VB	raise
fears	NNS	fear
of	IN	of
declining	VBG	decline
fish	NN	fish
stocks	NNS	stock
,	,	,
damaged	JJ	damaged
tourism	NN	tourism
,	,	,
and	CC	and
the	DT	the
ever-present	JJ	ever-present
risk	NN	risk
of	IN	of
catastrophic	JJ	catastrophic
oil	NN	oil
spills	NNS	spill
.	SENT	.
Greenpeace	NP	Greenpeace
and	CC	and
partner	NN	partner
organisations	NNS	organisation
have	VBP	have
responded	VBN	respond
by	IN	by
taking	VBG	take
legal	JJ	legal
action	NN	action
to	TO	to
challenge	VB	challenge
the	DT	the
approval	NN	approval
of	IN	of
Shell	NP	Shell
’s	POS	's
survey	NN	survey
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
protests	NNS	protest
have	VBP	have
spread	VBN	spread
across	IN	across
the	DT	the
country	NN	country
,	,	,
uniting	VBG	unite
a	DT	a
broad	JJ	broad
coalition	NN	coalition
of	IN	of
communities	NNS	community
,	,	,
activists	NNS	activist
and	CC	and
concerned	JJ	concerned
citizens	NNS	citizen
.	SENT	.
On	IN	on
beaches	NNS	beach
,	,	,
in	IN	in
towns	NNS	town
and	CC	and
cities	NNS	city
,	,	,
people	NNS	people
are	VBP	be
standing	VBG	stand
together	RB	together
to	TO	to
defend	VB	defend
the	DT	the
Wild	NP	Wild
Coast	NP	Coast
and	CC	and
to	TO	to
oppose	VB	oppose
new	JJ	new
fossil	JJ	fossil
fuel	NN	fuel
projects	NNS	project
.	SENT	.
Among	IN	among
the	DT	the
most	RBS	most
vocal	JJ	vocal
opponents	NNS	opponent
are	VBP	be
communities	NNS	community
like	IN	like
Amadiba	NP	<unknown>
,	,	,
who	WP	who
have	VBP	have
a	DT	a
long	JJ	long
history	NN	history
of	IN	of
resisting	VBG	resist
destructive	JJ	destructive
projects	NNS	project
on	IN	on
their	PP$	their
land	NN	land
and	CC	and
along	IN	along
their	PP$	their
coastline	NN	coastline
.	SENT	.
They	PP	they
warn	VBP	warn
that	IN	that
offshore	JJ	offshore
oil	NN	oil
and	CC	and
gas	NN	gas
exploration	NN	exploration
brings	VBZ	bring
the	DT	the
danger	NN	danger
of	IN	of
spills	NNS	spill
and	CC	and
represents	VBZ	represent
yet	RB	yet
another	DT	another
form	NN	form
of	IN	of
neo-colonial	JJ	neo-colonial
exploitation	NN	exploitation
,	,	,
where	WRB	where
powerful	JJ	powerful
corporations	NNS	corporation
extract	VB	extract
wealth	NN	wealth
while	IN	while
local	JJ	local
people	NNS	people
bear	VBP	bear
the	DT	the
environmental	JJ	environmental
and	CC	and
social	JJ	social
costs	NNS	cost
.	SENT	.
Their	PP$	their
call	NN	call
is	VBZ	be
clear	JJ	clear
:	:	:
Shell	NP	Shell
must	MD	must
be	VB	be
stopped	VBN	stop
,	,	,
and	CC	and
decisions	NNS	decision
about	IN	about
the	DT	the
ocean	NN	ocean
and	CC	and
the	DT	the
coast	NN	coast
must	MD	must
respect	VB	respect
the	DT	the
rights	NNS	right
,	,	,
knowledge	NN	knowledge
and	CC	and
needs	VBZ	need
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
live	VBP	live
there	RB	there
.	SENT	.
As	IN	as
legal	JJ	legal
challenges	NNS	challenge
move	VBP	move
forward	RB	forward
and	CC	and
protests	NNS	protest
continue	VBP	continue
,	,	,
the	DT	the
struggle	NN	struggle
over	IN	over
Shell	NP	Shell
’s	POS	's
plans	NNS	plan
on	IN	on
the	DT	the
Wild	NP	Wild
Coast	NP	Coast
has	VBZ	have
become	VBN	become
a	DT	a
symbol	NN	symbol
of	IN	of
a	DT	a
wider	JJR	wide
fight	NN	fight
:	:	:
communities	NNS	community
defending	VBG	defend
their	PP$	their
homes	NNS	home
,	,	,
oceans	NNS	ocean
and	CC	and
climate	NN	climate
from	IN	from
a	DT	a
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
with	IN	with
a	DT	a
long	JJ	long
record	NN	record
of	IN	of
harm	NN	harm
.	SENT	.
