Earth	NP	Earth
’s	POS	's
living	VBG	live
web	NN	web
is	VBZ	be
unraveling	VBG	unravel
.	SENT	.
Across	IN	across
forests	NNS	forest
,	,	,
oceans	NNS	ocean
,	,	,
grasslands	NNS	grassland
and	CC	and
rivers	NNS	river
,	,	,
life	NN	life
is	VBZ	be
collapsing	VBG	collapse
under	IN	under
the	DT	the
weight	NN	weight
of	IN	of
human	JJ	human
pressures	NNS	pressure
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
mirrors	VBZ	mirror
the	DT	the
great	JJ	great
mass	NN	mass
extinctions	NNS	extinction
of	IN	of
the	DT	the
past	NN	past
.	SENT	.
Species	NNS	specie
are	VBP	be
vanishing	VBG	vanish
,	,	,
ecosystems	NNS	ecosystem
are	VBP	be
degrading	JJ	degrading
,	,	,
and	CC	and
the	DT	the
intricate	JJ	intricate
relationships	NNS	relationship
that	WDT	that
sustain	VBP	sustain
life	NN	life
are	VBP	be
breaking	VBG	break
down	RP	down
.	SENT	.
This	DT	this
is	VBZ	be
n’t	RB	n't
an	DT	an
abstract	JJ	abstract
loss	NN	loss
.	SENT	.
Nature	NN	nature
is	VBZ	be
the	DT	the
foundation	NN	foundation
of	IN	of
our	PP$	our
daily	JJ	daily
survival	NN	survival
.	SENT	.
It	PP	it
provides	VBZ	provide
the	DT	the
food	NN	food
we	PP	we
eat	VBP	eat
,	,	,
the	DT	the
air	NN	air
we	PP	we
breathe	VBP	breathe
,	,	,
and	CC	and
the	DT	the
water	NN	water
we	PP	we
drink	VBP	drink
.	SENT	.
Healthy	JJ	healthy
ecosystems	NNS	ecosystem
regulate	VB	regulate
our	PP$	our
climate	NN	climate
,	,	,
cycle	NN	cycle
nutrients	NNS	nutrient
through	IN	through
soils	NNS	soil
and	CC	and
seas	NNS	sea
,	,	,
and	CC	and
buffer	VB	buffer
us	PP	us
from	IN	from
floods	NNS	flood
,	,	,
storms	NNS	storm
and	CC	and
other	JJ	other
disasters	NNS	disaster
.	SENT	.
They	PP	they
help	VBP	help
protect	VB	protect
us	PP	us
from	IN	from
diseases	NNS	disease
,	,	,
offer	VBP	offer
the	DT	the
raw	JJ	raw
materials	NNS	material
and	CC	and
inspiration	NN	inspiration
for	IN	for
medical	JJ	medical
breakthroughs	NNS	breakthrough
,	,	,
and	CC	and
nourish	VB	nourish
our	PP$	our
spirits	NNS	spirit
,	,	,
cultures	NNS	culture
and	CC	and
identities	NNS	identity
.	SENT	.
When	WRB	when
biodiversity	NN	biodiversity
collapses	NNS	collapse
,	,	,
all	RB	all
of	IN	of
these	DT	these
life-support	NN	life-support
systems	NNS	system
are	VBP	be
weakened	VBN	weaken
or	CC	or
lost	VBN	lose
.	SENT	.
At	IN	at
the	DT	the
heart	NN	heart
of	IN	of
this	DT	this
crisis	NN	crisis
is	VBZ	be
an	DT	an
economic	JJ	economic
system	NN	system
built	VBN	build
on	IN	on
extraction	NN	extraction
and	CC	and
endless	JJ	endless
growth	NN	growth
.	SENT	.
Extractive	JJ	extractive
capitalism	NN	capitalism
treats	VBZ	treat
nature	NN	nature
as	IN	as
a	DT	a
warehouse	NN	warehouse
of	IN	of
commodities	NNS	commodity
rather	RB	rather
than	IN	than
a	DT	a
living	VBG	live
community	NN	community
we	PP	we
depend	VBP	depend
on	IN	on
.	SENT	.
Destructive	JJ	destructive
industries	NNS	industry
–	:	-
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
to	TO	to
industrial	JJ	industrial
farming	NN	farming
and	CC	and
other	JJ	other
large-scale	JJ	large-scale
exploitative	JJ	exploitative
activities	NNS	activity
–	:	-
tear	VB	tear
through	IN	through
forests	NNS	forest
,	,	,
poison	NN	poison
rivers	NNS	river
and	CC	and
oceans	NNS	ocean
,	,	,
exhaust	NN	exhaust
soils	NNS	soil
and	CC	and
destabilize	VB	destabilize
the	DT	the
climate	NN	climate
.	SENT	.
Governments	NNS	government
,	,	,
instead	RB	instead
of	IN	of
confronting	VBG	confront
these	DT	these
harms	NNS	harm
,	,	,
too	RB	too
often	RB	often
prioritize	VB	<unknown>
corporate	JJ	corporate
profits	NNS	profit
and	CC	and
short-term	JJ	short-term
gains	NNS	gain
over	IN	over
real	JJ	real
solutions	NNS	solution
,	,	,
allowing	VBG	allow
the	DT	the
destruction	NN	destruction
to	TO	to
accelerate	VB	accelerate
.	SENT	.
This	DT	this
trajectory	NN	trajectory
is	VBZ	be
neither	RB	neither
inevitable	JJ	inevitable
nor	CC	nor
acceptable	JJ	acceptable
.	SENT	.
To	TO	to
pull	VB	pull
back	RB	back
from	IN	from
the	DT	the
brink	NN	brink
,	,	,
we	PP	we
need	VBP	need
to	TO	to
fundamentally	RB	fundamentally
rethink	VB	rethink
how	WRB	how
we	PP	we
produce	VBP	produce
and	CC	and
consume	VBP	consume
.	SENT	.
That	DT	that
means	VBZ	mean
moving	VBG	move
away	RB	away
from	IN	from
models	NNS	model
that	WDT	that
deplete	VBP	deplete
land	NN	land
,	,	,
water	NN	water
and	CC	and
energy	NN	energy
,	,	,
and	CC	and
towards	IN	towards
systems	NNS	system
that	WDT	that
respect	VBP	respect
ecological	JJ	ecological
limits	NNS	limit
and	CC	and
restore	VB	restore
damaged	JJ	damaged
ecosystems	NNS	ecosystem
.	SENT	.
It	PP	it
