International	NP	International
Workers	NPS	Workers
’	POS	'
Day	NN	day
is	VBZ	be
a	DT	a
moment	NN	moment
to	TO	to
honour	VB	honour
the	DT	the
generations	NNS	generation
of	IN	of
people	NNS	people
whose	WP$	whose
courage	NN	courage
and	CC	and
collective	JJ	collective
action	NN	action
have	VBP	have
transformed	VBN	transform
working	VBG	work
life	NN	life
.	SENT	.
Weekends	NNS	weekend
off	RB	off
,	,	,
sick	JJ	sick
pay	NN	pay
,	,	,
safer	JJR	safe
workplaces	NNS	workplace
and	CC	and
so	RB	so
many	JJ	many
other	JJ	other
hard‑won	NN	<unknown>
protections	NNS	protection
exist	VBP	exist
because	IN	because
workers	NNS	worker
stood	VBD	stand
together	RB	together
,	,	,
organised	VBD	organise
and	CC	and
refused	VBD	refuse
to	TO	to
accept	VB	accept
exploitation	NN	exploitation
as	IN	as
inevitable	JJ	inevitable
.	SENT	.
That	DT	that
history	NN	history
of	IN	of
resilience	NN	resilience
and	CC	and
solidarity	NN	solidarity
is	VBZ	be
not	RB	not
just	RB	just
something	NN	something
to	TO	to
remember	VB	remember
;	:	;
it	PP	it
is	VBZ	be
a	DT	a
living	VBG	live
source	NN	source
of	IN	of
power	NN	power
for	IN	for
the	DT	the
struggles	NNS	struggle
we	PP	we
face	VBP	face
today	NN	today
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
challenges	NNS	challenge
is	VBZ	be
how	WRB	how
to	TO	to
move	VB	move
from	IN	from
polluting	VBG	pollute
industries	NNS	industry
to	TO	to
sustainable	JJ	sustainable
ones	NNS	one
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
fair	JJ	fair
.	SENT	.
Workers	NNS	worker
in	IN	in
fossil	JJ	fossil
fuels	NNS	fuel
,	,	,
aviation	NN	aviation
and	CC	and
other	JJ	other
high‑carbon	NN	high‑carbon
sectors	NNS	sector
are	VBP	be
not	RB	not
responsible	JJ	responsible
for	IN	for
the	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
yet	CC	yet
they	PP	they
are	VBP	be
often	RB	often
the	DT	the
first	JJ	first
to	TO	to
feel	VB	feel
the	DT	the
impacts	NNS	impact
of	IN	of
economic	JJ	economic
shifts	NNS	shift
and	CC	and
corporate	JJ	corporate
decisions	NNS	decision
.	SENT	.
A	DT	a
rapid	JJ	rapid
transition	NN	transition
is	VBZ	be
essential	JJ	essential
to	TO	to
protect	VB	protect
the	DT	the
climate	NN	climate
,	,	,
but	CC	but
it	PP	it
must	MD	must
be	VB	be
a	DT	a
just	JJ	just
transition	NN	transition
–	:	-
one	CD	one
that	WDT	that
puts	VBZ	put
workers	NNS	worker
’	POS	'
rights	NNS	right
and	CC	and
livelihoods	NNS	livelihood
at	IN	at
the	DT	the
centre	NN	centre
.	SENT	.
A	DT	a
just	JJ	just
transition	NN	transition
means	VBZ	mean
designing	VBG	design
the	DT	the
shift	NN	shift
away	RB	away
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
other	JJ	other
polluting	VBG	pollute
industries	NNS	industry
so	RB	so
that	IN	that
people	NNS	people
are	VBP	be
not	RB	not
simply	RB	simply
discarded	VBN	discard
when	WRB	when
change	NN	change
comes	VBZ	come
.	SENT	.
That	DT	that
requires	VBZ	require
strong	JJ	strong
social	JJ	social
safety	NN	safety
nets	VBZ	net
so	RB	so
that	IN	that
no	DT	no
one	CD	one
is	VBZ	be
left	VBN	leave
without	IN	without
support	NN	support
as	IN	as
economies	NNS	economy
transform	VBP	transform
.	SENT	.
It	PP	it
means	VBZ	mean
offering	VBG	offer
real	JJ	real
opportunities	NNS	opportunity
for	IN	for
re‑training	NN	re‑training
so	IN	so
workers	NNS	worker
can	MD	can
move	VB	move
into	IN	into
new	JJ	new
roles	NNS	role
in	IN	in
sustainable	JJ	sustainable
sectors	NNS	sector
,	,	,
rather	RB	rather
than	IN	than
being	VBG	be
pushed	VBN	push
into	IN	into
insecurity	NN	insecurity
.	SENT	.
It	PP	it
also	RB	also
means	VBZ	mean
employment	NN	employment
guarantees	NNS	guarantee
wherever	WRB	wherever
possible	JJ	possible
,	,	,
so	RB	so
that	DT	that
communities	NNS	community
built	VBN	build
around	IN	around
polluting	VBG	pollute
industries	NNS	industry
do	VBP	do
not	RB	not
collapse	VB	collapse
when	WRB	when
those	DT	those
industries	NNS	industry
wind	VBP	wind
down	RB	down
.	SENT	.
Trade	NN	trade
unions	NNS	union
and	CC	and
worker	NN	worker
representatives	NNS	representative
must	MD	must
be	VB	be
fully	RB	fully
involved	VBN	involve
in	IN	in
shaping	VBG	shape
this	DT	this
transition	NN	transition
.	SENT	.
Workers	NNS	worker
know	VBP	know
their	PP$	their
jobs	NNS	job
,	,	,
their	PP$	their
communities	NNS	community
and	CC	and
the	DT	the
risks	NNS	risk
they	PP	they
face	VBP	face
better	JJR	good
than	IN	than
anyone	NN	anyone
.	SENT	.
Their	PP$	their
voices	NNS	voice
are	VBP	be
essential	JJ	essential
in	IN	in
deciding	VBG	decide
how	WRB	how
workplaces	NNS	workplace
change	VBP	change
,	,	,
which	WDT	which
skills	NNS	skill
are	VBP	be
needed	VBN	need
,	,	,
and	CC	and
what	WP	what
protections	NNS	protection
must	MD	must
be	VB	be
in	IN	in
place	NN	place
.	SENT	.
Union	NN	union
involvement	NN	involvement
is	VBZ	be
also	RB	also
a	DT	a
safeguard	NN	safeguard
against	IN	against
attempts	NNS	attempt
to	TO	to
use	VB	use
climate	NN	climate
action	NN	action
as	IN	as
an	DT	an
excuse	NN	excuse
to	TO	to
erode	VB	erode
rights	NNS	right
or	CC	or
drive	VB	drive
down	RP	down
wages	NNS	wage
.	SENT	.
Those	DT	those
who	WP	who
have	VBP	have
profited	VBN	profit
most	JJS	most
from	IN	from
pollution	NN	pollution
must	MD	must
pay	VB	pay
for	IN	for
the	DT	the
shift	NN	shift
.	SENT	.
Fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
have	VBP	have
a	DT	a
long	JJ	long
record	NN	record
of	IN	of
denial	NN	denial
and	CC	and
obstruction	NN	obstruction
that	WDT	that
has	VBZ	have
delayed	VBN	delay
climate	NN	climate
action	NN	action
and	CC	and
deepened	VBD	deepen
the	DT	the
crisis	NN	crisis
.	SENT	.
Their	PP$	their
tactics	NNS	tactic
have	VBP	have
not	RB	not
only	RB	only
harmed	VBN	harm
the	DT	the
planet	NN	planet
;	:	;
they	PP	they
have	VBP	have
also	RB	also
put	VBN	put
workers	NNS	worker
in	IN	in
vulnerable	JJ	vulnerable
positions	NNS	position
by	IN	by
propping	VBG	prop
up	RP	up
an	DT	an
unsustainable	JJ	unsustainable
system	NN	system
.	SENT	.
It	PP	it
is	VBZ	be
only	RB	only
fair	JJ	fair
that	IN	that
these	DT	these
polluters	NNS	polluter
bear	VBP	bear
the	DT	the
costs	NNS	cost
of	IN	of
moving	VBG	move
to	TO	to
cleaner	JJR	clean
energy	NN	energy
and	CC	and
supporting	VBG	support
the	DT	the
workers	NNS	worker
and	CC	and
communities	NNS	community
affected	VBD	affect
.	SENT	.
Making	VBG	make
this	DT	this
transition	NN	transition
real	RB	real
requires	VBZ	require
policies	NNS	policy
that	WDT	that
are	VBP	be
tailored	VBN	tailor
to	TO	to
different	JJ	different
sectors	NNS	sector
and	CC	and
regions	NNS	region
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
one‑size‑fits‑all	NN	<unknown>
solution	NN	solution
.	SENT	.
Governments	NNS	government
need	VBP	need
to	TO	to
work	VB	work
with	IN	with
workers	NNS	worker
,	,	,
unions	NNS	union
and	CC	and
communities	NNS	community
to	TO	to
design	VB	design
measures	NNS	measure
that	WDT	that
reflect	VBP	reflect
local	JJ	local
realities	NNS	reality
–	:	-
from	IN	from
the	DT	the
kinds	NNS	kind
of	IN	of
green	JJ	green
jobs	NNS	job
that	WDT	that
can	MD	can
be	VB	be
created	VBN	create
,	,	,
to	TO	to
the	DT	the
training	NN	training
programmes	NNS	programme
and	CC	and
protections	NNS	protection
that	WDT	that
will	MD	will
be	VB	be
needed	VBN	need
.	SENT	.
Public	JJ	public
and	CC	and
private	JJ	private
investment	NN	investment
in	IN	in
sustainable	JJ	sustainable
industries	NNS	industry
must	MD	must
go	VB	go
hand	NN	hand
in	IN	in
hand	NN	hand
with	IN	with
strong	JJ	strong
labour	NN	labour
standards	NNS	standard
,	,	,
so	RB	so
that	DT	that
“	``	"
green	JJ	green
jobs	NNS	job
”	''	"
are	VBP	be
also	RB	also
decent	JJ	decent
jobs	NNS	job
.	SENT	.
International	NP	International
Workers	NPS	Workers
’	POS	'
Day	NN	day
is	VBZ	be
a	DT	a
reminder	NN	reminder
that	IN	that
progress	NN	progress
has	VBZ	have
never	RB	never
been	VBN	be
handed	VBN	hand
down	RP	down
from	IN	from
above	RB	above
.	SENT	.
It	PP	it
has	VBZ	have
been	VBN	be
won	VBN	win
through	IN	through
organising	VBG	organise
,	,	,
persistence	NN	persistence
and	CC	and
collective	JJ	collective
action	NN	action
.	SENT	.
The	DT	the
same	JJ	same
determination	NN	determination
is	VBZ	be
needed	VBN	need
now	RB	now
to	TO	to
secure	VB	secure
a	DT	a
future	NN	future
that	WDT	that
is	VBZ	be
both	DT	both
environmentally	RB	environmentally
sustainable	JJ	sustainable
and	CC	and
socially	RB	socially
just	RB	just
.	SENT	.
By	IN	by
standing	NN	standing
with	IN	with
workers	NNS	worker
,	,	,
