When	WRB	when
the	DT	the
floodwaters	NNS	floodwater
rose	VBD	rise
across	IN	across
Pakistan	NP	Pakistan
in	IN	in
2022	CD	@card@
,	,	,
they	PP	they
did	VBD	do
more	RBR	more
than	IN	than
wash	VB	wash
away	RP	away
homes	NNS	home
,	,	,
roads	NNS	road
,	,	,
and	CC	and
crops	NNS	crop
.	SENT	.
They	PP	they
exposed	VBD	expose
a	DT	a
deep	JJ	deep
injustice	NN	injustice
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
Filmmaker	NP	filmmaker
Seemab	NP	<unknown>
Gul	NP	Gul
travelled	VBD	travel
through	IN	through
some	DT	some
of	IN	of
the	DT	the
hardest-hit	JJ	hardest-hit
regions	NNS	region
–	:	-
Balochistan	NP	Balochistan
,	,	,
Punjab	NP	Punjab
,	,	,
Khyber	NP	Khyber
Pakhtunkhwa	NP	<unknown>
,	,	,
and	CC	and
Sindh	NP	<unknown>
–	:	-
documenting	VBG	document
what	WP	what
became	VBD	become
known	VBN	know
as	IN	as
the	DT	the
worst	JJS	bad
floods	NNS	flood
in	IN	in
the	DT	the
country	NN	country
’s	POS	's
history	NN	history
.	SENT	.
An	DT	an
estimated	VBN	estimate
33	CD	@card@
million	CD	million
people	NNS	people
were	VBD	be
affected	VBN	affect
.	SENT	.
Entire	JJ	entire
communities	NNS	community
were	VBD	be
displaced	VBN	displace
as	IN	as
homes	NNS	home
and	CC	and
vital	JJ	vital
infrastructure	NN	infrastructure
were	VBD	be
destroyed	VBN	destroy
.	SENT	.
Her	PP$	her
films	NNS	film
focus	VB	focus
on	IN	on
the	DT	the
people	NNS	people
living	VBG	live
through	IN	through
this	DT	this
catastrophe	NN	catastrophe
:	:	:
residents	NNS	resident
forced	VBN	force
from	IN	from
their	PP$	their
villages	NNS	village
,	,	,
families	NNS	family
trying	VBG	try
to	TO	to
survive	VB	survive
in	IN	in
temporary	JJ	temporary
shelters	NNS	shelter
,	,	,
and	CC	and
communities	NNS	community
watching	VBG	watch
their	PP$	their
lands	NNS	land
and	CC	and
livelihoods	NNS	livelihood
disappear	VBP	disappear
under	IN	under
water	NN	water
.	SENT	.
Alongside	IN	alongside
these	DT	these
testimonies	NNS	testimony
,	,	,
activists	NNS	activist
speak	VBP	speak
directly	RB	directly
to	TO	to
the	DT	the
causes	NNS	cause
of	IN	of
this	DT	this
disaster	NN	disaster
,	,	,
pointing	VBG	point
to	TO	to
industrialized	JJ	industrialized
nations	NNS	nation
whose	WP$	whose
emissions	NNS	emission
have	VBP	have
driven	VBN	drive
climate	NN	climate
change	NN	change
,	,	,
yet	RB	yet
who	WP	who
are	VBP	be
far	RB	far
removed	VBN	remove
from	IN	from
its	PP$	its
most	RBS	most
brutal	JJ	brutal
impacts	NNS	impact
.	SENT	.
In	IN	in
the	DT	the
regions	NNS	region
Gul	NP	Gul
visited	VBD	visit
,	,	,
indigenous	JJ	indigenous
and	CC	and
local	JJ	local
communities	NNS	community
are	VBP	be
paying	VBG	pay
the	DT	the
highest	JJS	high
price	NN	price
for	IN	for
a	DT	a
crisis	NN	crisis
they	PP	they
did	VBD	do
little	RB	little
to	TO	to
create	VB	create
.	SENT	.
Their	PP$	their
stories	NNS	story
lay	VBD	lie
bare	JJ	bare
the	DT	the
imbalance	NN	imbalance
between	IN	between
those	DT	those
who	WP	who
profit	VBP	profit
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
those	DT	those
who	WP	who
face	VBP	face
the	DT	the
flooding	NN	flooding
,	,	,
hunger	NN	hunger
,	,	,
and	CC	and
displacement	NN	displacement
that	WDT	that
follow	VB	follow
.	SENT	.
This	DT	this
contrast	NN	contrast
is	VBZ	be
stark	JJ	stark
.	SENT	.
While	IN	while
fossil	JJ	fossil
fuel	NN	fuel
giants	NNS	giant
have	VBP	have
made	VBN	make
profits	NNS	profit
of	IN	of
around	IN	around
$200	JJ	<unknown>
billion	NNS	billion
,	,	,
Pakistan	NP	Pakistan
’s	POS	's
reconstruction	NN	reconstruction
needs	VBZ	need
after	IN	after
