There	EX	there
is	VBZ	be
an	DT	an
African	JJ	African
concept	NN	concept
called	VBN	call
“	``	"
Ubuntu	NP	<unknown>
”	''	"
that	WDT	that
reminds	VBZ	remind
us	PP	us
:	:	:
“	``	"
I	PP	I
am	VBP	be
because	IN	because
we	PP	we
are	VBP	be
.	SENT	.
”	''	"
It	PP	it
speaks	VBZ	speak
to	TO	to
a	DT	a
universal	JJ	universal
bond	NN	bond
that	WDT	that
connects	VBZ	connect
all	DT	all
people	NNS	people
,	,	,
and	CC	and
to	TO	to
the	DT	the
idea	NN	idea
that	IN	that
our	PP$	our
salvation—our	NN	<unknown>
survival	NN	survival
,	,	,
our	PP$	our
joy	NN	joy
,	,	,
our	PP$	our
future—can	NN	<unknown>
only	RB	only
be	VB	be
collective	JJ	collective
.	SENT	.
In	IN	in
a	DT	a
world	NN	world
marked	VBN	mark
by	IN	by
deep	JJ	deep
inequalities	NNS	inequality
and	CC	and
environmental	JJ	environmental
destruction	NN	destruction
,	,	,
Ubuntu	NP	<unknown>
offers	VBZ	offer
a	DT	a
way	NN	way
to	TO	to
imagine	VB	imagine
a	DT	a
future	NN	future
where	WRB	where
we	PP	we
care	VBP	care
for	IN	for
one	CD	one
another	DT	another
and	CC	and
for	IN	for
the	DT	the
earth	NN	earth
.	SENT	.
This	DT	this
spirit	NN	spirit
of	IN	of
shared	JJ	shared
humanity	NN	humanity
is	VBZ	be
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
Greenpeace	NP	Greenpeace
Alternative	NP	Alternative
Futures	NPS	Futures
Project	NP	Project
.	SENT	.
Young	JJ	young
artists	NNS	artist
from	IN	from
Zambia	NP	Zambia
,	,	,
South	NP	South
Africa	NP	Africa
,	,	,
Chile	NP	Chile
,	,	,
Kenya	NP	Kenya
,	,	,
Indonesia	NP	Indonesia
,	,	,
Panama	NP	Panama
,	,	,
and	CC	and
Australia	NP	Australia
came	VBD	come
together	RB	together
to	TO	to
envision	VB	envision
green	JJ	green
,	,	,
fair	JJ	fair
futures	NNS	future
for	IN	for
their	PP$	their
communities	NNS	community
and	CC	and
the	DT	the
planet	NN	planet
.	SENT	.
They	PP	they
used	VBD	use
artificial	JJ	artificial
intelligence	NN	intelligence
as	IN	as
a	DT	a
creative	JJ	creative
tool	NN	tool
to	TO	to
bring	VB	bring
their	PP$	their
ideas	NNS	idea
to	TO	to
life	NN	life
,	,	,
generating	VBG	generate
vivid	JJ	vivid
images	NNS	image
of	IN	of
what	WP	what
a	DT	a
more	RBR	more
just	JJ	just
and	CC	and
sustainable	JJ	sustainable
world	NN	world
could	MD	could
look	VB	look
like	IN	like
.	SENT	.
Their	PP$	their
visions	NNS	vision
were	VBD	be
rooted	VBN	root
in	IN	in
diversity	NN	diversity
,	,	,
community	NN	community
,	,	,
and	CC	and
human	JJ	human
potential	NN	potential
.	SENT	.
Some	DT	some
artists	NNS	artist
spoke	VBD	speak
about	IN	about
the	DT	the
power	NN	power
of	IN	of
seeing	VBG	see
themselves	PP	themselves
and	CC	and
their	PP$	their
cultures	NNS	culture
reflected	VBN	reflect
in	IN	in
the	DT	the
futures	NNS	future
they	PP	they
created	VBD	create
.	SENT	.
Others	NNS	other
described	VBD	describe
how	WRB	how
they	PP	they
drew	VBD	draw
inspiration	NN	inspiration
from	IN	from
their	PP$	their
own	JJ	own
lives	NNS	life
,	,	,
their	PP$	their
families	NNS	family
,	,	,
and	CC	and
their	PP$	their
local	JJ	local
struggles	NNS	struggle
and	CC	and
hopes	NNS	hope
.	SENT	.
For	IN	for
many	JJ	many
,	,	,
AI	VBP	ai
became	VBD	become
a	DT	a
way	NN	way
to	TO	to
unlock	VB	unlock
and	CC	and
share	VB	share
ideas	NNS	idea
that	WDT	that
might	MD	might
otherwise	RB	otherwise
remain	VB	remain
invisible	JJ	invisible
,	,	,
helping	VBG	help
to	TO	to
democratize	VB	democratize
creativity	NN	creativity
by	IN	by
giving	VBG	give
more	JJR	more
people	NNS	people
access	NN	access
to	TO	to
powerful	JJ	powerful
tools	NNS	tool
for	IN	for
expression	NN	expression
.	SENT	.
The	DT	the
artworks	NNS	artwork
they	PP	they
produced	VBD	produce
are	VBP	be
not	RB	not
just	RB	just
beautiful	JJ	beautiful
images	NNS	image
;	:	;
they	PP	they
are	VBP	be
invitations	NNS	invitation
.	SENT	.
They	PP	they
invite	VBP	invite
us	PP	us
to	TO	to
see	VB	see
that	IN	that
another	DT	another
world	NN	world
is	VBZ	be
possible—a	NN	<unknown>
world	NN	world
where	WRB	where
people	NNS	people
live	VBP	live
in	IN	in
balance	NN	balance
with	IN	with
nature	NN	nature
,	,	,
where	WRB	where
communities	NNS	community
are	VBP	be
strong	JJ	strong
,	,	,
and	CC	and
where	WRB	where
everyone	NN	everyone
has	VBZ	have
the	DT	the
chance	NN	chance
to	TO	to
thrive	VB	thrive
.	SENT	.
They	PP	they
show	VBP	show
futures	NNS	future
in	IN	in
which	WDT	which
justice	NN	justice
and	CC	and
environmental	JJ	environmental
care	NN	care
are	VBP	be
not	RB	not
competing	VBG	compete
goals	NNS	goal
,	,	,
but	CC	but
deeply	RB	deeply
intertwined	VBN	intertwine
.	SENT	.
By	IN	by
daring	VBG	dare
to	TO	to
dream	VB	dream
together	RB	together
,	,	,
these	DT	these
young	JJ	young
artists	NNS	artist
are	VBP	be
practicing	VBG	practice
Ubuntu	NP	<unknown>
in	IN	in
action	NN	action
.	SENT	.
They	PP	they
remind	VBP	remind
us	PP	us
that	IN	that
our	PP$	our
futures	NNS	future
are	VBP	be
linked	VBN	link
,	,	,
and	CC	and
that	IN	that
imagining	VBG	imagine
better	JJR	good
worlds	NNS	world
is	VBZ	be
a	DT	a
first	JJ	first
step	NN	step
toward	IN	toward
building	VBG	build
them	PP	them
.	SENT	.
Their	PP$	their
work	NN	work
calls	VBZ	call
on	IN	on
all	DT	all
of	IN	of
us	PP	us
to	TO	to
join	VB	join
in	IN	in
:	:	:
to	TO	to
dream	VB	dream
boldly	RB	boldly
of	IN	of
a	DT	a
world	NN	world
that	WDT	that
respects	VBZ	respect
both	DT	both
people	NNS	people
and	CC	and
the	DT	the
earth	NN	earth
,	,	,
and	CC	and
to	TO	to
act	VB	act
,	,	,
together	RB	together
,	,	,
