Three	CD	three
young	JJ	young
Nigerian	JJ	Nigerian
women	NNS	woman
are	VBP	be
using	VBG	use
technology	NN	technology
and	CC	and
creativity	NN	creativity
to	TO	to
tackle	VB	tackle
the	DT	the
climate	NN	climate
crisis	NN	crisis
and	CC	and
pollution	NN	pollution
in	IN	in
their	PP$	their
communities	NNS	community
.	SENT	.
After	IN	after
witnessing	VBG	witness
severe	JJ	severe
floods	NNS	flood
in	IN	in
Kogi	NP	<unknown>
state	NN	state
–	:	-
driven	VBN	drive
by	IN	by
a	DT	a
combination	NN	combination
of	IN	of
unmanaged	JJ	unmanaged
waste	NN	waste
and	CC	and
climate	NN	climate
change	NN	change
–	:	-
Angel	NP	Angel
Chukwudi-Denis	NP	Chukwudi-Denis
,	,	,
Fortune	NP	Fortune
Mmesomachukwu	NP	<unknown>
,	,	,
and	CC	and
Favour	NN	favour
Chinecherem	NP	<unknown>
decided	VBD	decide
to	TO	to
act	VB	act
.	SENT	.
Together	RB	together
they	PP	they
formed	VBD	form
Eco	NP	Eco
Elixirs	NNS	elixir
and	CC	and
created	VBN	create
EarthExp	NP	<unknown>
,	,	,
an	DT	an
app	NP	App
designed	VBN	design
to	TO	to
turn	VB	turn
environmental	JJ	environmental
education	NN	education
into	IN	into
an	DT	an
engaging	JJ	engaging
,	,	,
everyday	JJ	everyday
experience	NN	experience
.	SENT	.
EarthExp	NP	<unknown>
combines	VBZ	combine
games	NNS	game
,	,	,
virtual	JJ	virtual
reality	NN	reality
,	,	,
and	CC	and
social	JJ	social
features	NNS	feature
to	TO	to
encourage	VB	encourage
people	NNS	people
to	TO	to
change	VB	change
how	WRB	how
they	PP	they
think	VBP	think
and	CC	and
act	VBP	act
toward	IN	toward
the	DT	the
environment	NN	environment
.	SENT	.
Within	IN	within
the	DT	the
app	NP	App
,	,	,
users	NNS	user
build	VBP	build
their	PP$	their
own	JJ	own
cities	NNS	city
and	CC	and
are	VBP	be
faced	VBN	face
with	IN	with
choices	NNS	choice
that	WDT	that
mirror	VBP	mirror
real-world	NN	real-world
environmental	JJ	environmental
challenges	NNS	challenge
.	SENT	.
Every	DT	every
decision	NN	decision
–	:	-
from	IN	from
how	WRB	how
to	TO	to
manage	VB	manage
waste	VB	waste
to	TO	to
how	WRB	how
much	JJ	much
plastic	NN	plastic
to	TO	to
use	VB	use
–	:	-
shapes	VBZ	shape
the	DT	the
city	NN	city
’s	POS	's
future	NN	future
.	SENT	.
By	IN	by
making	VBG	make
eco-friendly	JJ	eco-friendly
choices	NNS	choice
,	,	,
users	NNS	user
see	VBP	see
positive	JJ	positive
outcomes	NNS	outcome
and	CC	and
learn	VB	learn
how	WRB	how
actions	NNS	action
like	IN	like
reducing	VBG	reduce
plastic	JJ	plastic
pollution	NN	pollution
and	CC	and
preventing	VBG	prevent
deforestation	NN	deforestation
can	MD	can
protect	VB	protect
the	DT	the
planet	NN	planet
.	SENT	.
The	DT	the
app	NP	App
goes	VBZ	go
beyond	IN	beyond
passive	JJ	passive
learning	NN	learning
.	SENT	.
It	PP	it
rewards	VBZ	reward
real-life	JJ	real-life
climate-positive	JJ	climate-positive
actions	NNS	action
,	,	,
such	JJ	such
as	IN	as
planting	VBG	plant
trees	NNS	tree
,	,	,
helping	VBG	help
to	TO	to
connect	VB	connect
digital	JJ	digital
learning	NN	learning
with	IN	with
tangible	JJ	tangible
change	NN	change
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
Through	IN	through
these	DT	these
rewards	NNS	reward
,	,	,
EarthExp	NP	<unknown>
aims	VBZ	aim
to	TO	to
make	VB	make
sustainable	JJ	sustainable
behavior	NN	behavior
feel	VBP	feel
achievable	JJ	achievable
and	CC	and
motivating	VBG	motivate
,	,	,
especially	RB	especially
for	IN	for
young	JJ	young
people	NNS	people
.	SENT	.
EarthExp	NP	<unknown>
also	RB	also
amplifies	VBZ	amplify
and	CC	and
connects	VBZ	connect
youth	NN	youth
activism	NN	activism
already	RB	already
emerging	VBG	emerge
across	IN	across
Nigeria	NP	Nigeria
.	SENT	.
This	DT	this
includes	VBZ	include
efforts	NNS	effort
to	TO	to
reuse	VB	reuse
waste	NN	waste
materials	NNS	material
instead	RB	instead
of	IN	of
discarding	VBG	discard
them	PP	them
,	,	,
as	RB	as
well	RB	well
as	IN	as
campaigns	NNS	campaign
against	IN	against
gas	NN	gas
flaring	VBG	flare
,	,	,
which	WDT	which
contributes	VBZ	contribute
to	TO	to
both	DT	both
local	JJ	local
air	NN	air
pollution	NN	pollution
and	CC	and
global	JJ	global
warming	NN	warming
.	SENT	.
By	IN	by
spotlighting	VBG	spotlight
and	CC	and
supporting	VBG	support
these	DT	these
initiatives	NNS	initiative
,	,	,
the	DT	the
app	NP	App
helps	VBZ	help
build	VB	build
a	DT	a
sense	NN	sense
of	IN	of
shared	JJ	shared
purpose	NN	purpose
and	CC	and
community	NN	community
among	IN	among
young	JJ	young
climate	NN	climate
activists	NNS	activist
.	SENT	.
At	IN	at
its	PP$	its
core	NN	core
,	,	,
EarthExp	NP	<unknown>
is	VBZ	be
about	RB	about
mindset	NN	mindset
change	NN	change
.	SENT	.
By	IN	by
making	VBG	make
environmental	JJ	environmental
choices	NNS	choice
visible	JJ	visible
,	,	,
interactive	JJ	interactive
,	,	,
and	CC	and
rewarding	JJ	rewarding
,	,	,
Eco	NP	Eco
Elixirs	NNS	elixir
are	VBP	be
helping	VBG	help
to	TO	to
inspire	VB	inspire
a	DT	a
new	JJ	new
generation	NN	generation
in	IN	in
Nigeria	NP	Nigeria
to	TO	to
see	VB	see
themselves	PP	themselves
as	IN	as
part	NN	part
of	IN	of
the	DT	the
solution	NN	solution
and	CC	and
to	TO	to
imagine	VB	imagine
–	:	-
and	CC	and
build	VB	build
–	:	-
a	DT	a
more	RBR	more
sustainable	JJ	sustainable
future	NN	future
.	SENT	.
