Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
simple	JJ	simple
piece	NN	piece
of	IN	of
advice	NN	advice
set	VBD	set
a	DT	a
course	NN	course
for	IN	for
a	DT	a
lifetime	NN	lifetime
of	IN	of
activism	NN	activism
:	:	:
“	``	"
Be	VB	be
organized	VBN	organize
.	SENT	.
”	''	"
It	PP	it
was	VBD	be
n’t	RB	n't
a	DT	a
corporate	JJ	corporate
slogan	NN	slogan
or	CC	or
a	DT	a
call	NN	call
for	IN	for
tidy	JJ	tidy
desks	NNS	desk
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
quiet	JJ	quiet
,	,	,
practical	JJ	practical
secret	NN	secret
from	IN	from
mentor	NN	mentor
Ira	NP	Ira
Sandperl	NP	<unknown>
about	IN	about
how	WRB	how
real	JJ	real
change	NN	change
happens	VBZ	happen
:	:	:
with	IN	with
intention	NN	intention
,	,	,
discipline	NN	discipline
,	,	,
and	CC	and
care	NN	care
.	SENT	.
Looking	VBG	look
back	RB	back
over	IN	over
decades	NNS	decade
of	IN	of
campaigns	NNS	campaign
,	,	,
movements	NNS	movement
,	,	,
and	CC	and
crises	NNS	crisis
,	,	,
that	DT	that
advice	NN	advice
still	RB	still
holds	VBZ	hold
.	SENT	.
Being	VBG	be
organized	VBN	organize
is	VBZ	be
n’t	RB	n't
just	RB	just
about	IN	about
logistics	NNS	logistic
.	SENT	.
It	PP	it
means	VBZ	mean
organizing	VBG	organize
our	PP$	our
minds	NNS	mind
,	,	,
our	PP$	our
communities	NNS	community
,	,	,
our	PP$	our
stories	NNS	story
,	,	,
and	CC	and
even	RB	even
our	PP$	our
inner	JJ	inner
lives	NNS	life
so	IN	so
we	PP	we
can	MD	can
respond	VB	respond
to	TO	to
a	DT	a
world	NN	world
in	IN	in
ecological	JJ	ecological
and	CC	and
social	JJ	social
turmoil	NN	turmoil
.	SENT	.
At	IN	at
the	DT	the
heart	NN	heart
of	IN	of
this	DT	this
work	NN	work
is	VBZ	be
a	DT	a
commitment	NN	commitment
to	TO	to
seeking	VBG	seek
truth	NN	truth
.	SENT	.
That	DT	that
means	VBZ	mean
doing	VBG	do
the	DT	the
hard	JJ	hard
,	,	,
sometimes	RB	sometimes
uncomfortable	JJ	uncomfortable
research	NN	research
instead	RB	instead
of	IN	of
relying	VBG	rely
on	IN	on
what	WP	what
we	PP	we
already	RB	already
believe	VBP	believe
or	CC	or
what	WP	what
our	PP$	our
peers	NNS	peer
repeat	NN	repeat
.	SENT	.
Echo	NN	echo
chambers	NNS	chamber
and	CC	and
confirmation	NN	confirmation
bias	NN	bias
are	VBP	be
temptations	NNS	temptation
in	IN	in
every	DT	every
movement	NN	movement
,	,	,
including	VBG	include
environmental	JJ	environmental
ones	NNS	one
.	SENT	.
When	WRB	when
we	PP	we
only	RB	only
listen	VBP	listen
to	TO	to
ideas	NNS	idea
that	WDT	that
echo	VBP	echo
our	PP$	our
own	JJ	own
,	,	,
we	PP	we
stop	VBP	stop
learning	VBG	learn
,	,	,
and	CC	and
our	PP$	our
strategies	NNS	strategy
grow	VBP	grow
