“	``	"
If	IN	if
we	PP	we
always	RB	always
do	VBP	do
what	WP	what
we	PP	we
always	RB	always
did	VBD	do
,	,	,
we	PP	we
will	MD	will
always	RB	always
get	VB	get
what	WP	what
we	PP	we
always	RB	always
got	VBD	get
.	SENT	.
”	''	"
Einstein	NP	Einstein
’s	POS	's
insight	NN	insight
captures	VBZ	capture
the	DT	the
heart	NN	heart
of	IN	of
our	PP$	our
current	JJ	current
crisis	NN	crisis
:	:	:
we	PP	we
are	VBP	be
trying	VBG	try
to	TO	to
solve	VB	solve
twenty-first	JJ	twenty-first
century	NN	century
problems	NNS	problem
with	IN	with
a	DT	a
twentieth-century	JJ	<unknown>
economic	JJ	economic
mindset	NN	mindset
.	SENT	.
Climate	NN	climate
breakdown	NN	breakdown
,	,	,
inequality	NN	inequality
,	,	,
and	CC	and
social	JJ	social
fragmentation	NN	fragmentation
are	VBP	be
not	RB	not
accidents	NNS	accident
;	:	;
they	PP	they
are	VBP	be
symptoms	NNS	symptom
of	IN	of
an	DT	an
economic	JJ	economic
system	NN	system
that	WDT	that
puts	VBZ	put
profit	NN	profit
above	IN	above
people	NNS	people
and	CC	and
the	DT	the
planet	NN	planet
.	SENT	.
To	TO	to
change	VB	change
the	DT	the
outcome	NN	outcome
,	,	,
we	PP	we
need	VBP	need
new	JJ	new
thinking—and	NN	<unknown>
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
economy	NN	economy
.	SENT	.
This	DT	this
new	JJ	new
economy	NN	economy
starts	VBZ	start
from	IN	from
a	DT	a
simple	JJ	simple
but	CC	but
radical	JJ	radical
idea	NN	idea
:	:	:
everyone	NN	everyone
matters	NNS	matter
.	SENT	.
Inclusivity	NN	<unknown>
is	VBZ	be
not	RB	not
an	DT	an
add-on	JJ	add-on
;	:	;
it	PP	it
is	VBZ	be
the	DT	the
foundation	NN	foundation
.	SENT	.
That	DT	that
means	VBZ	mean
designing	VBG	design
systems	NNS	system
where	WRB	where
all	DT	all
people	NNS	people
,	,	,
not	RB	not
just	RB	just
a	DT	a
wealthy	JJ	wealthy
minority	NN	minority
,	,	,
can	MD	can
participate	VB	participate
meaningfully	RB	meaningfully
in	IN	in
economic	JJ	economic
life	NN	life
and	CC	and
share	NN	share
