When	WRB	when
Greenpeace	NP	Greenpeace
first	RB	first
challenged	VBD	challenge
the	DT	the
global	JJ	global
fashion	NN	fashion
industry	NN	industry
to	TO	to
eliminate	VB	eliminate
hazardous	JJ	hazardous
chemicals	NNS	chemical
from	IN	from
its	PP$	its
supply	NN	supply
chains	NNS	chain
by	IN	by
2020	CD	@card@
,	,	,
the	DT	the
initial	JJ	initial
response	NN	response
was	VBD	be
mixed	VBN	mix
.	SENT	.
A	DT	a
few	JJ	few
major	JJ	major
sportswear	NN	sportswear
brands	NNS	brand
such	JJ	such
as	IN	as
Adidas	NP	Adidas
,	,	,
Puma	NP	Puma
,	,	,
and	CC	and
Nike	NP	Nike
stepped	VBD	step
forward	RB	forward
with	IN	with
early	JJ	early
commitments	NNS	commitment
,	,	,
while	IN	while
much	RB	much
of	IN	of
the	DT	the
sector	NN	sector
resisted	VBD	resist
change	NN	change
and	CC	and
questioned	VBD	question
whether	IN	whether
toxic-free	JJ	<unknown>
production	NN	production
was	VBD	be
even	RB	even
realistic	JJ	realistic
.	SENT	.
Today	NN	today
,	,	,
the	DT	the
landscape	NN	landscape
looks	VBZ	look
very	RB	very
different	JJ	different
.	SENT	.
More	JJR	more
than	IN	than
70	CD	@card@
fashion	NN	fashion
brands	NNS	brand
and	CC	and
retailers	NNS	retailer
have	VBP	have
now	RB	now
made	VBN	make
Detox	NN	Detox
commitments	NNS	commitment
,	,	,
together	RB	together
representing	VBG	represent
around	IN	around
15	CD	@card@
%	NN	%
of	IN	of
global	JJ	global
textile	NN	textile
production	NN	production
.	SENT	.
Their	PP$	their
progress	NN	progress
shows	VBZ	show
that	IN	that
eliminating	VBG	eliminate
hazardous	JJ	hazardous
chemicals	NNS	chemical
from	IN	from
textile	JJ	textile
manufacturing	NN	manufacturing
is	VBZ	be
not	RB	not
only	RB	only
possible	JJ	possible
,	,	,
but	CC	but
already	RB	already
happening	VBG	happen
at	IN	at
scale	NN	scale
.	SENT	.
This	DT	this
shift	NN	shift
sends	VBZ	send
a	DT	a
powerful	JJ	powerful
message	NN	message
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
industry	NN	industry
:	:	:
toxic-free	JJ	<unknown>
fashion	NN	fashion
is	VBZ	be
feasible	JJ	feasible
,	,	,
and	CC	and
delay	NN	delay
is	VBZ	be
no	RB	no
longer	RBR	longer
justifiable	JJ	justifiable
.	SENT	.
To	TO	to
track	VB	track
and	CC	and
compare	VB	compare
corporate	JJ	corporate
performance	NN	performance
,	,	,
Greenpeace	NP	Greenpeace
created	VBD	create
the	DT	the
Detox	NN	Detox
Catwalk	NN	catwalk
,	,	,
which	WDT	which
evaluates	VBZ	evaluate
brands	NNS	brand
on	IN	on
three	CD	three
core	JJ	core
elements	NNS	element
:	:	:
eliminating	VBG	eliminate
hazardous	JJ	hazardous
chemicals	NNS	chemical
,	,	,
committing	VBG	commit
to	TO	to
