It	PP	it
all	RB	all
began	VBD	begin
with	IN	with
a	DT	a
single	JJ	single
student	NN	student
's	POS	's
act	NN	act
of	IN	of
courage	NN	courage
,	,	,
igniting	VBG	ignite
the	DT	the
global	JJ	global
school	NN	school
strikes	NNS	strike
movement	NN	movement
that	WDT	that
has	VBZ	have
grown	VBN	grow
into	IN	into
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
climate	NN	climate
actions	NNS	action
worldwide	RB	worldwide
.	SENT	.
Young	JJ	young
people	NNS	people
are	VBP	be
now	RB	now
protesting	VBG	protest
in	IN	in
countries	NNS	country
including	VBG	include
Vietnam	NP	Vietnam
,	,	,
Kenya	NP	Kenya
,	,	,
Russia	NP	Russia
,	,	,
Kosovo	NP	Kosovo
,	,	,
Solomon	NP	Solomon
Islands	NP	Islands
,	,	,
Canada	NP	Canada
,	,	,
Seychelles	NP	Seychelles
,	,	,
Pakistan	NP	Pakistan
,	,	,
Antarctica	NP	Antarctica
,	,	,
Afghanistan	NP	Afghanistan
,	,	,
and	CC	and
Bangladesh	NP	Bangladesh
.	SENT	.
Students	NNS	student
bravely	RB	bravely
demonstrate	VBP	demonstrate
in	IN	in
cities	NNS	city
like	IN	like
Kabul	NP	Kabul
,	,	,
Moscow	NP	Moscow
,	,	,
Karachi	NP	Karachi
,	,	,
and	CC	and
Ho	NP	Ho
Chi	NP	Chi
Minh	NP	Minh
,	,	,
producing	VBG	produce
iconic	JJ	iconic
images	NNS	image
and	CC	and
expanding	VBG	expand
to	TO	to
new	JJ	new
locations	NNS	location
with	IN	with
each	DT	each
strike	NN	strike
.	SENT	.
This	DT	this
tribute	NN	tribute
honors	VBZ	honor
these	DT	these
heroes	NNS	hero
amid	IN	amid
the	DT	the
climate	NN	climate
emergency	NN	emergency
,	,	,
urging	VBG	urge
all	RB	all
to	TO	to
fight	VB	fight
for	IN	for
a	DT	a
better	JJR	good
planet	NN	planet
for	IN	for
future	JJ	future
generations	NNS	generation
.	SENT	.
