Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
small	JJ	small
group	NN	group
sailed	VBD	sail
from	IN	from
Canada	NP	Canada
to	TO	to
protest	VB	protest
a	DT	a
nuclear	JJ	nuclear
bomb	NN	bomb
test	NN	test
on	IN	on
an	DT	an
Alaskan	JJ	Alaskan
island	NN	island
.	SENT	.
That	DT	that
bold	JJ	bold
voyage	NN	voyage
inspired	VBD	inspire
global	JJ	global
action	NN	action
and	CC	and
led	VBD	lead
to	TO	to
the	DT	the
founding	NN	founding
of	IN	of
Greenpeace	NP	Greenpeace
.	SENT	.
This	DT	this
post	NN	post
pays	VBZ	pay
tribute	NN	tribute
to	TO	to
those	DT	those
early	JJ	early
members	NNS	member
who	WP	who
transformed	VBD	transform
Greenpeace	NP	Greenpeace
from	IN	from
a	DT	a
local	JJ	local
,	,	,
predominantly	RB	predominantly
male	JJ	male
,	,	,
white	JJ	white
group	NN	group
into	IN	into
a	DT	a
diverse	JJ	diverse
,	,	,
global	JJ	global
organization	NN	organization
.	SENT	.
They	PP	they
shifted	VBD	shift
the	DT	the
focus	NN	focus
to	TO	to
tackling	VBG	tackle
the	DT	the
root	NN	root
causes	VBZ	cause
of	IN	of
environmental	JJ	environmental
destruction	NN	destruction
.	SENT	.
Among	IN	among
the	DT	the
key	JJ	key
achievements	NNS	achievement
are	VBP	be
whaling	VBG	whale
moratoriums	NNS	moratorium
,	,	,
halting	VBG	halt
nuclear	JJ	nuclear
testing	NN	testing
,	,	,
the	DT	the
Antarctic	NP	Antarctic
Treaty	NP	Treaty
,	,	,
and	CC	and
banning	VBG	ban
sea	NN	sea
dumping	VBG	dump
.	SENT	.
Now	RB	now
,	,	,
amid	IN	amid
climate	NN	climate
change	NN	change
and	CC	and
biodiversity	NN	biodiversity
crises	NNS	crisis
enabled	VBN	enable
by	IN	by
profit-driven	JJ	profit-driven
structures	NNS	structure
,	,	,
it	PP	it
's	VBZ	be
time	NN	time
for	IN	for
unprecedented	JJ	unprecedented
unity	NN	unity
and	CC	and
action	NN	action
.	SENT	.
We	PP	we
draw	VBP	draw
hope	NN	hope
from	IN	from
past	JJ	past
movements	NNS	movement
to	TO	to
demand	VB	demand
a	DT	a
green	JJ	green
,	,	,
peaceful	JJ	peaceful
future	NN	future
.	SENT	.
