I	PP	I
'm	VBP	be
excited	VBN	excite
to	TO	to
share	VB	share
an	DT	an
update	NN	update
from	IN	from
our	PP$	our
ongoing	JJ	ongoing
efforts	NNS	effort
to	TO	to
protect	VB	protect
the	DT	the
world	NN	world
's	POS	's
oceans	NNS	ocean
.	SENT	.
Yu-Chi	NP	<unknown>
Huang	NP	Huang
,	,	,
known	VBN	know
as	IN	as
Kelly	NP	Kelly
,	,	,
a	DT	a
Greenpeace	NP	Greenpeace
East	NP	East
Asia	NP	Asia
veteran	NN	veteran
from	IN	from
Taiwan	NP	Taiwan
,	,	,
has	VBZ	have
joined	VBN	join
the	DT	the
Rainbow	NP	Rainbow
Warrior	NP	Warrior
as	IN	as
Onboard	JJ	onboard
Digital	NP	Digital
Campaigner	NN	campaigner
for	IN	for
the	DT	the
Global	NP	Global
Protect	VB	protect
the	DT	the
Oceans	NNS	ocean
voyage	NN	voyage
in	IN	in
the	DT	the
Pacific	NP	Pacific
.	SENT	.
The	DT	the
diverse	JJ	diverse
international	JJ	international
crew	NN	crew
is	VBZ	be
sailing	VBG	sail
the	DT	the
eco-friendly	JJ	eco-friendly
ship	NN	ship
,	,	,
powered	VBN	power
by	IN	by
wind	NN	wind
at	IN	at
7-10	CD	@card@
knots	NNS	knot
,	,	,
to	TO	to
bear	VB	bear
witness	NN	witness
to	TO	to
ocean	NN	ocean
threats	NNS	threat
like	IN	like
illegal	JJ	illegal
fishing	NN	fishing
and	CC	and
deep-sea	NN	deep-sea
mining	NN	mining
,	,	,
while	IN	while
advocating	VBG	advocate
for	IN	for
a	DT	a
strong	JJ	strong
UN	NP	UN
Oceans	NNS	ocean
Treaty	NP	Treaty
.	SENT	.
Despite	IN	despite
pandemic	JJ	pandemic
challenges	NNS	challenge
,	,	,
strict	JJ	strict
COVID	NP	<unknown>
protocols	NNS	protocol
including	VBG	include
multiple	JJ	multiple
PCR	NP	PCR
tests	NNS	test
and	CC	and
quarantine	NN	quarantine
are	VBP	be
ensuring	VBG	ensure
safe	JJ	safe
operations	NNS	operation
for	IN	for
the	DT	the
nearly	RB	nearly
three-month	JJ	three-month
journey	NN	journey
without	IN	without
ports	NNS	port
.	SENT	.
