Europe	NP	Europe
is	VBZ	be
grappling	VBG	grapple
with	IN	with
a	DT	a
volatile	JJ	volatile
energy	NN	energy
crisis	NN	crisis
driven	VBN	drive
by	IN	by
war	NN	war
,	,	,
soaring	VBG	soar
prices	NNS	price
,	,	,
inflation	NN	inflation
,	,	,
recession	NN	recession
,	,	,
and	CC	and
escalating	VBG	escalate
climate	NN	climate
challenges	NNS	challenge
.	SENT	.
This	DT	this
situation	NN	situation
threatens	VBZ	threaten
to	TO	to
plunge	VB	plunge
many	JJ	many
into	IN	into
energy	NN	energy
poverty	NN	poverty
as	IN	as
winter	NN	winter
approaches	NNS	approach
.	SENT	.
To	TO	to
address	VB	address
this	DT	this
,	,	,
we	PP	we
must	MD	must
urgently	RB	urgently
reduce	VB	reduce
our	PP$	our
reliance	NN	reliance
on	IN	on
gas	NN	gas
,	,	,
oil	NN	oil
,	,	,
and	CC	and
electricity	NN	electricity
.	SENT	.
This	DT	this
includes	VBZ	include
prioritizing	NN	<unknown>
cuts	NNS	cut
in	IN	in
industry	NN	industry
through	IN	through
rationing	VBG	ration
and	CC	and
mandatory	JJ	mandatory
measures	NNS	measure
,	,	,
similar	JJ	similar
to	TO	to
the	DT	the
Netherlands	NPS	Netherlands
'	POS	'
implementation	NN	implementation
of	IN	of
a	DT	a
25	CD	@card@
%	NN	%
reduction	NN	reduction
in	IN	in
gas	NN	gas
use	NN	use
.	SENT	.
In	IN	in
the	DT	the
transport	NN	transport
sector	NN	sector
,	,	,
reforms	NNS	reform
are	VBP	be
essential	JJ	essential
:	:	:
introducing	VBG	introduce
affordable	JJ	affordable
public	JJ	public
transport	NN	transport
tickets	NNS	ticket
,	,	,
banning	VBG	ban
short-haul	NN	short-haul
flights	NNS	flight
and	CC	and
private	JJ	private
jets	NNS	jet
,	,	,
and	CC	and
encouraging	JJ	encouraging
efficient	JJ	efficient
driving	NN	driving
practices	NNS	practice
.	SENT	.
These	DT	these
steps	NNS	step
can	MD	can
save	VB	save
oil	NN	oil
,	,	,
cut	NN	cut
emissions	NNS	emission
,	,	,
and	CC	and
deliver	VB	deliver
savings	NNS	saving
of	IN	of
up	RB	up
to	TO	to
€63	JJ	<unknown>
billion	NNS	billion
.	SENT	.
We	PP	we
should	MD	should
also	RB	also
promote	VB	promote
the	DT	the
adoption	NN	adoption
of	IN	of
heat	NN	heat
pumps	NNS	pump
,	,	,
better	JJR	good
insulation	NN	insulation
,	,	,
and	CC	and
solar	JJ	solar
energy	NN	energy
solutions	NNS	solution
.	SENT	.
Additionally	RB	additionally
,	,	,
taxing	VBG	tax
the	DT	the
windfall	NN	windfall
profits	NNS	profit
of	IN	of
fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
can	MD	can
provide	VB	provide
crucial	JJ	crucial
support	NN	support
to	TO	to
vulnerable	JJ	vulnerable
households	NNS	household
.	SENT	.
Finally	RB	finally
,	,	,
it	PP	it
's	VBZ	be
time	NN	time
to	TO	to
end	VB	end
subsidies	NNS	subsidy
for	IN	for
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
halt	VB	halt
their	PP$	their
expansion	NN	expansion
,	,	,
paving	VBG	pave
the	DT	the
way	NN	way
for	IN	for
a	DT	a
just	JJ	just
transition	NN	transition
to	TO	to
100	CD	@card@
%	NN	%
renewable	JJ	renewable
energy	NN	energy
.	SENT	.
