There	EX	there
's	VBZ	be
a	DT	a
remarkable	JJ	remarkable
global	JJ	global
shift	NN	shift
underway	JJ	underway
,	,	,
moving	VBG	move
away	RB	away
from	IN	from
coal—the	JJ	<unknown>
primary	JJ	primary
energy	NN	energy
source	NN	source
since	IN	since
2003	CD	@card@
and	CC	and
the	DT	the
largest	JJS	large
emitter	NN	emitter
of	IN	of
CO2	NP	<unknown>
,	,	,
with	IN	with
mining	NN	mining
also	RB	also
releasing	VBG	release
methane	NN	methane
.	SENT	.
Even	RB	even
as	IN	as
politicians	NNS	politician
like	IN	like
Trump	NP	Trump
push	VBP	push
to	TO	to
bolster	VB	bolster
fossil	JJ	fossil
fuels	NNS	fuel
,	,	,
fresh	JJ	fresh
research	NN	research
from	IN	from
Greenpeace	NP	Greenpeace
and	CC	and
CoalSwarm	NP	CoalSwarm
reveals	VBZ	reveal
that	IN	that
23	CD	@card@
countries	NNS	country
,	,	,
states	NNS	state
,	,	,
and	CC	and
cities	NNS	city
are	VBP	be
committing	VBG	commit
to	TO	to
phase	VB	phase
out	RP	out
coal	NN	coal
by	IN	by
2030	CD	@card@
.	SENT	.
This	DT	this
includes	VBZ	include
three	CD	three
G7	JJ	<unknown>
economies	NNS	economy
and	CC	and
potentially	RB	potentially
Italy	NP	Italy
,	,	,
leading	VBG	lead
to	TO	to
370	CD	@card@
coal	NN	coal
plants	NNS	plant
being	VBG	be
shut	VBN	shut
down	RP	down
or	CC	or
avoided—enough	NN	avoided—enough
to	TO	to
power	VB	power
the	DT	the
equivalent	NN	equivalent
of	IN	of
six	CD	six
UKs	NNS	<unknown>
and	CC	and
retire	VB	retire
half	PDT	half
a	DT	a
trillion	CD	trillion
USD	NN	USD
in	IN	in
assets	NNS	asset
.	SENT	.
Around	IN	around
the	DT	the
world	NN	world
,	,	,
protests	NNS	protest
are	VBP	be
amplifying	VBG	amplify
the	DT	the
call	NN	call
for	IN	for
change	NN	change
,	,	,
from	IN	from
activists	NNS	activist
at	IN	at
the	DT	the
UK	NP	UK
's	POS	's
Kingsnorth	NP	Kingsnorth
to	TO	to
those	DT	those
fighting	NN	fighting
for	IN	for
clean	JJ	clean
air	NN	air
in	IN	in
Delhi	NP	Delhi
,	,	,
all	RB	all
demanding	VBG	demand
a	DT	a
swift	JJ	swift
transition	NN	transition
to	TO	to
renewables	NNS	<unknown>
.	SENT	.
