Taiwan	NP	Taiwan
's	POS	's
coral	JJ	coral
reefs	NNS	reef
,	,	,
known	VBN	know
for	IN	for
their	PP$	their
incredible	JJ	incredible
diversity	NN	diversity
,	,	,
are	VBP	be
facing	VBG	face
a	DT	a
severe	JJ	severe
crisis	NN	crisis
with	IN	with
widespread	JJ	widespread
bleaching	VBG	bleach
events	NNS	event
.	SENT	.
This	DT	this
alarming	JJ	alarming
phenomenon	NN	phenomenon
is	VBZ	be
being	VBG	be
driven	VBN	drive
by	IN	by
record-high	JJ	record-high
sea	NN	sea
temperatures	NNS	temperature
that	WDT	that
have	VBP	have
surpassed	VBN	surpass
30°C	JJ	<unknown>
,	,	,
a	DT	a
reduction	NN	reduction
in	IN	in
typhoons	NNS	typhoon
that	WDT	that
would	MD	would
normally	RB	normally
cool	VB	cool
the	DT	the
waters	NNS	water
,	,	,
and	CC	and
the	DT	the
ongoing	JJ	ongoing
effects	NNS	effect
of	IN	of
ocean	NN	ocean
warming	NN	warming
linked	VBN	link
to	TO	to
climate	NN	climate
change	NN	change
.	SENT	.
Compounding	VBG	compound
these	DT	these
issues	NNS	issue
are	VBP	be
human-related	JJ	human-related
pollutants	NNS	pollutant
,	,	,
including	VBG	include
agricultural	JJ	agricultural
pesticides	NNS	pesticide
,	,	,
wastewater	NN	wastewater
discharges	NNS	discharge
,	,	,
and	CC	and
chemicals	NNS	chemical
from	IN	from
harmful	JJ	harmful
sunscreens	NNS	sunscreen
that	WDT	that
are	VBP	be
damaging	VBG	damage
these	DT	these
fragile	JJ	fragile
ecosystems	NNS	ecosystem
.	SENT	.
The	DT	the
consequences	NNS	consequence
are	VBP	be
dire	JJ	dire
:	:	:
large-scale	JJ	large-scale
coral	JJ	coral
mortality	NN	mortality
is	VBZ	be
occurring	VBG	occur
,	,	,
leading	VBG	lead
to	TO	to
broader	JJR	broad
ecosystem	NN	ecosystem
disruptions	NNS	disruption
.	SENT	.
This	DT	this
affects	VBZ	affect
marine	JJ	marine
life	NN	life
that	WDT	that
depends	VBZ	depend
on	IN	on
reefs	NNS	reef
,	,	,
diminishes	VBZ	diminish
natural	JJ	natural
protection	NN	protection
against	IN	against
coastline	NN	coastline
erosion	NN	erosion
,	,	,
and	CC	and
threatens	VBZ	threaten
industries	NNS	industry
like	IN	like
tourism	NN	tourism
and	CC	and
fisheries	NNS	fishery
.	SENT	.
Recovery	NN	recovery
is	VBZ	be
expected	VBN	expect
to	TO	to
be	VB	be
slow	JJ	slow
,	,	,
as	IN	as
corals	NNS	coral
typically	RB	typically
grow	VBP	grow
at	IN	at
a	DT	a
rate	NN	rate
of	IN	of
just	RB	just
1cm	JJ	<unknown>
per	IN	per
year	NN	year
.	SENT	.
To	TO	to
prevent	VB	prevent
further	JJR	further
devastation	NN	devastation
,	,	,
we	PP	we
need	VBP	need
ambitious	JJ	ambitious
actions	NNS	action
to	TO	to
reduce	VB	reduce
carbon	NN	carbon
emissions	NNS	emission
by	IN	by
transitioning	VBG	<unknown>
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
to	TO	to
sustainable	JJ	sustainable
energy	NN	energy
sources	NNS	source
.	SENT	.
Ongoing	JJ	ongoing
preservation	NN	preservation
efforts	NNS	effort
are	VBP	be
essential	JJ	essential
to	TO	to
fight	VB	fight
global	JJ	global
warming	NN	warming
and	CC	and
ocean	NN	ocean
acidification	NN	acidification
,	,	,
safeguarding	VBG	safeguard
these	DT	these
vital	JJ	vital
reefs	NNS	reef
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
