More	JJR	more
than	IN	than
half	PDT	half
a	DT	a
million	CD	million
people	NNS	people
have	VBP	have
stood	VBN	stand
up	RP	up
for	IN	for
free	JJ	free
speech	NN	speech
and	CC	and
for	IN	for
the	DT	the
Canadian	JJ	Canadian
boreal	JJ	boreal
forest	NN	forest
,	,	,
raising	VBG	raise
their	PP$	their
voices	NNS	voice
to	TO	to
call	VB	call
on	IN	on
the	DT	the
largest	JJS	large
global	JJ	global
publishers	NNS	publisher
to	TO	to
pay	VB	pay
attention	NN	attention
and	CC	and
be	VB	be
our	PP$	our
allies	NNS	ally
.	SENT	.
First	RB	first
,	,	,
we	PP	we
made	VBD	make
a	DT	a
delivery	NN	delivery
to	TO	to
Macmillan	NP	Macmillan
in	IN	in
the	DT	the
historic	JJ	historic
Flatiron	NN	flatiron
building	NN	building
.	SENT	.
When	WRB	when
we	PP	we
asked	VBD	ask
the	DT	the
CEO	NN	CEO
and	CC	and
other	JJ	other
company	NN	company
representatives	NNS	representative
to	TO	to
plan	VB	plan
for	IN	for
time	NN	time
to	TO	to
come	VB	come
accept	VB	accept
the	DT	the
book	NN	book
,	,	,
we	PP	we
were	VBD	be
instructed	VBN	instruct
to	TO	to
simply	RB	simply
leave	VB	leave
it	PP	it
with	IN	with
the	DT	the
security	NN	security
guard	NN	guard
.	SENT	.
They	PP	they
are	VBP	be
trying	VBG	try
to	TO	to
ignore	VB	ignore
the	DT	the
voices	NNS	voice
of	IN	of
500,000	CD	@card@
,	,	,
but	CC	but
for	IN	for
how	WRB	how
long	RB	long
?	SENT	?
Next	RB	next
we	PP	we
handed	VBD	hand
over	IN	over
the	DT	the
book	NN	book
to	TO	to
Penguin	NN	penguin
Random	NP	Random
House	NP	House
and	CC	and
received	VBD	receive
a	DT	a
respectable	JJ	respectable
reception	NN	reception
with	IN	with
someone	NN	someone
who	WP	who
seemed	VBD	seem
to	TO	to
appreciate	VB	appreciate
the	DT	the
book	NN	book
and	CC	and
what	WP	what
it	PP	it
represented	VBD	represent
.	SENT	.
I	PP	I
have	VBP	have
my	PP$	my
fingers	NNS	finger
crossed	VBD	cross
that	IN	that
we	PP	we
’ll	RB	<unknown>
be	VB	be
hearing	VBG	hear
good	JJ	good
things	NNS	thing
from	IN	from
them	PP	them
again	RB	again
soon	RB	soon
.	SENT	.
The	DT	the
largest	JJS	large
publisher	NN	publisher
in	IN	in
the	DT	the
world	NN	world
cannot	MD	can
ignore	VB	ignore
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
They	PP	they
cannot	MD	can
ignore	VB	ignore
the	DT	the
best	JJS	good
science	NN	science
,	,	,
or	CC	or
the	DT	the
promises	NNS	promise
they	PP	they
have	VBP	have
made	VBN	make
to	TO	to
their	PP$	their
readers	NNS	reader
and	CC	and
choose	VB	choose
inaction	NN	inaction
which	WDT	which
is	VBZ	be
effectively	RB	effectively
choosing	VBG	choose
the	DT	the
side	NN	side
of	IN	of
corporate	JJ	corporate
bullies	NNS	bully
and	CC	and
a	DT	a
sad	JJ	sad
future	NN	future
for	IN	for
free	JJ	free
speech	NN	speech
.	SENT	.
We	PP	we
then	RB	then
handed	VBD	hand
over	IN	over
the	DT	the
book	NN	book
to	TO	to
Simon	NP	Simon
&	CC	&
Schuster	NP	Schuster
.	SENT	.
Unfortunately	RB	unfortunately
in	IN	in
order	NN	order
to	TO	to
get	VB	get
the	DT	the
opportunity	NN	opportunity
to	TO	to
hand	VB	hand
over	IN	over
the	DT	the
book	NN	book
,	,	,
I	PP	I
had	VBD	have
to	TO	to
promise	VB	promise
not	RB	not
to	TO	to
talk	VB	talk
about	IN	about
it	PP	it
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
me	PP	me
not	RB	not
talking	VBG	talk
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
ensure	VB	ensure
you	PP	you
all	RB	all
that	IN	that
our	PP$	our
continued	JJ	continued
voices	NNS	voice
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
vital	JJ	vital
with	IN	with
this	DT	this
one	CD	one
.	SENT	.
Lastly	RB	lastly
we	PP	we
headed	VBD	head
to	TO	to
the	DT	the
headquarters	NN	headquarters
of	IN	of
the	DT	the
second	JJ	second
largest	JJS	large
publisher	NN	publisher
in	IN	in
the	DT	the
world	NN	world
,	,	,
HarperCollins	NP	HarperCollins
.	SENT	.
Sadly	RB	sadly
,	,	,
500,000	CD	@card@
people	NNS	people
are	VBP	be
not	RB	not
enough	JJ	enough
to	TO	to
warrant	VB	warrant
a	DT	a
single	JJ	single
person	NN	person
from	IN	from
the	DT	the
company	NN	company
to	TO	to
talk	VB	talk
to	TO	to
us	PP	us
.	SENT	.
We	PP	we
personally	RB	personally
called	VBD	call
the	DT	the
Vice	NP	Vice
President	NP	President
of	IN	of
Corporate	NP	Corporate
Communications	NPS	Communications
and	CC	and
the	DT	the
security	NN	security
guard	NN	guard
called	VBD	call
up	RP	up
to	TO	to
the	DT	the
front	JJ	front
desk	NN	desk
.	SENT	.
We	PP	we
were	VBD	be
once	RB	once
again	RB	again
refused	VBN	refuse
.	SENT	.
So	IN	so
our	PP$	our
book	NN	book
lies	VBZ	lie
with	IN	with
an	DT	an
uncertain	JJ	uncertain
future	NN	future
inside	IN	inside
HarperCollins	NP	HarperCollins
’	POS	'
mailroom	NN	mailroom
.	SENT	.
But	CC	but
what	WP	what
is	VBZ	be
not	RB	not
uncertain	JJ	uncertain
is	VBZ	be
Greenpeace	NP	Greenpeace
’s	POS	's
resolve	NN	resolve
to	TO	to
continue	VB	continue
to	TO	to
insist	VB	insist
that	IN	that
HarperCollins	NP	HarperCollins
stands	VBZ	stand
up	RP	up
for	IN	for
free	JJ	free
speech	NN	speech
and	CC	and
forests	NNS	forest
.	SENT	.
We	PP	we
will	MD	will
not	RB	not
back	VB	back
down	RP	down
and	CC	and
we	PP	we
ask	VBP	ask
you	PP	you
all	DT	all
to	TO	to
continue	VB	continue
to	TO	to
stand	VB	stand
with	IN	with
us	PP	us
.	SENT	.
Our	PP$	our
voices	NNS	voice
are	VBP	be
vital	JJ	vital
In	IN	in
the	DT	the
end	NN	end
,	,	,
I	PP	I
felt	VBD	feel
humbled	VBN	humble
to	TO	to
have	VB	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
personally	RB	personally
deliver	VB	deliver
these	DT	these
books	NNS	book
and	CC	and
cannot	MD	can
thank	VB	thank
you	PP	you
all	RB	all
enough	RB	enough
for	IN	for
contributing	VBG	contribute
to	TO	to
them	PP	them
.	SENT	.
It	PP	it
is	VBZ	be
our	PP$	our
voices	NNS	voice
that	WDT	that
are	VBP	be
vital	JJ	vital
for	IN	for
free	JJ	free
speech	NN	speech
and	CC	and
for	IN	for
forests	NNS	forest
.	SENT	.
Greenpeace	NP	Greenpeace
will	MD	will
continue	VB	continue
to	TO	to
bravely	RB	bravely
face	VB	face
the	DT	the
biggest	JJS	big
challenge	NN	challenge
to	TO	to
our	PP$	our
45	CD	@card@
year-history	NN	year-history
with	IN	with
you	PP	you
all	DT	all
by	IN	by
our	PP$	our
side	NN	side
.	SENT	.
Lets	VBZ	let
see	VB	see
what	WP	what
the	DT	the
future	NN	future
holds	VBZ	hold
and	CC	and
hope	VBP	hope
that	IN	that
a	DT	a
second	JJ	second
volume	NN	volume
of	IN	of
these	DT	these
books	NNS	book
is	VBZ	be
not	RB	not
needed	VBN	need
before	IN	before
publishers	NNS	publisher
live	VBP	live
up	RP	up
to	TO	to
the	DT	the
promises	NNS	promise
they	PP	they
have	VBP	have
already	RB	already
made	VBN	make
and	CC	and
start	NN	start
being	VBG	be
part	NN	part
of	IN	of
the	DT	the
solution	NN	solution
for	IN	for
healthy	JJ	healthy
forests	NNS	forest
and	CC	and
free	JJ	free
speech	NN	speech
.	SENT	.
See	VB	see
the	DT	the
digital	JJ	digital
version	NN	version
of	IN	of
the	DT	the
book	NN	book
HERE	RB	here
Amy	NP	Amy
Moas	NNS	moa
,	,	,
Ph.D.	NP	<unknown>
is	VBZ	be
a	DT	a
Forest	NP	Forest
Campaigner	NN	campaigner
at	IN	at
Greenpeace	NP	Greenpeace
USA	NP	USA
We	PP	we
bound	VBD	bind
the	DT	the
signatures	NNS	signature
in	IN	in
a	DT	a
handmade	JJ	handmade
book	NN	book
,	,	,
along	RB	along
with	IN	with
dozens	NNS	dozen
of	IN	of
photos	NNS	photo
of	IN	of
people	NNS	people
in	IN	in
front	NN	front
of	IN	of
significant	JJ	significant
trees	NNS	tree
in	IN	in
their	PP$	their
communities	NNS	community
,	,	,
showing	VBG	show
how	WRB	how
much	JJ	much
the	DT	the
forest	NN	forest
means	VBZ	mean
to	TO	to
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
Thank	VB	thank
you	PP	you
to	TO	to
