There	EX	there
’s	VBZ	be
an	DT	an
important	JJ	important
line	NN	line
in	IN	in
the	DT	the
Paris	NP	Paris
climate	NN	climate
agreement	NN	agreement
which	WDT	which
says	VBZ	say
:	:	:
For	IN	for
the	DT	the
climate	NN	climate
to	TO	to
stay	VB	stay
under	IN	under
1.5°C	NN	<unknown>
of	IN	of
warming	NN	warming
,	,	,
every	DT	every
industry	NN	industry
you	PP	you
can	MD	can
think	VB	think
of	IN	of
needs	NNS	need
to	TO	to
start	VB	start
making	VBG	make
radical	JJ	radical
changes	NNS	change
.	SENT	.
From	IN	from
companies	NNS	company
that	WDT	that
produce	VBP	produce
electricity	NN	electricity
,	,	,
to	TO	to
construction	NN	construction
firms	NNS	firm
that	WDT	that
build	VBP	build
our	PP$	our
homes	NNS	home
and	CC	and
offices	NNS	office
,	,	,
through	IN	through
to	TO	to
the	DT	the
big	JJ	big
food	NN	food
and	CC	and
agriculture	NN	agriculture
firms	NNS	firm
that	WDT	that
oversee	VBP	oversee
so	RB	so
much	RB	much
of	IN	of
the	DT	the
food	NN	food
we	PP	we
all	RB	all
buy	VBP	buy
–	:	-
these	DT	these
industries	NNS	industry
make	VBP	make
up	RP	up
the	DT	the
bulk	NN	bulk
of	IN	of
the	DT	the
global	JJ	global
economy	NN	economy
,	,	,
and	CC	and
they	PP	they
all	RB	all
need	VBP	need
to	TO	to
play	VB	play
their	PP$	their
part	NN	part
in	IN	in
transitioning	VBG	<unknown>
from	IN	from
a	DT	a
high	JJ	high
carbon	NN	carbon
world	NN	world
to	TO	to
a	DT	a
low	JJ	low
carbon	NN	carbon
one	CD	one
.	SENT	.
Getting	VBG	get
every	DT	every
industry	NN	industry
on	IN	on
the	DT	the
planet	NN	planet
to	TO	to
change	VB	change
its	PP$	its
business	NN	business
practices	NNS	practice
might	MD	might
seem	VB	seem
a	DT	a
little	RB	little
daunting	JJ	daunting
,	,	,
but	CC	but
in	IN	in
some	DT	some
sectors	NNS	sector
it	PP	it
’s	VBZ	be
already	RB	already
happening	VBG	happen
.	SENT	.
EU	NP	EU
greenhouse	NN	greenhouse
emissions	NNS	emission
per	IN	per
sector	NN	sector
.	SENT	.
Transport	NN	transport
emissions	NNS	emission
have	VBP	have
risen	VBN	rise
in	IN	in
recent	JJ	recent
years	NNS	year
and	CC	and
predicted	VBD	predict
to	TO	to
flatline	NN	<unknown>
.	SENT	.
Source	NN	source
:	:	:
European	NP	European
Commission	NP	Commission
.	SENT	.
Take	VB	take
the	DT	the
electricity	NN	electricity
sector	NN	sector
,	,	,
where	WRB	where
thousands	NNS	thousand
of	IN	of
wind	NN	wind
farms	NNS	farm
and	CC	and
solar	JJ	solar
panels	NNS	panel
have	VBP	have
been	VBN	be
installed	VBN	install
over	IN	over
the	DT	the
last	JJ	last
decade	NN	decade
.	SENT	.
Wind	NN	wind
,	,	,
solar	JJ	solar
and	CC	and
biomass	NN	biomass
now	RB	now
supply	VB	supply
more	JJR	more
than	IN	than
20	CD	@card@
%	NN	%
of	IN	of
electricity	NN	electricity
generated	VBN	generate
in	IN	in
the	DT	the
EU	NP	EU
,	,	,
up	RB	up
from	IN	from
less	JJR	less
than	IN	than
10	CD	@card@
%	NN	%
in	IN	in
2010	CD	@card@
.	SENT	.
But	CC	but
it	PP	it
’s	VBZ	be
a	DT	a
different	JJ	different
story	NN	story
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
transport	NN	transport
.	SENT	.
Transport	NP	Transport
is	VBZ	be
the	DT	the
only	RB	only
major	JJ	major
sector	NN	sector
where	WRB	where
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
have	VBP	have
gone	VBN	go
up	RP	up
in	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
with	IN	with
rising	VBG	rise
car	NN	car
sales	NNS	sale
and	CC	and
a	DT	a
soaring	VBG	soar
demand	NN	demand
for	IN	for
larger	JJR	large
vehicles	NNS	vehicle
(	(	(
like	IN	like
SUVs	NP	<unknown>
)	)	)
driving	VBG	drive
the	DT	the
problem	NN	problem
.	SENT	.
With	IN	with
the	DT	the
automobile	NN	automobile
industry	NN	industry
quite	RB	quite
literally	RB	literally
steering	VBG	steer
plans	NNS	plan
to	TO	to
tackle	VB	tackle
climate	NN	climate
change	NN	change
in	IN	in
the	DT	the
wrong	JJ	wrong
direction	NN	direction
,	,	,
some	DT	some
governments	NNS	government
are	VBP	be
now	RB	now
talking	VBG	talk
of	IN	of
forcing	VBG	force
them	PP	them
onto	IN	onto
a	DT	a
path	NN	path
that	WDT	that
’s	VBZ	be
better	JJR	good
for	IN	for
the	DT	the
climate	NN	climate
.	SENT	.
Like	IN	like
the	DT	the
UK	NP	UK
and	CC	and
France	NP	France
,	,	,
who	WP	who
are	VBP	be
discussing	VBG	discuss
plans	NNS	plan
to	TO	to
ban	VB	ban
the	DT	the
sale	NN	sale
of	IN	of
new	JJ	new
petrol	NN	petrol
and	CC	and
diesel	JJ	diesel
vehicles	NNS	vehicle
by	IN	by
2040	CD	@card@
.	SENT	.
But	CC	but
with	IN	with
2018	CD	@card@
being	VBG	be
so	RB	so
scorching	VBG	scorch
hot	JJ	hot
that	IN	that
wildfires	NNS	wildfire
broke	VBD	break
out	RP	out
across	IN	across
the	DT	the
northern	JJ	northern
hemisphere	NN	hemisphere
,	,	,
this	DT	this
year	NN	year
’s	POS	's
weather	NN	weather
raises	VBZ	raise
the	DT	the
question	NN	question
:	:	:
can	MD	can
we	PP	we
really	RB	really
wait	VBP	wait
for	IN	for
these	DT	these
proposed	VBN	propose
bans	NNS	ban
to	TO	to
fix	VB	fix
things	NNS	thing
?	SENT	?
2028	CD	@card@
deadline	NN	deadline
To	TO	to
answer	VB	answer
this	DT	this
question	NN	question
,	,	,
the	DT	the
German	JJ	German
researchers	NNS	researcher
began	VBD	begin
by	IN	by
charting	VBG	chart
what	WP	what
they	PP	they
think	VBP	think
will	MD	will
happen	VB	happen
naturally	RB	naturally
to	TO	to
the	DT	the
car	NN	car
industry	NN	industry
,	,	,
without	IN	without
new	JJ	new
laws	NNS	law
to	TO	to
force	VB	force
car	NN	car
firms	NNS	firm
to	TO	to
change	VB	change
.	SENT	.
Their	PP$	their
predictions	NNS	prediction
factored	VBN	factor
in	IN	in
the	DT	the
fact	NN	fact
that	IN	that
,	,	,
due	JJ	due
to	TO	to
public	JJ	public
concerns	NNS	concern
about	IN	about
the	DT	the
health	NN	health
impact	NN	impact
of	IN	of
diesels	NNS	diesel
,	,	,
the	DT	the
sale	NN	sale
of	IN	of
diesel-powered	JJ	diesel-powered
cars	NNS	car
is	VBZ	be
already	RB	already
falling	VBG	fall
dramatically	RB	dramatically
.	SENT	.
