How	WRB	how
pesticides	NNS	pesticide
affect	VB	affect
farmers	NNS	farmer
’	''	'
and	CC	and
our	PP$	our
health	NN	health
.	SENT	.
At	IN	at
Greenpeace	NP	Greenpeace
we	PP	we
have	VBP	have
been	VBN	be
campaigning	VBG	campaign
against	IN	against
the	DT	the
use	NN	use
of	IN	of
chemical	JJ	chemical
pesticides	NNS	pesticide
in	IN	in
agriculture	NN	agriculture
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
Not	RB	not
only	RB	only
because	IN	because
they	PP	they
are	VBP	be
not	RB	not
necessary	JJ	necessary
for	IN	for
food	NN	food
production	NN	production
,	,	,
in	IN	in
fact	NN	fact
ecological	JJ	ecological
pest	NN	pest
management	NN	management
is	VBZ	be
successfully	RB	successfully
implemented	VBN	implement
around	IN	around
the	DT	the
world	NN	world
,	,	,
but	CC	but
also	RB	also
because	IN	because
these	DT	these
chemicals	NNS	chemical
have	VBP	have
an	DT	an
impact	NN	impact
on	IN	on
our	PP$	our
health	NN	health
.	SENT	.
So	RB	so
,	,	,
we	PP	we
decided	VBD	decide
to	TO	to
investigate	VB	investigate
the	DT	the
current	JJ	current
literature	NN	literature
on	IN	on
the	DT	the
health	NN	health
impacts	NNS	impact
of	IN	of
common	JJ	common
pesticides	NNS	pesticide
used	VBD	use
today	NN	today
by	IN	by
industrial	JJ	industrial
agriculture	NN	agriculture
.	SENT	.
The	DT	the
findings	NNS	finding
outlined	VBN	outline
in	IN	in
this	DT	this
report	NN	report
are	VBP	be
grim	JJ	grim
reading	NN	reading
.	SENT	.
Historically	RB	historically
,	,	,
since	IN	since
the	DT	the
1950s	NNS	1950s
industrial	JJ	industrial
agriculture	NN	agriculture
has	VBZ	have
been	VBN	be
increasingly	RB	increasingly
reliant	JJ	reliant
on	IN	on
the	DT	the
use	NN	use
of	IN	of
fertilisers	NNS	fertiliser
and	CC	and
pesticides	NNS	pesticide
to	TO	to
produce	VB	produce
low	JJ	low
cost	NN	cost
food	NN	food
–	:	-
a	DT	a
short-term	JJ	short-term
solution	NN	solution
for	IN	for
a	DT	a
large-scale	JJ	large-scale
need	NN	need
.	SENT	.
With	IN	with
larger	JJR	large
field	NN	field
sizes	NNS	size
and	CC	and
a	DT	a
reduction	NN	reduction
in	IN	in
the	DT	the
diversity	NN	diversity
of	IN	of
habitats	NNS	habitat
for	IN	for
natural	JJ	natural
pests	NNS	pest
,	,	,
the	DT	the
use	NN	use
of	IN	of
pesticides	NNS	pesticide
has	VBZ	have
become	VBN	become
routine	JJ	routine
.	SENT	.
In	IN	in
most	JJS	most
cases	NNS	case
it	PP	it
is	VBZ	be
even	RB	even
preemptive	JJ	preemptive
–	:	-
dosing	VBG	dose
the	DT	the
fields	NNS	field
with	IN	with
a	DT	a
cocktail	NN	cocktail
of	IN	of
chemicals	NNS	chemical
before	IN	before
there	EX	there
is	VBZ	be
a	DT	a
pest	NN	pest
problem	NN	problem
.	SENT	.
Agricultural	JJ	agricultural
workers	NNS	worker
,	,	,
and	CC	and
their	PP$	their
families	NNS	family
are	VBP	be
exposed	VBN	expose
to	TO	to
these	DT	these
toxic	JJ	toxic
substances	NNS	substance
throughout	IN	throughout
their	PP$	their
working	VBG	work
lives	NNS	life
.	SENT	.
However	RB	however
,	,	,
proving	VBG	prove
that	IN	that
a	DT	a
substance	NN	substance
definitively	RB	definitively
causes	VBZ	cause
a	DT	a
disease	NN	disease
is	VBZ	be
difficult	JJ	difficult
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
members	NNS	member
of	IN	of
the	DT	the
