There	EX	there
will	MD	will
not	RB	not
be	VB	be
the	DT	the
usual	JJ	usual
flood	NN	flood
of	IN	of
private	JJ	private
jets	NNS	jet
heading	VBG	head
to	TO	to
Davos	NP	Davos
in	IN	in
Switzerland	NP	Switzerland
next	JJ	next
week	NN	week
.	SENT	.
In	IN	in
response	NN	response
,	,	,
we	PP	we
need	VBP	need
nothing	NN	nothing
less	JJR	less
than	IN	than
transformational	JJ	transformational
green	JJ	green
and	CC	and
just	JJ	just
recoveries	NNS	recovery
.	SENT	.
Recovery	NN	recovery
programs	NNS	program
that	WDT	that
strengthen	VBP	strengthen
our	PP$	our
communities	NNS	community
,	,	,
respect	VB	respect
our	PP$	our
planet	NN	planet
and	CC	and
address	VB	address
the	DT	the
root	NN	root
causes	VBZ	cause
of	IN	of
injustice	NN	injustice
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
,	,	,
in	IN	in
2021	CD	@card@
,	,	,
Greenpeace	NP	Greenpeace
is	VBZ	be
working	VBG	work
with	IN	with
allies	NNS	ally
on	IN	on
advancing	VBG	advance
the	DT	the
radical	JJ	radical
policies	NNS	policy
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
demand	NN	demand
:	:	:
In	IN	in
Canada	NP	Canada
we	PP	we
are	VBP	be
pushing	VBG	push
for	IN	for
a	DT	a
Wealth	NN	wealth
Tax	NN	tax
to	TO	to
pay	VB	pay
for	IN	for
the	DT	the
recovery	NN	recovery
;	:	;
in	IN	in
the	DT	the
Philippines	NPS	Philippine
,	,	,
we	PP	we
are	VBP	be
demanding	VBG	demand
a	DT	a
New	NP	New
Normal	JJ	normal
,	,	,
including	VBG	include
local	JJ	local
food	NN	food
production	NN	production
and	CC	and
making	VBG	make
cities	NNS	city
fit	VBN	fit
for	IN	for
people	NNS	people
,	,	,
not	RB	not
cars	NNS	car
.	SENT	.
In	IN	in
France	NP	France
,	,	,
we	PP	we
have	VBP	have
called	VBN	call
for	IN	for
a	DT	a
ban	NN	ban
on	IN	on
dividends	NNS	dividend
for	IN	for
shareholders	NNS	shareholder
of	IN	of
all	DT	all
companies	NNS	company
that	WDT	that
fail	VBP	fail
to	TO	to
act	VB	act
on	IN	on
the	DT	the
climate	NN	climate
crisis	NN	crisis
in	IN	in
the	DT	the
Covid	NP	<unknown>
recovery	NN	recovery
.	SENT	.
Greenpeace	NP	Greenpeace
groups	NNS	group
in	IN	in
India	NP	India
,	,	,
the	DT	the
United	NP	United
States	NPS	States
,	,	,
Spain	NP	Spain
and	CC	and
New	NP	New
Zealand	NP	Zealand
have	VBP	have
all	RB	all
published	VBN	publish
inspiring	JJ	inspiring
proposals	NNS	proposal
for	IN	for
a	DT	a
green	JJ	green
and	CC	and
just	JJ	just
recovery	NN	recovery
.	SENT	.
We	PP	we
have	VBP	have
set	VBN	set
out	RP	out
how	WRB	how
we	PP	we
can	MD	can
make	VB	make
trade	NN	trade
work	NN	work
for	IN	for
people	NNS	people
,	,	,
and	CC	and
asked	VBD	ask
other	JJ	other
activists	NNS	activist
to	TO	to
re-imagine	NN	<unknown>
tax	NN	tax
and	CC	and
stewarding	VBG	steward
nature	NN	nature
with	IN	with
us	PP	us
.	SENT	.
I	PP	I
hope	VBP	hope
we	PP	we
can	MD	can
all	RB	all
take	VB	take
part	NN	part
in	IN	in
this	DT	this
movement	NN	movement
in	IN	in
2021	CD	@card@
so	IN	so
that	WDT	that
we	PP	we
can	MD	can
finally	RB	finally
tackle	VB	tackle
the	DT	the
twin	JJ	twin
crises	NNS	crisis
of	IN	of
inequality	NN	inequality
and	CC	and
climate	NN	climate
change	NN	change
.	SENT	.
You	PP	you
can	MD	can
