Who	WP	who
does	VBZ	do
n’t	RB	n't
admire	VB	admire
a	DT	a
well	RB	well
crafted	VBN	craft
animation	NN	animation
?	SENT	?
Especially	RB	especially
one	CD	one
that	WDT	that
lifts	VBZ	lift
the	DT	the
spirit	NN	spirit
and	CC	and
emboldens	VBZ	embolden
you	PP	you
to	TO	to
uproot	VB	uproot
oppressive	JJ	oppressive
systems	NNS	system
and	CC	and
make	VB	make
way	NN	way
for	IN	for
a	DT	a
better	JJR	good
world	NN	world
.	SENT	.
This	DT	this
second	JJ	second
film	NN	film
in	IN	in
the	DT	the
WoMin	NP	<unknown>
series	NN	series
shows	VBZ	show
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
rural	JJ	rural
,	,	,
peasant	NN	peasant
and	CC	and
working-class	JJ	working-class
women	NNS	woman
and	CC	and
communities	NNS	community
are	VBP	be
asserting	VBG	assert
their	PP$	their
Right	NP	Right
to	TO	to
Say	VB	say
NO	RB	no
to	TO	to
the	DT	the
theft	NN	theft
of	IN	of
Africa	NP	Africa
’s	POS	's
wealth	NN	wealth
–	:	-
land	NN	land
,	,	,
forests	NNS	forest
,	,	,
water	NN	water
bodies	NNS	body
and	CC	and
species	NNS	specie
–	:	-
while	IN	while
also	RB	also
putting	VBG	put
forward	JJ	forward
visions	NNS	vision
of	IN	of
a	DT	a
better	JJR	good
world	NN	world
.	SENT	.
Watch	VB	watch
the	DT	the
film	NN	film
now	RB	now
.	SENT	.
The	DT	the
next	JJ	next
episode	NN	episode
,	,	,
out	RB	out
in	IN	in
2022	CD	@card@
,	,	,
explores	VBZ	explore
alternatives	NNS	alternative
to	TO	to
the	DT	the
dominant	JJ	dominant
extractive	JJ	extractive
development	NN	development
in	IN	in
Africa	NP	Africa
,	,	,
that	WDT	that
people	NNS	people
are	VBP	be
courageously	RB	courageously
protecting	VBG	protect
and	CC	and
proposing	VBG	propose
.	SENT	.
You	PP	you
wo	MD	wo
n’t	RB	n't
want	VB	want
to	TO	to
miss	VB	miss
it	PP	it
!	SENT	!
Set	VBN	set
in	IN	in
2050	CD	@card@
,	,	,
A	DT	a
Plastic	NP	Plastic
Story	NP	Story
is	VBZ	be
a	DT	a
tender	NN	tender
tale	NN	tale
of	IN	of
a	DT	a
granddaughter	NN	granddaughter
and	CC	and
grandfather	NN	grandfather
sharing	VBG	share
everyday	JJ	everyday
moments	NNS	moment
together	RB	together
,	,	,
amidst	IN	amidst
the	DT	the
blight	NN	blight
of	IN	of
plastic	JJ	plastic
pollution	NN	pollution
pumped	VBN	pump
out	RP	out
by	IN	by
corporations	NNS	corporation
decades	NNS	decade
earlier	RBR	earlier
.	SENT	.
The	DT	the
message	NN	message
is	VBZ	be
clear	JJ	clear
:	:	:
our	PP$	our
children	NNS	child
will	MD	will
inherit	VB	inherit
a	DT	a
world	NN	world
drowning	VBG	drown
in	IN	in
plastic	NN	plastic
if	IN	if
we	PP	we
do	VBP	do
not	RB	not
tackle	VB	tackle
the	DT	the
problem	NN	problem
now	RB	now
.	SENT	.
As	IN	as
the	DT	the
film	NN	film
by	IN	by
Greenpeace	NP	Greenpeace
South	NP	South
Korea	NP	Korea
shows	VBZ	show
,	,	,
single-use	NN	<unknown>
plastics	NNS	plastic
are	VBP	be
already	RB	already
polluting	VBG	pollute
our	PP$	our
land	NN	land
,	,	,
sea	NN	sea
,	,	,
and	CC	and
even	RB	even
our	PP$	our
food	NN	food
.	SENT	.
Used	VBN	use
for	IN	for
seconds	NNS	second
,	,	,
they	PP	they
pollute	VBP	pollute
for	IN	for
centuries	NNS	century
.	SENT	.
Yet	RB	yet
at	IN	at
the	DT	the
current	JJ	current
rate	NN	rate
,	,	,
global	JJ	global
plastic	JJ	plastic
production	NN	production
–	:	-
which	WDT	which
is	VBZ	be
also	RB	also
propping	VBG	prop
up	RP	up
the	DT	the
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
and	CC	and
fuelling	VBG	fuel
climate	NN	climate
breakdown	NN	breakdown
–	:	-
is	VBZ	be
projected	VBN	project
to	TO	to
double	VB	double
by	IN	by
2030	CD	@card@
compared	VBN	compare
to	TO	to
2015	CD	@card@
.	SENT	.
You	PP	you
are	VBP	be
also	RB	also
invited	VBN	invite
behind	IN	behind
the	DT	the
scenes	NNS	scene
to	TO	to
watch	VB	watch
The	DT	the
Making	VBG	make
of	IN	of
A	DT	a
Plastic	NP	Plastic
Story	NP	Story
.	SENT	.
The	DT	the
UK	NP	UK
is	VBZ	be
the	DT	the
second	JJ	second
biggest	JJS	big
producer	NN	producer
of	IN	of
plastic	JJ	plastic
waste	NN	waste
per	IN	per
person	NN	person
in	IN	in
the	DT	the
world	NN	world
,	,	,
behind	IN	behind
the	DT	the
USA	NP	USA
.	SENT	.
The	DT	the
UK	NP	UK
government	NN	government
claims	VBZ	claim
to	TO	to
be	VB	be
a	DT	a
leader	NN	leader
in	IN	in
tackling	VBG	tackle
plastic	JJ	plastic
pollution	NN	pollution
.	SENT	.
But	CC	but
in	IN	in
reality	NN	reality
,	,	,
they	PP	they
’re	VBP	be
sending	VBG	send
‘	``	'
recycling	NN	recycling
’	''	'
to	TO	to
other	JJ	other
countries	NNS	country
where	WRB	where
it	PP	it
’s	VBZ	be
often	RB	often
dumped	VBN	dump
and	CC	and
burned	VBN	burn
,	,	,
causing	VBG	cause
serious	JJ	serious
health	NN	health
problems	NNS	problem
for	IN	for
local	JJ	local
people	NNS	people
,	,	,
for	IN	for
oceans	NNS	ocean
and	CC	and
wildlife	NN	wildlife
.	SENT	.
Local	JJ	local
communities	NNS	community
report	VBP	report
serious	JJ	serious
health	NN	health
problems	NNS	problem
,	,	,
like	IN	like
respiratory	JJ	respiratory
issues	NNS	issue
,	,	,
nosebleeds	NNS	nosebleed
and	CC	and
headaches	NNS	headache
.	SENT	.
Plastic	NN	plastic
also	RB	also
kills	VBZ	kill
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
marine	JJ	marine
birds	NNS	bird
,	,	,
sea	NN	sea
mammals	NNS	mammal
and	CC	and
turtles	VBZ	turtle
every	DT	every
year	NN	year
.	SENT	.
This	DT	this
film	NN	film
shows	VBZ	show
the	DT	the
amount	NN	amount
of	IN	of
plastic	NN	plastic
the	DT	the
UK	NP	UK
dumps	NNS	dump
on	IN	on
other	JJ	other
countries	NNS	country
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
That	DT	that
’s	VBZ	be
,	,	,
on	IN	on
average	NN	average
,	,	,
1.8	CD	@card@
million	CD	million
