(	(	(
LGBTQIA2S+	NP	<unknown>
is	VBZ	be
an	DT	an
acronym	NN	acronym
for	IN	for
Lesbian	JJ	Lesbian
,	,	,
Gay	NP	Gay
,	,	,
Bisexual	NN	bisexual
,	,	,
Transgender	NP	Transgender
,	,	,
Queer	NN	queer
and/or	CC	and/or
Questioning	JJ	questioning
,	,	,
Intersex	NN	intersex
,	,	,
Asexual	JJ	asexual
,	,	,
Two-Spirit	NP	Two-Spirit
,	,	,
and	CC	and
the	DT	the
countless	JJ	countless
affirmative	JJ	affirmative
ways	NNS	way
in	IN	in
which	WDT	which
people	NNS	people
choose	VBP	choose
to	TO	to
self-identify	VB	self-identify
.	SENT	.
)	)	)
In	IN	in
times	NNS	time
of	IN	of
disaster	NN	disaster
,	,	,
privilege	NN	privilege
works	NNS	work
.	SENT	.
These	DT	these
are	VBP	be
only	RB	only
a	DT	a
few	JJ	few
examples	NNS	example
of	IN	of
how	WRB	how
LGBTQIA2S+	NP	<unknown>
individuals	NNS	individual
are	VBP	be
systematically	RB	systematically
discriminated	VBN	discriminate
against	IN	against
during	IN	during
times	NNS	time
of	IN	of
climate	NN	climate
crises	NNS	crisis
.	SENT	.
They	PP	they
show	VBP	show
the	DT	the
interconnectedness	NN	interconnectedness
of	IN	of
the	DT	the
queer	JJ	queer
movement	NN	movement
and	CC	and
the	DT	the
climate	NN	climate
movement	NN	movement
,	,	,
and	CC	and
why	WRB	why
we	PP	we
need	VBP	need
to	TO	to
work	VB	work
together	RB	together
to	TO	to
do	VB	do
what	WP	what
’s	VBZ	be
right	JJ	right
,	,	,
for	IN	for
ALL	DT	all
people	NNS	people
and	CC	and
the	DT	the
planet	NN	planet
we	PP	we
call	VBP	call
our	PP$	our
home	NN	home
.	SENT	.
Greenpeace	NP	Greenpeace
might	MD	might
be	VB	be
best	RBS	well
known	VBN	know
for	IN	for
trees	NNS	tree
and	CC	and
whales	NNS	whale
,	,	,
but	CC	but
we	PP	we
also	RB	also
focus	VBP	focus
on	IN	on
the	DT	the
interconnectedness	NN	interconnectedness
of	IN	of
people	NNS	people
and	CC	and
nature	NN	nature
.	SENT	.
Interestingly	RB	interestingly
enough	RB	enough
,	,	,
the	DT	the
rainbow	NN	rainbow
flag	NN	flag
was	VBD	be
even	RB	even
made	VBN	make
with	IN	with
that	DT	that
idea	NN	idea
in	IN	in
mind	NN	mind
,	,	,
as	IN	as
the	DT	the
green	JJ	green
stands	NNS	stand
for	IN	for
‘	``	'
nature	NN	nature
’	''	'
,	,	,
something	NN	something
we	PP	we
are	VBP	be
all	RB	all
a	DT	a
part	NN	part
of	IN	of
.	SENT	.
We	PP	we
fight	VBP	fight
for	IN	for
nature	NN	nature
,	,	,
and	CC	and
we	PP	we
fight	VBP	fight
for	IN	for
every	DT	every
single	JJ	single
person	NN	person
,	,	,
no	DT	no
matter	NN	matter
their	PP$	their
gender	NN	gender
or	CC	or
ethnicity	NN	ethnicity
,	,	,
or	CC	or
whom	WP	whom
they	PP	they
choose	VBP	choose
to	TO	to
love	VB	love
.	SENT	.
Shanthuru	NP	<unknown>
Premkumar	NP	Premkumar
is	VBZ	be
the	DT	the
Justice	NP	Justice
,	,	,
Equity	NP	Equity
,	,	,
Diversity	NN	diversity
,	,	,
Inclusion	NN	inclusion
and	CC	and
Safety	NP	Safety
Officer	NP	Officer
at	IN	at
Greenpeace	NP	Greenpeace
Belgium	NP	Belgium
and	CC	and
Lina	NP	Lina
Atanasova	NP	<unknown>
is	VBZ	be
a	DT	a
Social	NP	Social
Media	NP	Media
Intern	VBP	intern
at	IN	at
Greenpeace	NP	Greenpeace
Belgium	NP	Belgium
.	SENT	.
They	PP	they
are	VBP	be
based	VBN	base
in	IN	in
Brussels	NP	Brussels
,	,	,
Belgium	NP	Belgium
.	SENT	.
It	PP	it
’s	VBZ	be
no	RB	no
secret	JJ	secret
that	IN	that
climate	NN	climate
change	NN	change
is	VBZ	be
affecting	VBG	affect
everyone	NN	everyone
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
but	CC	but
what	WP	what
is	VBZ	be
often	RB	often
forgotten	VBN	forget
is	VBZ	be
the	DT	the
disproportionate	JJ	disproportionate
impact	NN	impact
on	IN	on
already	RB	already
marginalised	VBN	<unknown>
groups	NNS	group
including	VBG	include
LGBTQIA2S+	NP	<unknown>
,	,	,
particularly	RB	particularly
if	IN	if
they	PP	they
are	VBP	be
also	RB	also
members	NNS	member
of	IN	of
other	JJ	other
marginalised	JJ	<unknown>
groups	NNS	group
such	JJ	such
as	IN	as
low-income	NN	low-income
,	,	,
Black	NP	Black
,	,	,
Indigenous	JJ	indigenous
,	,	,
or	CC	or
people	NNS	people
of	IN	of
colour	NN	colour
.	SENT	.
This	DT	this
is	VBZ	be
because	IN	because
these	DT	these
groups	NNS	group
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
experience	VB	experience
poverty	NN	poverty
,	,	,
discrimination	NN	discrimination
,	,	,
and	CC	and
violence	NN	violence
,	,	,
which	WDT	which
in	IN	in
turn	NN	turn
can	MD	can
limit	VB	limit
their	PP$	their
ability	NN	ability
to	TO	to
access	NN	access
resources	NNS	resource
and	CC	and
adapt	VB	adapt
to	TO	to
the	DT	the
changing	VBG	change
environmental	JJ	environmental
and	CC	and
societal	JJ	societal
conditions	NNS	condition
on	IN	on
our	PP$	our
warming	NN	warming
planet	NN	planet
.	SENT	.
Now	RB	now
more	RBR	more
than	IN	than
ever	RB	ever
,	,	,
it	PP	it
’s	VBZ	be
critical	JJ	critical
to	TO	to
understand	VB	understand
the	DT	the
overlap	VBP	overlap
between	IN	between
the	DT	the
climate	NN	climate
movement	NN	movement
and	CC	and
the	DT	the
queer	JJ	queer
movement	NN	movement
,	,	,
so	RB	so
we	PP	we
can	MD	can
take	VB	take
on	IN	on
these	DT	these
interconnected	VBN	interconnect
struggles	NNS	struggle
together	RB	together
as	IN	as
a	DT	a
united	VBN	unite
movement	NN	movement
.	SENT	.
LGBTQIA2S+	JJ	<unknown>
individuals	NNS	individual
are	VBP	be
often	RB	often
forced	VBN	force
to	TO	to
leave	VB	leave
their	PP$	their
homes	NNS	home
due	JJ	due
to	TO	to
family	NN	family
conflicts	NNS	conflict
,	,	,
threats	NNS	threat
of	IN	of
abuse	NN	abuse
or	CC	or
actual	JJ	actual
violence	NN	violence
,	,	,
which	WDT	which
makes	VBZ	make
them	PP	them
experience	VB	experience
higher	JJR	high
rates	NNS	rate
of	IN	of
homelessness	NN	homelessness
.	SENT	.
They	PP	they
also	RB	also
tend	VBP	tend
to	TO	to
move	VB	move
to	TO	to
segregated	JJ	segregated
locations	NNS	location
to	TO	to
reduce	VB	reduce
the	DT	the
risk	NN	risk
of	IN	of
discrimination	NN	discrimination
and	CC	and
harassment	NN	harassment
from	IN	from
neighbours	NNS	neighbour
and	CC	and
landlords	NNS	landlord
.	SENT	.
These	DT	these
areas	NNS	area
are	VBP	be
often	RB	often
the	DT	the
most	RBS	most
polluted	JJ	polluted
,	,	,
which	WDT	which
causes	VBZ	cause
many	JJ	many
health	NN	health
issues	NNS	issue
long	JJ	long
term	NN	term
and	CC	and
also	RB	also
make	VB	make
them	PP	them
much	RB	much
more	RBR	more
vulnerable	JJ	vulnerable
to	TO	to
natural	JJ	natural
disasters	NNS	disaster
.	SENT	.
Furthermore	RB	furthermore
,	,	,
climate	NN	climate
change	NN	change
exacerbates	VBZ	exacerbate
the	DT	the
pre-existing	VBG	pre-exist
inequalities	NNS	inequality
found	VBN	find
in	IN	in
society	NN	society
such	JJ	such
as	IN	as
housing	NN	housing
and	CC	and
medical	JJ	medical
care	NN	care
,	,	,
among	IN	among
many	JJ	many
others	NNS	other
,	,	,
leading	VBG	lead
