“	``	"
Human-induced	JJ	<unknown>
climate	NN	climate
change	NN	change
and	CC	and
the	DT	the
war	NN	war
on	IN	on
Ukraine	NP	Ukraine
have	VBP	have
the	DT	the
same	JJ	same
roots	NNS	root
:	:	:
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
our	PP$	our
dependence	NN	dependence
on	IN	on
them	PP	them
”	''	"
said	VBD	say
Ukrainian	JJ	Ukrainian
climate	NN	climate
scientist	NN	scientist
Svitlana	NP	<unknown>
Krakovska	NP	<unknown>
as	IN	as
Russia	NP	Russia
,	,	,
one	CD	one
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
biggest	JJS	big
oil	NN	oil
and	CC	and
gas	NN	gas
producers	NNS	producer
,	,	,
was	VBD	be
invading	VBG	invade
her	PP$	her
country	NN	country
.	SENT	.
Like	IN	like
big	JJ	big
tobacco	NN	tobacco
,	,	,
these	DT	these
companies	NNS	company
jump	VBP	jump
on	IN	on
any	DT	any
opportunity	NN	opportunity
to	TO	to
keep	VB	keep
selling	VBG	sell
their	PP$	their
dirty	JJ	dirty
products	NNS	product
.	SENT	.
Unless	IN	unless
we	PP	we
continue	VBP	continue
to	TO	to
expose	VB	expose
their	PP$	their
dirty	JJ	dirty
business	NN	business
model	NN	model
,	,	,
they	PP	they
will	MD	will
continue	VB	continue
to	TO	to
profit	VB	profit
off	RP	off
conflict	NN	conflict
and	CC	and
climate	NN	climate
crisis	NN	crisis
.	SENT	.
To	TO	to
help	VB	help
ensure	VB	ensure
peace	NN	peace
and	CC	and
stop	VB	stop
the	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
governments	NNS	government
need	VBP	need
to	TO	to
cut	VB	cut
their	PP$	their
dependency	NN	dependency
on	IN	on
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
phase	VB	phase
them	PP	them
out	RP	out
immediately	RB	immediately
.	SENT	.
Today	NN	today
,	,	,
the	DT	the
world	NN	world
economy	NN	economy
is	VBZ	be
still	RB	still
running	VBG	run
largely	RB	largely
on	IN	on
fossil	JJ	fossil
fuels	NNS	fuel
which	WDT	which
continue	VBP	continue
to	TO	to
make	VB	make
up	RP	up
for	IN	for
over	IN	over
80	CD	@card@
%	NN	%
of	IN	of
the	DT	the
global	JJ	global
energy	NN	energy
mix	NN	mix
.	SENT	.
This	DT	this
addiction	NN	addiction
to	TO	to
fossil	JJ	fossil
fuels	NNS	fuel
places	VBZ	place
energy	NN	energy
security	NN	security
and	CC	and
climate	NN	climate
action	NN	action
at	IN	at
the	DT	the
mercy	NN	mercy
of	IN	of
geopolitics	NNS	geopolitics
.	SENT	.
Governments	NNS	government
cannot	MD	can
claim	VB	claim
to	TO	to
stand	VB	stand
for	IN	for
peace	NN	peace
if	IN	if
they	PP	they
continue	VBP	continue
to	TO	to
finance	VB	finance
war	NN	war
.	SENT	.
And	CC	and
shifting	VBG	shift
from	IN	from
Russian	JJ	Russian
oil	NN	oil
and	CC	and
gas	NN	gas
to	TO	to
oil	NN	oil
and	CC	and
gas	NN	gas
from	IN	from
other	JJ	other
countries	NNS	country
with	IN	with
questionable	JJ	questionable
human	JJ	human
rights	NNS	right
records	NNS	record
,	,	,
like	IN	like
Venezuela	NP	Venezuela
or	CC	or
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
will	MD	will
only	RB	only
shift	VB	shift
geopolitical	JJ	geopolitical
power	NN	power
from	IN	from
one	CD	one
abuser	NN	abuser
to	TO	to
another	DT	another
.	SENT	.
These	DT	these
power	NN	power
imbalances	NNS	imbalance
can	MD	can
lead	VB	lead
to	TO	to
countries	NNS	country
acting	VBG	act
with	IN	with
impunity	NN	impunity
.	SENT	.
At	IN	at
the	DT	the
recent	JJ	recent
COP26	NP	<unknown>
global	JJ	global
climate	NN	climate
talks	NNS	talk
,	,	,
leading	VBG	lead
oil	NN	oil
and	CC	and
coal	NN	coal
producers	NNS	producer
like	IN	like
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
Australia	NP	Australia
stymied	VBD	stymie
efforts	NNS	effort
to	TO	to
include	VB	include
fossil	JJ	fossil
fuel	NN	fuel
phase-out	JJ	phase-out
in	IN	in
the	DT	the
final	JJ	final
text	NN	text
,	,	,
and	CC	and
countries	NNS	country
like	IN	like
Russia	NP	Russia
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
are	VBP	be
not	RB	not
members	NNS	member
of	IN	of
the	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
which	WDT	which
prosecutes	VBZ	prosecute
war	NN	war
crimes	NNS	crime
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
get	VB	get
to	TO	to
a	DT	a
more	RBR	more
just	JJ	just
and	CC	and
peaceful	JJ	peaceful
world	NN	world
,	,	,
we	PP	we
need	VBP	need
countries	NNS	country
to	TO	to
cut	VB	cut
their	PP$	their
