Turtles	NPS	Turtles
,	,	,
seabirds	NNS	seabird
,	,	,
seals	NNS	seal
,	,	,
and	CC	and
whales	NNS	whale
are	VBP	be
well-documented	JJ	well-documented
victims	NNS	victim
of	IN	of
out	RB	out
of	IN	of
control	NN	control
plastic	NN	plastic
pollution	NN	pollution
,	,	,
but	CC	but
when	WRB	when
was	VBD	be
the	DT	the
last	JJ	last
time	NN	time
you	PP	you
saw	VBD	see
a	DT	a
video	NN	video
of	IN	of
a	DT	a
person	NN	person
suffering	NN	suffering
in	IN	in
the	DT	the
grips	NNS	grip
of	IN	of
the	DT	the
global	JJ	global
plastics	NNS	plastic
crisis	NN	crisis
?	SENT	?
Also	RB	also
,	,	,
do	VBP	do
n’t	RB	n't
forget	VB	forget
that	IN	that
plastic	NN	plastic
is	VBZ	be
itself	PP	itself
created	VBD	create
from	IN	from
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
lobbied	VBD	lobby
for	IN	for
by	IN	by
the	DT	the
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
,	,	,
while	IN	while
they	PP	they
desperately	RB	desperately
try	VBP	try
to	TO	to
maintain	VB	maintain
the	DT	the
single-use	NN	<unknown>
plastic	NN	plastic
status	NN	status
quo	NN	quo
instead	RB	instead
of	IN	of
tackling	VBG	tackle
the	DT	the
problem	NN	problem
at	IN	at
source	NN	source
.	SENT	.
Only	RB	only
by	IN	by
stopping	VBG	stop
the	DT	the
production	NN	production
of	IN	of
single-use	NN	<unknown>
plastics	NNS	plastic
can	MD	can
this	DT	this
crisis	NN	crisis
be	VB	be
addressed	VBN	address
.	SENT	.
But	CC	but
these	DT	these
companies	NNS	company
try	VBP	try
to	TO	to
keep	VB	keep
you	PP	you
in	IN	in
the	DT	the
dark	NN	dark
by	IN	by
claiming	VBG	claim
recycling	NN	recycling
can	MD	can
solve	VB	solve
the	DT	the
plastic	JJ	plastic
pollution	NN	pollution
crisis	NN	crisis
to	TO	to
ensure	VB	ensure
their	PP$	their
profit	NN	profit
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
people	NNS	people
right	RB	right
now	RB	now
,	,	,
today	NN	today
.	SENT	.
Learn	VB	learn
more	RBR	more
from	IN	from
GAIA	NP	Gaia
field	NN	field
research	NN	research
here	RB	here
and	CC	and
by	IN	by
reading	VBG	read
the	DT	the
Greenpeace	NP	Greenpeace
East	NP	East
Asia	NP	Asia
report	NN	report
here	RB	here
Kate	NP	Kate
Lin	NP	Lin
is	VBZ	be
a	DT	a
senior	JJ	senior
campaigner	NN	campaigner
at	IN	at
Greenpeace	NP	Greenpeace
East	NP	East
Asia	NP	Asia
,	,	,
