Last	JJ	last
Friday	NP	Friday
,	,	,
a	DT	a
tailing	VBG	tail
dam	NN	dam
from	IN	from
an	DT	an
iron	NN	iron
ore	NN	ore
mine	NN	mine
in	IN	in
Brumadinho	NP	<unknown>
,	,	,
Brazil	NP	Brazil
,	,	,
collapsed	VBD	collapse
,	,	,
releasing	VBG	release
a	DT	a
lmost	JJ	<unknown>
13	CD	@card@
million	CD	million
cubic	JJ	cubic
metres	NNS	metre
of	IN	of
mining	NN	mining
waste	NN	waste
.	SENT	.
The	DT	the
toxic	JJ	toxic
sludge	NN	sludge
swept	VBD	sweep
the	DT	the
region	NN	region
.	SENT	.
So	RB	so
far	RB	far
,	,	,
110	CD	@card@
people	NNS	people
have	VBP	have
been	VBN	be
confirmed	VBN	confirm
dead	RB	dead
and	CC	and
over	IN	over
230	CD	@card@
are	VBP	be
still	RB	still
missing	VBG	miss
.	SENT	.
The	DT	the
Pataxó	NP	<unknown>
Hã-hã-hãe	NP	<unknown>
Indigenous	JJ	indigenous
people	NNS	people
are	VBP	be
among	IN	among
the	DT	the
communities	NNS	community
affected	VBN	affect
by	IN	by
the	DT	the
disaster	NN	disaster
.	SENT	.
After	IN	after
the	DT	the
dam	NN	dam
—	:	-
which	WDT	which
was	VBD	be
operated	VBN	operate
by	IN	by
Vale	NP	Vale
,	,	,
one	CD	one
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
biggest	JJS	big
mining	NN	mining
companies	NNS	company
—	:	-
collapsed	VBD	collapse
,	,	,
the	DT	the
Naô	NP	<unknown>
Xohã	NP	<unknown>
Indigenous	JJ	indigenous
village	NN	village
can	MD	can
no	RB	no
longer	RBR	longer
fish	VB	fish
and	CC	and
bathe	VB	bathe
in	IN	in
the	DT	the
Paraopeba	NP	<unknown>
River	NP	River
,	,	,
ravaged	VBN	ravage
by	IN	by
mining	NN	mining
waste	NN	waste
.	SENT	.
“	``	"
The	DT	the
Earth	NN	earth
is	VBZ	be
vomiting	VBG	vomit
.	SENT	.
She	PP	she
is	VBZ	be
sick	JJ	sick
.	SENT	.
Everything	NN	everything
that	WDT	that
destroys	VBZ	destroy
nature	NN	nature
destroys	VBZ	destroy
itself	PP	itself
,	,	,
”	''	"
she	PP	she
said	VBD	say
,	,	,
emphasizing	VBG	emphasize
the	DT	the
importance	NN	importance
of	IN	of
that	DT	that
body	NN	body
of	IN	of
water	NN	water
to	TO	to
the	DT	the
community	NN	community
.	SENT	.
“	``	"
Our	PP$	our
relationship	NN	relationship
with	IN	with
the	DT	the
river	NN	river
is	VBZ	be
very	RB	very
special	JJ	special
because	IN	because
the	DT	the
Pataxó	NP	<unknown>
came	VBD	come
from	IN	from
a	DT	a
drop	NN	drop
of	IN	of
water	NN	water
that	WDT	that
fell	VBD	fall
on	IN	on
the	DT	the
Earth	NN	earth
.	SENT	.
”	''	"
Fear	NN	fear
for	IN	for
the	DT	the
future	JJ	future
Hayô	NP	<unknown>
is	VBZ	be
concerned	VBN	concern
about	IN	about
the	DT	the
new	JJ	new
government	NN	government
’s	POS	's
proposal	NN	proposal
to	TO	to
allow	VB	allow
mining	NN	mining
in	IN	in
Indigenous	JJ	indigenous
lands	NNS	land
,	,	,
especially	RB	especially
when	WRB	when
lack	NN	lack
of	IN	of
transparency	NN	transparency
and	CC	and
compliance	NN	compliance
with	IN	with
regulations	NNS	regulation
leaves	VBZ	leave
mining	NN	mining
companies	NNS	company
virtually	RB	virtually
above	IN	above
the	DT	the
law	NN	law
.	SENT	.
He	PP	he
says	VBZ	say
,	,	,
“	``	"
We	PP	we
must	MD	must
respect	VB	respect
nature	NN	nature
and	CC	and
say	VBP	say
‘	``	'
no	UH	no
’	''	'
to	TO	to
mining	NN	mining
companies	NNS	company
.	SENT	.
”	''	"
In	IN	in
the	DT	the
Pataxó	NP	<unknown>
language	NN	language
,	,	,
Naô	NP	<unknown>
Xohã	NP	<unknown>
means	VBZ	mean
“	``	"
Warrior	NP	Warrior
Spirit	NP	Spirit
.	SENT	.
”	''	"
We	PP	we
left	VBD	leave
the	DT	the
village	NN	village
sure	JJ	sure
that	IN	that
the	DT	the
Pataxó	NP	<unknown>
will	MD	will
fight	VB	fight
to	TO	to
the	DT	the
end	NN	end
for	IN	for
the	DT	the
preservation	NN	preservation
of	IN	of
their	PP$	their
people	NNS	people
and	CC	and
their	PP$	their
territory	NN	territory
.	SENT	.
Because	RB	because
,	,	,
as	IN	as
the	DT	the
Chief	NP	Chief
Hayô	NP	<unknown>
told	VBD	tell
me	PP	me
,	,	,
“	``	"
if	IN	if
there	EX	there
’s	VBZ	be
no	DT	no
nature	NN	nature
,	,	,
we	PP	we
ca	MD	ca
n’t	RB	n't
be	VB	be
the	DT	the
Pataxó	NP	<unknown>
people	NNS	people
.	SENT	.
”	''	"
Our	PP$	our
visit	NN	visit
to	TO	to
the	DT	the
Naô	NP	<unknown>
Xohã	NP	<unknown>
village	NN	village
was	VBD	be
supported	VBN	support
by	IN	by
Cimi	NP	<unknown>
,	,	,
the	DT	the
Indigenous	JJ	indigenous
Missionary	NN	missionary
Council	NP	Council
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
body	NN	body
under	IN	under
the	DT	the
National	NP	National
Conference	NN	conference
of	IN	of
Bishops	NNS	bishop
of	IN	of
Brazil	NP	Brazil
–	:	-
CNBB	NP	<unknown>
.	SENT	.
Mariana	NP	Mariana
Campos	NP	Campos
is	VBZ	be
a	DT	a
storyteller	NN	storyteller
at	IN	at
Greenpeace	NP	Greenpeace
Brazil	NP	Brazil
.	SENT	.
Greenpeace	NP	Greenpeace
activists	NNS	activist
are	VBP	be
in	IN	in
Brumadinho	NP	<unknown>
in	IN	in
Minas	NP	Minas
Gerais	NP	Gerais
State	NP	State
,	,	,
Brazil	NP	Brazil
,	,	,
documenting	VBG	document
the	DT	the
tragedy	NN	tragedy
and	CC	and
demanding	VBG	demand
justice	NN	justice
for	IN	for
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
environment	NN	environment
.	SENT	.
Four	CD	four
days	NNS	day
after	IN	after
the	DT	the
disaster	NN	disaster
,	,	,
we	PP	we
headed	VBD	head
to	TO	to
the	DT	the
Naô	NP	<unknown>
Xohã	NP	<unknown>
village	NN	village
,	,	,
located	VBN	locate
22	CD	@card@
kilometres	NNS	kilometre
from	IN	from
the	DT	the
dam	NN	dam
.	SENT	.
We	PP	we
were	VBD	be
greeted	VBN	greet
by	IN	by
their	PP$	their
leader	NN	leader
,	,	,
Hayô	NP	<unknown>
Pataxó	NP	<unknown>
Hã-hã-hãe	NP	<unknown>
,	,	,
and	CC	and
deputy	JJ	deputy
leader	NN	leader
,	,	,
Werymerry	NP	Werymerry
Pataxó	NP	<unknown>
Hã-hã-hãe	NP	<unknown>
.	SENT	.
Their	PP$	their
faces	NNS	face
wore	VBD	wear
the	DT	the
strain	NN	strain
of	IN	of
a	DT	a
community	NN	community
struggling	VBG	struggle
to	TO	to
find	VB	find
a	DT	a
way	NN	way
forward	RB	forward
out	RB	out
of	IN	of
tragedy	NN	tragedy
.	SENT	.
They	PP	they
told	VBD	tell
us	PP	us
that	IN	that
the	DT	the
stretch	NN	stretch
of	IN	of
the	DT	the
Paraopeba	NP	<unknown>
River	NP	River
that	WDT	that
passes	VBZ	pass
by	IN	by
their	PP$	their
village	NN	village
is	VBZ	be
contaminated	VBN	contaminate
with	IN	with
toxic	JJ	toxic
waste	NN	waste
from	IN	from
Vale	NP	Vale
’s	POS	's
dam	NN	dam
,	,	,
and	CC	and
they	PP	they
can	MD	can
no	RB	no
longer	RBR	longer
fish	VB	fish
or	CC	or
bathe	VB	bathe
in	IN	in
it	PP	it
.	SENT	.
“	``	"
At	IN	at
first	JJ	first
,	,	,
we	PP	we
were	VBD	be
hit	VBN	hit
by	IN	by
desperation	NN	desperation
because	IN	because
a	DT	a
similar	JJ	similar
tragedy	NN	tragedy
has	VBZ	have
happened	VBN	happen
before	RB	before
and	CC	and
we	PP	we
all	RB	all
know	VBP	know
the	DT	the
consequences	NNS	consequence
of	IN	of
that	DT	that
,	,	,
”	''	"
said	VBD	say
Werymerry	NP	Werymerry
.	SENT	.
She	PP	she
’s	VBZ	be
referring	VBG	refer
to	TO	to
the	DT	the
mining	NN	mining
dam	NN	dam
collapse	NN	collapse
in	IN	in
Mariana	NP	Mariana
—	:	-
also	RB	also
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Minas	NP	Minas
Gerais	NP	Gerais
—	:	-
in	IN	in
2015	CD	@card@
,	,	,
that	WDT	that
killed	VBD	kill
21	CD	@card@
people	NNS	people
,	,	,
destroying	VBG	destroy
a	DT	a
river	NN	river
and	CC	and
the	DT	the
livelihoods	NNS	livelihood
of	IN	of
hundreds	NNS	hundred
of	IN	of
people	NNS	people
.	SENT	.
That	DT	that
dam	NN	dam
was	VBD	be
also	RB	also
operated	VBN	operate
by	IN	by
Vale	NP	Vale
.	SENT	.
“	``	"
We	PP	we
gathered	VBD	gather
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
people	NNS	people
in	IN	in
our	PP$	our
village	NN	village
and	CC	and
took	VBD	take
them	PP	them
to	TO	to
the	DT	the
top	NN	top
of	IN	of
the	DT	the
hill	NN	hill
until	IN	until
we	PP	we
could	MD	could
assess	VB	assess
what	WP	what
the	DT	the
real	JJ	real
situation	NN	situation
was	VBD	be
.	SENT	.
I	PP	I
felt	VBD	feel
powerless	JJ	powerless
because	IN	because
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
our	PP$	our
village	NN	village
depend	VB	depend
on	IN	on
us	PP	us
,	,	,
and	CC	and
,	,	,
as	IN	as
a	DT	a
leader	NN	leader
,	,	,
this	DT	this
made	VBD	make
me	PP	me
feel	VBP	feel
lost	VBN	lose
.	SENT	.
”	''	"
There	EX	there
are	VBP	be
seven	CD	seven
pregnant	JJ	pregnant
women	NNS	woman
,	,	,
two	CD	two
elderly	JJ	elderly
residents	NNS	resident
,	,	,
and	CC	and
19	CD	@card@
children	NNS	child
currently	RB	currently
living	VBG	live
in	IN	in
the	DT	the
village	NN	village
.	SENT	.
Antonia	NP	Antonia
Remunganha	NP	<unknown>
,	,	,
88	CD	@card@
,	,	,
is	VBZ	be
the	DT	the
oldest	JJS	old
person	NN	person
in	IN	in
the	DT	the
community	NN	community
.	SENT	.
Seated	VBN	seat
on	IN	on
a	DT	a
wooden	JJ	wooden
stool	NN	stool
at	IN	at
the	DT	the
entrance	NN	entrance
of	IN	of
her	PP$	her
oca	NN	oca
—	:	-
a	DT	a
typical	JJ	typical
dwelling	NN	dwelling
of	IN	of
Indigenous	JJ	indigenous
peoples	NNS	people
from	IN	from
South	NP	South
America	NP	America
—	:	-
she	PP	she
mourned	VBD	mourn
over	IN	over
the	DT	the
latest	JJS	late
events	NNS	event
.	SENT	.
“	``	"
It	PP	it
’s	VBZ	be
such	PDT	such
a	DT	a
painful	JJ	painful
tragedy	NN	tragedy
.	SENT	.
Many	JJ	many
people	NNS	people
died	VBD	die
,	,	,
and	CC	and
so	RB	so
did	VBD	do
the	DT	the
fish	NN	fish
that	WDT	that
were	VBD	be
our	PP$	our
main	JJ	main
source	NN	source
of	IN	of
food	NN	food
.	SENT	.
Now	RB	now
you	PP	you
ca	MD	ca
n’t	RB	n't
catch	VB	catch
a	DT	a
fish	NN	fish
and	CC	and
eat	VB	eat
it	PP	it
.	SENT	.
The	DT	the
waters	NNS	water
of	IN	of
the	DT	the
river	NN	river
turned	VBN	turn
into	IN	into
toxic	JJ	toxic
mud	NN	mud
.	SENT	.
What	WP	what
will	MD	will
become	VB	become
of	IN	of
us	PP	us
?	SENT	?
”	''	"
On	IN	on
the	DT	the
bank	NN	bank
of	IN	of
the	DT	the
Paraopeba	NP	<unknown>
River	NP	River
,	,	,
the	DT	the
smell	NN	smell
of	IN	of
dead	JJ	dead
fish	NN	fish
made	VBD	make
me	PP	me
nauseous	JJ	nauseous
.	SENT	.
To	TO	to
reduce	VB	reduce
the	DT	the
strong	JJ	strong
odor	NN	odor
and	CC	and
avoid	VB	avoid
the	DT	the
mosquitoes	NNS	mosquito
,	,	,
the	DT	the
village	NN	village
residents	NNS	resident
are	VBP	be
burying	VBG	bury
the	DT	the
fish	NN	fish
.	SENT	.
Without	IN	without
their	PP$	their
primary	JJ	primary
source	NN	source
of	IN	of
food	NN	food
and	CC	and
water	NN	water
supply	NN	supply
,	,	,
they	PP	they
are	VBP	be
relying	VBG	rely
on	IN	on
donations	NNS	donation
.	SENT	.
As	RB	as
of	IN	of
our	PP$	our
visit	NN	visit
,	,	,
Vale	NP	Vale
had	VBD	have
not	RB	not
yet	RB	yet
contacted	VBN	contact
the	DT	the
community	NN	community
.	SENT	.
Werrymery	NP	<unknown>
showed	VBD	show
me	PP	me
two	CD	two
bottles	NNS	bottle
of	IN	of
water	NN	water
samples	NNS	sample
from	IN	from
the	DT	the
river	NN	river
.	SENT	.
One	PP	one
collected	VBD	collect
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
learned	VBD	learn
of	IN	of
the	DT	the
collapse	NN	collapse
,	,	,
when	WRB	when
the	DT	the
mud	NN	mud
had	VBD	have
not	RB	not
yet	RB	yet
reached	VBN	reach
the	DT	the
village	NN	village
,	,	,
and	CC	and
the	DT	the
other	JJ	other
,	,	,
two	CD	two
days	NNS	day
later	RBR	later
,	,	,
when	WRB	when
the	DT	the
mining	NN	mining
waste	NN	waste
reached	VBD	reach
their	PP$	their
village	NN	village
.	SENT	.
The	DT	the
color	NN	color
contrast	NN	contrast
is	VBZ	be
shocking	JJ	shocking
,	,	,
ranging	VBG	range
from	IN	from
almost	RB	almost
crystalline	JJ	crystalline
to	TO	to
an	DT	an
earthy	JJ	earthy
brown	NN	brown
.	SENT	.
