Fifty	CD	fifty
years	NNS	year
ago	RB	ago
today	RB	today
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
ordinary	JJ	ordinary
people	NNS	people
set	VBD	set
sail	NN	sail
from	IN	from
Canada	NP	Canada
on	IN	on
a	DT	a
rusty	JJ	rusty
fishing	NN	fishing
boat	NN	boat
bound	VBN	bind
for	IN	for
a	DT	a
small	JJ	small
Alaskan	JJ	Alaskan
island	NN	island
to	TO	to
put	VB	put
themselves	PP	themselves
in	IN	in
the	DT	the
path	NN	path
of	IN	of
a	DT	a
nuclear	JJ	nuclear
bomb	NN	bomb
.	SENT	.
That	DT	that
first	JJ	first
voyage	NN	voyage
opened	VBD	open
up	RP	up
the	DT	the
hearts	NNS	heart
and	CC	and
consciousness	NN	consciousness
of	IN	of
others	NNS	other
,	,	,
inspired	VBD	inspire
them	PP	them
,	,	,
and	CC	and
helped	VBD	help
them	PP	them
find	VBP	find
ways	NNS	way
to	TO	to
show	VB	show
their	PP$	their
own	JJ	own
courage	NN	courage
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
power	NN	power
of	IN	of
people	NNS	people
taking	VBG	take
action	NN	action
.	SENT	.
People	NNS	people
have	VBP	have
extraordinary	JJ	extraordinary
power	NN	power
if	IN	if
they	PP	they
stand	VBP	stand
together	RB	together
,	,	,
if	IN	if
they	PP	they
demand	VBP	demand
a	DT	a
better	JJR	good
world	NN	world
,	,	,
promote	VB	promote
and	CC	and
nurture	VB	nurture
it	PP	it
,	,	,
and	CC	and
to	TO	to
lay	VB	lay
siege	NN	siege
to	TO	to
those	DT	those
who	WP	who
would	MD	would
deny	VB	deny
it	PP	it
.	SENT	.
Over	IN	over
the	DT	the
last	JJ	last
weeks	NNS	week
and	CC	and
months	NNS	month
I	PP	I
have	VBP	have
listened	VBN	listen
to	TO	to
many	JJ	many
stories	NNS	story
from	IN	from
those	DT	those
who	WP	who
have	VBP	have
been	VBN	be
part	NN	part
of	IN	of
Greenpeace	NP	Greenpeace
over	IN	over
the	DT	the
years	NNS	year
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
moment	NN	moment
to	TO	to
pay	VB	pay
tribute	NN	tribute
to	TO	to
those	DT	those
who	WP	who
came	VBD	come
before	IN	before
we	PP	we
were	VBD	be
a	DT	a
global	JJ	global
organisation	NN	organisation
,	,	,
before	IN	before
email	NN	<unknown>
,	,	,
back	RB	back
in	IN	in
the	DT	the
days	NNS	day
when	WRB	when
the	DT	the
crew	NN	crew
of	IN	of
the	DT	the
first	JJ	first
Rainbow	NP	Rainbow
Warrior	NP	Warrior
would	MD	would
have	VB	have
to	TO	to
take	VB	take
on	IN	on
jobs	NNS	job
in	IN	in
a	DT	a
local	JJ	local
cannary	NN	<unknown>
to	TO	to
pay	VB	pay
for	IN	for
fuel	NN	fuel
.	SENT	.
They	PP	they
blazed	VBD	blaze
the	DT	the
path	NN	path
,	,	,
built	VBN	build
bridges	NNS	bridge
,	,	,
and	CC	and
created	VBN	create
allies	NNS	ally
we	PP	we
stand	VBP	stand
alongside	IN	alongside
today	NN	today
.	SENT	.
They	PP	they
