Earlier	RBR	earlier
this	DT	this
month	NN	month
leading	VBG	lead
climate	NN	climate
scientists	NNS	scientist
issued	VBD	issue
their	PP$	their
landmark	JJ	landmark
report	NN	report
on	IN	on
climate	NN	climate
solutions	NNS	solution
,	,	,
directly	RB	directly
to	TO	to
world	NN	world
governments	NNS	government
,	,	,
saying	VBG	say
it	PP	it
’s	VBZ	be
“	``	"
now	RB	now
or	CC	or
never	RB	never
”	''	"
if	IN	if
we	PP	we
are	VBP	be
to	TO	to
meet	VB	meet
the	DT	the
Paris	NP	Paris
Agreement	NP	Agreement
1.5°C	NP	<unknown>
warming	NN	warming
limit	NN	limit
.	SENT	.
Kaisa	NP	<unknown>
Kosonen	NP	Kosonen
is	VBZ	be
a	DT	a
Senior	NP	Senior
Policy	NP	Policy
Advisor	NP	Advisor
with	IN	with
Greenpeace	NP	Greenpeace
Nordi	NP	<unknown>
c.	FW	c.
And	CC	and
the	DT	the
response	NN	response
?	SENT	?
Well	RB	well
,	,	,
not	RB	not
what	WP	what
we	PP	we
need	VBP	need
.	SENT	.
Since	IN	since
the	DT	the
release	NN	release
,	,	,
governments	NNS	government
have	VBP	have
announced	VBN	announce
or	CC	or
approved	VBN	approve
new	JJ	new
oil	NN	oil
and	CC	and
gas	NN	gas
projects	NNS	project
,	,	,
despite	IN	despite
the	DT	the
IPCC	NP	<unknown>
science	NN	science
saying	VBG	say
we	PP	we
already	RB	already
have	VBP	have
too	RB	too
many	JJ	many
!	SENT	!
A	DT	a
growing	VBG	grow
number	NN	number
of	IN	of
scientists	NNS	scientist
have	VBP	have
had	VBN	have
enough	RB	enough
,	,	,
feeling	VBG	feel
obliged	VBN	oblige
to	TO	to
step	VB	step
out	RP	out
of	IN	of
their	PP$	their
labs	NNS	lab
and	CC	and
onto	IN	onto
the	DT	the
streets	NNS	street
to	TO	to
demand	VB	demand
greater	JJR	great
action	NN	action
.	SENT	.
Following	VBG	follow
the	DT	the
release	NN	release
of	IN	of
the	DT	the
IPCC	NP	<unknown>
report	NN	report
,	,	,
about	RB	about
1000	CD	@card@
scientists	NNS	scientist
and	CC	and
academics	NNS	academic
in	IN	in
25	CD	@card@
countries	NNS	country
took	VBD	take
part	NN	part
in	IN	in
demonstrations	NNS	demonstration
,	,	,
urging	VBG	urge
governments	NNS	government
to	TO	to
act	VB	act
on	IN	on
the	DT	the
science	NN	science
.	SENT	.
In	IN	in
the	DT	the
UK	NP	UK
,	,	,
a	DT	a
group	NN	group
of	IN	of
scientists	NNS	scientist
glued	VBN	glue
scientific	JJ	scientific
papers	NNS	paper
–	:	-
and	CC	and
their	PP$	their
own	JJ	own
hands	NNS	hand
–	:	-
to	TO	to
the	DT	the
windows	NNS	window
of	IN	of
the	DT	the
government	NN	government
department	NN	department
responsible	JJ	responsible
for	IN	for
energy	NN	energy
,	,	,
protesting	VBG	protest
the	DT	the
government	NN	government
plans	VBZ	plan
for	IN	for
licensing	NN	licensing
of	IN	of
new	JJ	new
oil	NN	oil
and	CC	and
gas	NN	gas
fields	NNS	field
.	SENT	.
It	PP	it
’s	VBZ	have
been	VBN	be
30	CD	@card@
years	NNS	year
since	IN	since
the	DT	the
UN	NP	UN
Climate	NN	climate
Agreement	NN	agreement
was	VBD	be
signed	VBN	sign
in	IN	in
Rio	NP	Rio
de	NP	de
Janeiro	NP	Janeiro
,	,	,
and	CC	and
we	PP	we
have	VBP	have
n’t	RB	n't
even	RB	even
reached	VBN	reach
peak	NN	peak
emissions	NNS	emission
yet	RB	yet
!	SENT	!
Talking	VBG	talk
about	IN	about
that	DT	that
peak	NN	peak
,	,	,
we	PP	we
definitely	RB	definitely
ca	MD	ca
n’t	RB	n't
afford	VB	afford
to	TO	to
let	VB	let
emissions	NNS	emission
grow	VB	grow
for	IN	for
yet	RB	yet
another	DT	another
three	CD	three
years	NNS	year
,	,	,
unlike	IN	unlike
some	DT	some
reporting	NN	reporting
on	IN	on
the	DT	the
IPCC	NP	<unknown>
has	VBZ	have
suggested	VBN	suggest
.	SENT	.
By	IN	by
2025	CD	@card@
,	,	,
we	PP	we
need	VBP	need
to	TO	to
reduce	VB	reduce
emissions	NNS	emission
,	,	,
and	CC	and
fast	RB	fast
.	SENT	.
That	DT	that
means	VBZ	mean
