Everyone	NN	everyone
has	VBZ	have
the	DT	the
human	JJ	human
right	NN	right
to	TO	to
live	VB	live
in	IN	in
a	DT	a
clean	JJ	clean
,	,	,
healthy	JJ	healthy
,	,	,
and	CC	and
sustainable	JJ	sustainable
environment	NN	environment
.	SENT	.
Most	RBS	most
human	JJ	human
rights	NNS	right
systems	NNS	system
in	IN	in
the	DT	the
world	NN	world
recognise	VB	recognise
this	DT	this
,	,	,
but	CC	but
the	DT	the
European	JJ	European
human	JJ	human
rights	NNS	right
convention	NN	convention
needs	VBZ	need
to	TO	to
catch	VB	catch
up	RP	up
.	SENT	.
This	DT	this
week	NN	week
there	EX	there
’s	VBZ	be
an	DT	an
opportunity	NN	opportunity
for	IN	for
European	JJ	European
governments	NNS	government
to	TO	to
collectively	RB	collectively
recognise	VB	recognise
people	NNS	people
’s	POS	's
right	NN	right
to	TO	to
a	DT	a
healthy	JJ	healthy
environment	NN	environment
and	CC	and
send	VB	send
a	DT	a
clear	JJ	clear
signal	NN	signal
that	IN	that
they	PP	they
are	VBP	be
committed	VBN	commit
to	TO	to
its	PP$	its
effective	JJ	effective
protection	NN	protection
.	SENT	.
We	PP	we
’re	VBP	be
pushing	VBG	push
for	IN	for
that	WDT	that
to	TO	to
happen	VB	happen
.	SENT	.
The	DT	the
world	NN	world
is	VBZ	be
in	IN	in
a	DT	a
race	NN	race
against	IN	against
time	NN	time
to	TO	to
avoid	VB	avoid
the	DT	the
worst	JJS	bad
outcomes	NNS	outcome
of	IN	of
the	DT	the
triple	JJ	triple
planetary	JJ	planetary
crisis	NN	crisis
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
high	JJ	high
time	NN	time
for	IN	for
European	JJ	European
governments	NNS	government
to	TO	to
live	VB	live
up	RP	up
to	TO	to
their	PP$	their
responsibility	NN	responsibility
.	SENT	.
So	RB	so
what	WP	what
are	VBP	be
Council	NP	Council
of	IN	of
Europe	NP	Europe
States	NPS	States
waiting	VBG	wait
for	IN	for
?	SENT	?
Tweet	VB	tweet
at	IN	at
your	PP$	your
country	NN	country
Representative	NP	Representative
at	IN	at
the	DT	the
Council	NP	Council
of	IN	of
Europe	NP	Europe
,	,	,
asking	VBG	ask
them	PP	them
to	TO	to
recognize	VB	recognize
the	DT	the
right	NN	right
to	TO	to
a	DT	a
clean	JJ	clean
,	,	,
healthy	JJ	healthy
,	,	,
and	CC	and
sustainable	JJ	sustainable
environment	NN	environment
in	IN	in
Reykjavik	NP	Reykjavik
using	VBG	use
this	DT	this
social	JJ	social
media	NN	media
toolkit	NN	<unknown>
.	SENT	.
Sign	VB	sign
up	RB	up
to	TO	to
receive	VB	receive
more	JJR	more
updates	NNS	update
on	IN	on
the	DT	the
right	NN	right
to	TO	to
a	DT	a
healthy	JJ	healthy
environment	NN	environment
campaign	NN	campaign
at	IN	at
the	DT	the
