Every	DT	every
year	NN	year
,	,	,
thousands	NNS	thousand
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
travel	VBP	travel
from	IN	from
all	DT	all
over	IN	over
Brazil	NP	Brazil
to	TO	to
meet	VB	meet
in	IN	in
Brasília	NP	<unknown>
,	,	,
the	DT	the
capital	NN	capital
of	IN	of
the	DT	the
country	NN	country
,	,	,
to	TO	to
demand	VB	demand
the	DT	the
government	NN	government
protect	VB	protect
their	PP$	their
rights	NNS	right
.	SENT	.
The	DT	the
Free	NP	Free
Land	NP	Land
Camp	NP	Camp
(	(	(
Acampamento	NP	Acampamento
Terra	NP	Terra
Livre	NN	livre
,	,	,
in	IN	in
Portuguese	NP	Portuguese
)	)	)
is	VBZ	be
in	IN	in
its	PP$	its
19th	JJ	19th
edition	NN	edition
this	DT	this
year	NN	year
,	,	,
happening	VBG	happen
from	IN	from
April	NP	April
24th	JJ	24th
to	TO	to
28th	JJ	28th
,	,	,
with	IN	with
a	DT	a
clear	JJ	clear
ask	VB	ask
:	:	:
to	TO	to
have	VB	have
Indigenous	JJ	indigenous
Lands	NP	Lands
officially	RB	officially
recognised	VBD	recognise
by	IN	by
the	DT	the
government	NN	government
.	SENT	.
The	DT	the
fight	NN	fight
for	IN	for
Indigenous	JJ	indigenous
rights	NNS	right
in	IN	in
Brazil	NP	Brazil
is	VBZ	be
long	JJ	long
and	CC	and
needs	VBZ	need
action	NN	action
from	IN	from
multiple	JJ	multiple
sides	NNS	side
.	SENT	.
You	PP	you
can	MD	can
support	VB	support
and	CC	and
learn	VB	learn
more	JJR	more
about	IN	about
their	PP$	their
fight	NN	fight
at	IN	at
the	DT	the
Association	NP	Association
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
of	IN	of
Brazil	NP	Brazil
website	NN	website
.	SENT	.
The	DT	the
demarcation	NN	demarcation
of	IN	of
Indigenous	JJ	indigenous
Territories	NP	Territories
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
steps	NNS	step
to	TO	to
ensure	VB	ensure
the	DT	the
rights	NNS	right
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
are	VBP	be
protected	VBN	protect
in	IN	in
Brazil	NP	Brazil
.	SENT	.
By	IN	by
establishing	VBG	establish
geographical	JJ	geographical
boundaries	NNS	boundary
to	TO	to
the	DT	the
land	NN	land
,	,	,
the	DT	the
process	NN	process
makes	VBZ	make
it	PP	it
harder	JJR	hard
for	IN	for
invaders	NNS	invader
to	TO	to
infiltrate	VB	infiltrate
the	DT	the
area	NN	area
,	,	,
allowing	VBG	allow
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
to	TO	to
maintain	VB	maintain
their	PP$	their
livelihoods	NNS	livelihood
,	,	,
languages	NNS	language
and	CC	and
beliefs	NNS	belief
alive	JJ	alive
and	CC	and
protected	VBN	protect
.	SENT	.
“	``	"
The	DT	the
demarcation	NN	demarcation
of	IN	of
Indigenous	JJ	indigenous
Lands	NP	Lands
is	VBZ	be
our	PP$	our
ancestral	JJ	ancestral
right	NN	right
,	,	,
provided	VBN	provide
to	TO	to
us	PP	us
in	IN	in
the	DT	the
Brazilian	JJ	Brazilian
Federal	NP	Federal
Constitution	NP	Constitution
.	SENT	.
Those	DT	those
who	WP	who
invade	VBP	invade
an	DT	an
Indigenous	JJ	indigenous
Land	NN	land
destroy	VB	destroy
the	DT	the
forests	NNS	forest
and	CC	and
attack	VB	attack
Indigenous	JJ	indigenous
People	NNS	people
,	,	,
who	WP	who
have	VBP	have
been	VBN	be
fighting	VBG	fight
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
their	PP$	their
families	NNS	family
,	,	,
cultures	NNS	culture
and	CC	and
lands	NNS	land
for	IN	for
more	JJR	more
than	IN	than
500	CD	@card@
years	NNS	year
”	''	"
,	,	,
said	VBD	say
Dinamam	NP	<unknown>
Tuxá	NP	<unknown>
,	,	,
executive	JJ	executive
coordinator	NN	coordinator
of	IN	of
the	DT	the
Articulação	NP	<unknown>
dos	NP	dos
Povos	NP	<unknown>
Indígenas	NNS	<unknown>
do	VBP	do
Brasil	NP	Brasil
(	(	(
APIB	NP	<unknown>
)	)	)
.	SENT	.
Indigenous	JJ	indigenous
Land	NP	Land
demarcation	NN	demarcation
is	VBZ	be
a	DT	a
Constitutional	JJ	constitutional
right	NN	right
in	IN	in
Brazil	NP	Brazil
,	,	,
obtained	VBN	obtain
after	IN	after
years	NNS	year
of	IN	of
struggle	NN	struggle
and	CC	and
resistance	NN	resistance
.	SENT	.
However	RB	however
,	,	,
there	EX	there
’s	VBZ	be
still	RB	still
much	JJ	much
that	IN	that
the	DT	the
Brazilian	JJ	Brazilian
government	NN	government
needs	VBZ	need
to	TO	to
do	VB	do
to	TO	to
meet	VB	meet
its	PP$	its
obligation	NN	obligation
.	SENT	.
There	EX	there
are	VBP	be
currently	RB	currently
429	CD	@card@
Indigenous	JJ	indigenous
Territories	NP	Territories
officially	RB	officially
recognised	VBD	recognise
in	IN	in
the	DT	the
country	NN	country
,	,	,
but	CC	but
that	IN	that
accounts	NNS	account
for	IN	for
only	RB	only
30,8	CD	@card@
%	NN	%
of	IN	of
the	DT	the
total	JJ	total
area	NN	area
claimed	VBN	claim
by	IN	by
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
.	SENT	.
According	VBG	accord
to	TO	to
the	DT	the
Brazilian	JJ	Brazilian
organization	NN	organization
CIMI	NP	<unknown>
(	(	(
Conselho	NP	<unknown>
Indigenista	NP	Indigenista
Missionário	NP	<unknown>
)	)	)
,	,	,
in	IN	in
2021	CD	@card@
,	,	,
out	RB	out
of	IN	of
the	DT	the
1,393	CD	@card@
Indigenous	JJ	indigenous
Lands	NP	Lands
in	IN	in
Brazil	NP	Brazil
,	,	,
871	CD	@card@
(	(	(
62	CD	@card@
%	NN	%
)	)	)
had	VBD	have
their	PP$	their
demarcation	NN	demarcation
pending	VBG	pend
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
those	DT	those
–	:	-
598	CD	@card@
areas	NNS	area
–	:	-
had	VBD	have
n’t	RB	n't
had	VBN	have
any	DT	any
action	NN	action
from	IN	from
the	DT	the
Brazilian	JJ	Brazilian
government	NN	government
to	TO	to
even	RB	even
start	VB	start
the	DT	the
process	NN	process
.	SENT	.
But	CC	but
land	NN	land
demarcation	NN	demarcation
is	VBZ	be
not	RB	not
enough	JJ	enough
.	SENT	.
There	EX	there
are	VBP	be
currently	RB	currently
several	JJ	several
Indigenous	JJ	indigenous
Territories	NP	Territories
suffering	NN	suffering
from	IN	from
invasions	NNS	invasion
by	IN	by
loggers	NNS	logger
and	CC	and
miners	NNS	miner
.	SENT	.
The	DT	the
government	NN	government
needs	VBZ	need
to	TO	to
recognise	VB	recognise
the	DT	the
territories	NNS	territory
,	,	,
but	CC	but
also	RB	also
ensure	VB	ensure
its	PP$	its
protection	NN	protection
.	SENT	.
Illegal	JJ	illegal
mining	NN	mining
has	VBZ	have
exploded	VBN	explode
in	IN	in
Indigenous	JJ	indigenous
Lands	NP	Lands
in	IN	in
Brazil	NP	Brazil
–	:	-
even	RB	even
those	DT	those
who	WP	who
are	VBP	be
already	RB	already
demarcated	VBN	demarcate
,	,	,
like	IN	like
the	DT	the
Yanomami	NP	<unknown>
.	SENT	.
The	DT	the
Kayapó	NP	<unknown>
and	CC	and
the	DT	the
Munduruku	NP	<unknown>
territories	NNS	territory
are	VBP	be
also	RB	also
being	VBG	be
devastated	VBN	devastate
by	IN	by
the	DT	the
activity	NN	activity
that	WDT	that
destroys	VBZ	destroy
rivers	NNS	river
,	,	,
contaminates	VBZ	contaminate
people	NNS	people
with	IN	with
mercury	NN	mercury
and	CC	and
brings	VBZ	bring
violence	NN	violence
and	CC	and
death	NN	death
to	TO	to
the	DT	the
Indigenous	JJ	indigenous
Lands	NP	Lands
.	SENT	.
According	VBG	accord
to	TO	to
a	DT	a
recent	JJ	recent
investigation	NN	investigation
by	IN	by
Greenpeace	NP	Greenpeace
Brazil	NP	Brazil
and	CC	and
Greenpeace	NP	Greenpeace
East	NP	East
Asia	NP	Asia
,	,	,
one	CD	one
of	IN	of
the	DT	the
key	JJ	key
elements	NNS	element
that	WDT	that
enabled	VBD	enable
the	DT	the
recent	JJ	recent
increase	NN	increase
of	IN	of
illegal	JJ	illegal
gold	NN	gold
mining	NN	mining
in	IN	in
Indigenous	JJ	indigenous
Lands	NP	Lands
is	VBZ	be
the	DT	the
introduction	NN	introduction
of	IN	of
excavators	NNS	excavator
to	TO	to
the	DT	the
activity	NN	activity
.	SENT	.
The	DT	the
heavy	JJ	heavy
machinery	NN	machinery
can	MD	can
do	VB	do
,	,	,
in	IN	in
a	DT	a
matter	NN	matter
of	IN	of
hours	NNS	hour
,	,	,
the	DT	the
work	NN	work
that	IN	that
3	CD	@card@
men	NNS	man
would	MD	would
take	VB	take
weeks	NNS	week
to	TO	to
complete	VB	complete
.	SENT	.
The	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
forest	NN	forest
and	CC	and
Indigenous	JJ	indigenous
Territories	NP	Territories
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
threat	NN	threat
to	TO	to
Indigenous	JJ	indigenous
People	NNS	people
living	VBG	live
in	IN	in
the	DT	the
region	NN	region
,	,	,
but	CC	but
to	TO	to
everyone	NN	everyone
.	SENT	.
The	DT	the
protection	NN	protection
of	IN	of
Indigenous	JJ	indigenous
Lands	NP	Lands
is	VBZ	be
vital	JJ	vital
in	IN	in
the	DT	the
fight	NN	fight
against	IN	against
the	DT	the
climate	NN	climate
and	CC	and
biodiversity	NN	biodiversity
crises	NNS	crisis
.	SENT	.
Despite	IN	despite
accounting	NN	accounting
for	IN	for
only	RB	only
5	CD	@card@
%	NN	%
of	IN	of
the	DT	the
global	JJ	global
population	NN	population
,	,	,
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
around	IN	around
the	DT	the
world	NN	world
protect	VB	protect
80	CD	@card@
%	NN	%
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
biodiversity	NN	biodiversity
.	SENT	.
