When	WRB	when
the	DT	the
Amazon	NP	Amazon
rainforest	NN	rainforest
is	VBZ	be
in	IN	in
danger	NN	danger
,	,	,
we	PP	we
all	RB	all
are	VBP	be
.	SENT	.
Healthy	JJ	healthy
,	,	,
moist	JJ	moist
rainforests	NNS	rainforest
normally	RB	normally
do	VBP	do
not	RB	not
burn	VB	burn
without	IN	without
intervention	NN	intervention
from	IN	from
humans	NNS	human
.	SENT	.
The	DT	the
fires	NNS	fire
in	IN	in
the	DT	the
Amazon	NP	Amazon
are	VBP	be
often	RB	often
started	VBN	start
intentionally	RB	intentionally
by	IN	by
people	NNS	people
—	:	-
many	JJ	many
of	IN	of
whom	WP	whom
are	VBP	be
illegal	JJ	illegal
land	NN	land
grabbers	NNS	grabber
emboldened	VBN	embolden
by	IN	by
the	DT	the
anti-environment	NN	anti-environment
policies	NNS	policy
of	IN	of
Bolsonaro	NP	<unknown>
’s	POS	's
government	NN	government
—	:	-
who	WP	who
are	VBP	be
attempting	VBG	attempt
to	TO	to
clear	VB	clear
forested	JJ	forested
land	NN	land
for	IN	for
other	JJ	other
uses	NNS	use
.	SENT	.
This	DT	this
process	NN	process
of	IN	of
destroying	VBG	destroy
trees	NNS	tree
to	TO	to
clear	VB	clear
forested	JJ	forested
land	NN	land
is	VBZ	be
known	VBN	know
as	IN	as
deforestation	NN	deforestation
.	SENT	.
As	IN	as
it	PP	it
is	VBZ	be
often	RB	often
done	VBN	do
intentionally	RB	intentionally
,	,	,
the	DT	the
burning	NN	burning
in	IN	in
the	DT	the
Amazon	NP	Amazon
is	VBZ	be
different	JJ	different
from	IN	from
the	DT	the
wildfires	NNS	wildfire
experienced	VBN	experience
in	IN	in
places	NNS	place
like	IN	like
California	NP	California
or	CC	or
the	DT	the
Mediterranean	NP	Mediterranean
that	WDT	that
can	MD	can
be	VB	be
naturally	RB	naturally
occurring	VBG	occur
or	CC	or
ignited	VBN	ignite
by	IN	by
accident	NN	accident
.	SENT	.
Yes	UH	yes
.	SENT	.
In	IN	in
the	DT	the
Amazon	NP	Amazon
,	,	,
fire	NN	fire
is	VBZ	be
used	VBN	use
in	IN	in
the	DT	the
deforestation	NN	deforestation
process	NN	process
to	TO	to
clear	VB	clear
the	DT	the
land	NN	land
of	IN	of
vegetation	NN	vegetation
,	,	,
often	RB	often
after	IN	after
large	JJ	large
trees	NNS	tree
have	VBP	have
previously	RB	previously
been	VBN	be
cut	VBN	cut
down	RP	down
and	CC	and
left	VBD	leave
to	TO	to
dry	VB	dry
out	RP	out
.	SENT	.
The	DT	the
burning	NN	burning
season	NN	season
generally	RB	generally
starts	VBZ	start
peaking	VBG	peak
in	IN	in
July	NP	July
each	DT	each
year	NN	year
to	TO	to
coincide	VB	coincide
with	IN	with
the	DT	the
natural	JJ	natural
dry	JJ	dry
season	NN	season
which	WDT	which
extends	VBZ	extend
through	IN	through
November	NP	November
.	SENT	.
However	RB	however
,	,	,
with	IN	with
intentionally	RB	intentionally
diminished	VBN	diminish
enforcement	NN	enforcement
of	IN	of
environmental	JJ	environmental
laws	NNS	law
under	IN	under
Bolsonaro	NP	<unknown>
as	RB	as
well	RB	well
as	IN	as
increasingly	RB	increasingly
dry	JJ	dry
conditions	NNS	condition
due	JJ	due
to	TO	to
the	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
there	EX	there
are	VBP	be
fires	NNS	fire
in	IN	in
the	DT	the
Amazon	NP	Amazon
all	DT	all
year	NN	year
round	NN	round
now	RB	now
.	SENT	.
While	IN	while
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
and	CC	and
traditional	JJ	traditional
communities	NNS	community
have	VBP	have
understood	VBN	understand
responsible	JJ	responsible
uses	NNS	use
of	IN	of
fire	NN	fire
in	IN	in
land	NN	land
stewardship	NN	stewardship
for	IN	for
generations	NNS	generation
,	,	,
the	DT	the
fires	NNS	fire
generating	VBG	generate
global	JJ	global
headlines	NNS	headline
in	IN	in
the	DT	the
Amazon	NP	Amazon
are	VBP	be
often	RB	often
ignited	VBN	ignite
by	IN	by
those	DT	those
people	NNS	people
who	WP	who
do	VBP	do
not	RB	not
care	VB	care
about	IN	about
the	DT	the
long-term	JJ	long-term
health	NN	health
of	IN	of
the	DT	the
ecosystem	NN	ecosystem
or	CC	or
the	DT	the
communities	NNS	community
who	WP	who
live	VBP	live
there	RB	there
.	SENT	.
These	DT	these
people	NNS	people
putting	VBG	put
short-term	JJ	short-term
profits	NNS	profit
over	IN	over
the	DT	the
forest	NN	forest
—	:	-
as	RB	as
well	RB	well
as	IN	as
the	DT	the
global	JJ	global
climate	NN	climate
—	:	-
include	VBP	include
land	NN	land
grabbers	NNS	grabber
and	CC	and
speculators	NNS	speculator
,	,	,
illegal	JJ	illegal
loggers	NNS	logger
and	CC	and
miners	NNS	miner
,	,	,
and	CC	and
those	DT	those
looking	VBG	look
to	TO	to
seize	VB	seize
public	JJ	public
forests	NNS	forest
for	IN	for
private	JJ	private
uses	NNS	use
such	JJ	such
as	IN	as
creating	VBG	create
cattle	NNS	cattle
pasture	NN	pasture
.	SENT	.
Such	JJ	such
enemies	NNS	enemy
of	IN	of
the	DT	the
environment	NN	environment
have	VBP	have
been	VBN	be
able	JJ	able
to	TO	to
operate	VB	operate
recklessly	RB	recklessly
and	CC	and
with	IN	with
diminished	JJ	diminished
fear	NN	fear
of	IN	of
law	NN	law
enforcement	NN	enforcement
since	IN	since
Bolsanaro	NP	<unknown>
became	VBD	become
president	NN	president
of	IN	of
Brazil	NP	Brazil
at	IN	at
the	DT	the
start	NN	start
of	IN	of
2019	CD	@card@
.	SENT	.
In	IN	in
August	NP	August
2019	CD	@card@
,	,	,
there	EX	there
was	VBD	be
a	DT	a
massive	JJ	massive
coordinated	VBN	coordinate
wave	NN	wave
of	IN	of
simultaneous	JJ	simultaneous
fires	NNS	fire
started	VBN	start
in	IN	in
the	DT	the
Amazon	NN	Amazon
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Pará	NP	<unknown>
as	IN	as
part	NN	part
of	IN	of
the	DT	the
infamous	JJ	infamous
“	``	"
Day	NP	Day
of	IN	of
Fire	NP	Fire
.	SENT	.
”	''	"
The	DT	the
cattle	NNS	cattle
ranchers	NNS	rancher
associated	VBN	associate
with	IN	with
these	DT	these
illegal	JJ	illegal
burnings	NNS	burning
were	VBD	be
inspired	VBN	inspire
in	IN	in
part	NN	part
by	IN	by
Bolsonaro	NP	<unknown>
who	WP	who
has	VBZ	have
made	VBN	make
clear	JJ	clear
he	PP	he
supports	VBZ	support
a	DT	a
destructive	JJ	destructive
economic	JJ	economic
development	NN	development
model	NN	model
.	SENT	.
Overall	RB	overall
,	,	,
the	DT	the
fires	NNS	fire
that	IN	that
month	NN	month
were	VBD	be
the	DT	the
worst	JJS	bad
in	IN	in
the	DT	the
Amazon	NP	Amazon
since	IN	since
2010	CD	@card@
.	SENT	.
In	IN	in
ensuing	VBG	ensue
