“	``	"
We	PP	we
were	VBD	be
already	RB	already
on	IN	on
this	DT	this
land	NN	land
before	IN	before
Brazil	NP	Brazil
was	VBD	be
Brazil	NP	Brazil
,	,	,
”	''	"
—	:	-
Eliseu	NP	<unknown>
Lopes	NP	Lopes
,	,	,
Indigenous	JJ	indigenous
leader	NN	leader
In	IN	in
Bolsonaro	NP	<unknown>
’s	POS	's
Brazil	NP	Brazil
,	,	,
the	DT	the
lives	NNS	life
and	CC	and
lands	NNS	land
of	IN	of
Indigenous	JJ	indigenous
People	NNS	people
are	VBP	be
under	IN	under
constant	JJ	constant
threat	NN	threat
.	SENT	.
Next	RB	next
the	DT	the
law	NN	law
itself	PP	itself
may	MD	may
be	VB	be
used	VBN	use
to	TO	to
rob	VB	rob
them	PP	them
of	IN	of
their	PP$	their
homes	NNS	home
and	CC	and
livelihoods	NNS	livelihood
.	SENT	.
Greenpeace	NP	Greenpeace
is	VBZ	be
committed	VBN	commit
to	TO	to
the	DT	the
defense	NN	defense
and	CC	and
promotion	NN	promotion
of	IN	of
Indigenous	JJ	indigenous
rights	NNS	right
in	IN	in
Brazil	NP	Brazil
—	:	-
and	CC	and
all	DT	all
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
reject	VBP	reject
all	DT	all
attempts	NNS	attempt
to	TO	to
put	VB	put
profits	NNS	profit
over	IN	over
people	NNS	people
or	CC	or
the	DT	the
planet	NN	planet
.	SENT	.
After	IN	after
living	VBG	live
on	RP	on
and	CC	and
fighting	VBG	fight
for	IN	for
their	PP$	their
lands	NNS	land
for	IN	for
centuries	NNS	century
,	,	,
the	DT	the
rights	NNS	right
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
in	IN	in
Brazil	NP	Brazil
are	VBP	be
endangered	VBN	endanger
by	IN	by
a	DT	a
legal	JJ	legal
loophole	NN	loophole
called	VBN	call
Marco	NP	Marco
Temporal	JJ	temporal
that	IN	that
could	MD	could
legalize	VB	legalize
theft	NN	theft
of	IN	of
their	PP$	their
lands—unless	NN	<unknown>
the	DT	the
Brazilian	JJ	Brazilian
Supreme	NP	Supreme
Court	NP	Court
stops	VBZ	stop
it	PP	it
.	SENT	.
The	DT	the
profit-hungry	JJ	profit-hungry
forces	NNS	force
behind	IN	behind
Marco	NP	Marco
Temporal	JJ	temporal
want	NN	want
to	TO	to
deny	VB	deny
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
’	POS	'
rights	NNS	right
