“	``	"
It	PP	it
’s	VBZ	be
hard	JJ	hard
to	TO	to
listen	VB	listen
to	TO	to
the	DT	the
science	NN	science
when	WRB	when
fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
are	VBP	be
so	RB	so
loud	JJ	loud
”	''	"
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
my	PP$	my
dear	JJ	dear
friend	NN	friend
Silvia	NP	Silvia
Pastorelli	NP	Pastorelli
,	,	,
co-organiser	NN	co-organiser
of	IN	of
the	DT	the
#BanFossilAds	NNS	<unknown>
European	NP	European
Citizens	NPS	Citizens
Initiative	NP	Initiative
,	,	,
tweeted	VBD	tweet
early	RB	early
this	DT	this
year	NN	year
in	IN	in
support	NN	support
to	TO	to
the	DT	the
450	CD	@card@
scientists	NNS	scientist
that	WDT	that
called	VBD	call
on	IN	on
the	DT	the
executives	NNS	executive
of	IN	of
major	JJ	major
advertising	NN	advertising
and	CC	and
public	JJ	public
relations	NNS	relation
firms	NNS	firm
to	TO	to
drop	VB	drop
their	PP$	their
fossil	JJ	fossil
fuel	NN	fuel
clients	NNS	client
.	SENT	.
Silvia	NP	Silvia
and	CC	and
these	DT	these
450	CD	@card@
scientists	NNS	scientist
were	VBD	be
spot	JJ	spot
on	IN	on
.	SENT	.
Silvia	NP	Silvia
Diaz	NP	Diaz
is	VBZ	be
a	DT	a
Communications	NPS	Communications
and	CC	and
Engagement	NN	engagement
Lead	JJ	Lead
with	IN	with
the	DT	the
Fossil	JJ	fossil
Free	NP	Free
Revolution	NP	Revolution
team	NN	team
at	IN	at
Greenpeace	NP	Greenpeace
International	NP	International
After	IN	after
years	NNS	year
and	CC	and
years	NNS	year
warning	VBG	warn
humanity	NN	humanity
about	IN	about
the	DT	the
need	NN	need
to	TO	to
take	VB	take
urgent	JJ	urgent
climate	NN	climate
action	NN	action
and	CC	and
witnessing	VBG	witness
how	WRB	how
global	JJ	global
leaders	NNS	leader
were	VBD	be
n’t	RB	n't
listening	VBG	listen
,	,	,
scientists	NNS	scientist
are	VBP	be
now	RB	now
pointing	VBG	point
the	DT	the
finger	NN	finger
to	TO	to
ads	NNS	ad
and	CC	and
sponsorships	NNS	sponsorship
as	IN	as
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
climate	NN	climate
action	NN	action
blockers	NNS	blocker
.	SENT	.
And	CC	and
this	DT	this
claim	NN	claim
is	VBZ	be
only	RB	only
growing	VBG	grow
.	SENT	.
For	IN	for
the	DT	the
very	RB	very
first	JJ	first
time	NN	time
,	,	,
the	DT	the
last	JJ	last
Intergovernmental	NP	Intergovernmental
Panel	NN	panel
on	IN	on
Climate	NN	climate
Change	NP	Change
(	(	(
IPCC	NP	<unknown>
)	)	)
report	NN	report
stated	VBD	state
that	IN	that
corporations	NNS	corporation
have	VBP	have
attempted	VBN	attempt
to	TO	to
derail	VB	derail
climate	NN	climate
mitigation	NN	mitigation
by	IN	by
targeted	JJ	targeted
lobbying	NN	lobbying
,	,	,
doubt-inducing	VBG	doubt-induce
media	NNS	medium
strategies	NNS	strategy
and	CC	and
through	IN	through
corporate	JJ	corporate
advertising	NN	advertising
and	CC	and
brand	NN	brand
building	NN	building
to	TO	to
deflect	VB	deflect
corporate	JJ	corporate
responsibility	NN	responsibility
to	TO	to
individuals	NNS	individual
.	SENT	.
This	DT	this
climate	NN	climate
science	NN	science
report	NN	report
also	RB	also
recommends	VBZ	recommend
regulating	VBG	regulate
corporate	JJ	corporate
advertising	NN	advertising
.	SENT	.
And	CC	and
academia	NN	academia
is	VBZ	be
taking	VBG	take
a	DT	a
stand	NN	stand
too	RB	too
.	SENT	.
Like	IN	like
the	DT	the
Fossil	JJ	fossil
Free	NP	Free
Research	NP	Research
project	NN	project
that	WDT	that
demands	VBZ	demand
UK	NP	UK
and	CC	and
US	NP	US
universities	NNS	university
institute	VB	institute
a	DT	a
ban	NN	ban
on	IN	on
accepting	VBG	accept
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
funding	NN	funding
for	IN	for
climate	NN	climate
change	NN	change
,	,	,
environmental	JJ	environmental
,	,	,
and	CC	and
energy	NN	energy
policy	NN	policy
research	NN	research
.	SENT	.
In	IN	in
their	PP$	their
letter	NN	letter
,	,	,
more	JJR	more
than	IN	than
500	CD	@card@
scientists	NNS	scientist
denounce	VBP	denounce
this	DT	this
industry	NN	industry
influence	NN	influence
over	IN	over
education	NN	education
,	,	,
pointing	VBG	point
out	RP	out
that	IN	that
fossil	JJ	fossil
fuels	NNS	fuel
funds	NNS	fund
represent	VBP	represent
an	DT	an
inherent	JJ	inherent
conflict	NN	conflict
of	IN	of
interest	NN	interest
and	CC	and
support	NN	support
industry	NN	industry
greenwashing	NN	greenwashing
.	SENT	.
As	IN	as
the	DT	the
tobacco	NN	tobacco
industry	NN	industry
did	VBD	do
decades	NNS	decade
ago	RB	ago
,	,	,
fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
are	VBP	be
spending	VBG	spend
billions	NNS	billion
on	IN	on
misleading	VBG	mislead
campaigns	NNS	campaign
to	TO	to
continue	VB	continue
with	IN	with
business	NN	business
as	IN	as
usual	JJ	usual
and	CC	and
dress	VB	dress
up	RP	up
their	PP$	their
reckless	JJ	reckless
disregard	NN	disregard
for	IN	for
life	NN	life
with	IN	with
lies	NNS	lie
and	CC	and
glossy	JJ	glossy
propaganda	NN	propaganda
.	SENT	.
That	DT	that
’s	VBZ	be
what	WP	what
,	,	,
for	IN	for
instance	NN	instance
,	,	,
the	DT	the
state-owned	JJ	state-owned
Russian	NP	Russian
Gazprom	NP	<unknown>
has	VBZ	have
been	VBN	be
doing	VBG	do
recently	RB	recently
:	:	:
spending	VBG	spend
billions	NNS	billion
of	IN	of
euros	NNS	<unknown>
sponsoring	VBG	sponsor
European	JJ	European
football	NN	football
while	IN	while
helping	VBG	help
enable	VB	enable
and	CC	and
fund	VB	fund
Ukraine	NP	Ukraine
’s	POS	's
invasion	NN	invasion
.	SENT	.
Through	IN	through
ads	NNS	ad
and	CC	and
sponsorships	NNS	sponsorship
,	,	,
fossil	JJ	fossil
fuels	NNS	fuel
are	VBP	be
polluting	VBG	pollute
everything	NN	everything
we	PP	we
love	VBP	love
:	:	:
our	PP$	our
favourite	JJ	favourite
football	NN	football
team	NN	team
,	,	,
the	DT	the
music	NN	music
festival	NN	festival
we	PP	we
enjoy	VBP	enjoy
the	DT	the
most	JJS	most
,	,	,
our	PP$	our
art	NN	art
and	CC	and
museums	NNS	museum
and	CC	and
just	RB	just
about	IN	about
any	DT	any
cultural	JJ	cultural
space	NN	space
you	PP	you
can	MD	can
imagine	VB	imagine
.	SENT	.
As	RB	as
with	IN	with
tobacco	NN	tobacco
companies	NNS	company
,	,	,
incontestable	JJ	incontestable
evidence	NN	evidence
showing	VBG	show
that	DT	that
fossil	JJ	fossil
fuel	NN	fuel
corporations	NNS	corporation
are	VBP	be
a	DT	a
threat	NN	threat
for	IN	for
peace	NN	peace
and	CC	and
climate	NN	climate
wo	MD	wo
n’t	RB	n't
stop	VB	stop
them	PP	them
.	SENT	.
It	PP	it
has	VBZ	have
to	TO	to
be	VB	be
us	PP	us
.	SENT	.
That	DT	that
is	VBZ	be
why	WRB	why
Greenpeace	NP	Greenpeace
have	VBP	have
launched	VBN	launch
together	RB	together
with	IN	with
36	CD	@card@
non-profit	JJ	non-profit
organisations	NNS	organisation
a	DT	a
European	NP	European
Citizens	NP	Citizens
’	POS	'
Initiative	NP	Initiative
to	TO	to
push	VB	push
for	IN	for
a	DT	a
tobacco-like	JJ	<unknown>
fossil	NN	fossil
ads	NNS	ad
ban	VBP	ban
all	DT	all
around	IN	around
Europe	NP	Europe
.	SENT	.
With	IN	with
this	DT	this
tool	NN	tool
,	,	,
European	NP	European
Citizens	NPS	Citizens
’	''	'
have	VB	have
the	DT	the
power	NN	power
to	TO	to
force	VB	force
the	DT	the
EU	NP	EU
Commission	NP	Commission
to	TO	to
discuss	VB	discuss
this	DT	this
ambitious	JJ	ambitious
and	CC	and
game	JJ	game
changing	VBG	change
proposal	NN	proposal
.	SENT	.
200,000	CD	@card@
citizens	NNS	citizen
’	''	'
have	VBP	have
already	RB	already
joined	VBN	join
this	DT	this
movement	NN	movement
,	,	,
but	CC	but
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
by	IN	by
October	NP	October
2022	CD	@card@
.	SENT	.
We	PP	we
have	VBP	have
an	DT	an
historic	JJ	historic
moment	NN	moment
to	TO	to
dismantle	VB	dismantle
the	DT	the
power	NN	power
that	IN	that
fossil	JJ	fossil
fuel	NN	fuel
companies	NNS	company
are	VBP	be
using	VBG	use
to	TO	to
influence	VB	influence
our	PP$	our
lives	NNS	life
and	CC	and
politics	NNS	politics
and	CC	and
block	VB	block
climate	NN	climate
action	NN	action
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
determined	VBN	determine
to	TO	to
do	VB	do
our	PP$	our
best	JJS	good
to	TO	to
build	VB	build
on	IN	on
the	DT	the
amazing	JJ	amazing
victories	NNS	victory
that	IN	that
the	DT	the
grassroots	NNS	grassroots
and	CC	and
local	JJ	local
groups	NNS	group
all	RB	all
around	IN	around
Europe	NP	Europe
have	VBP	have
already	RB	already
achieved	VBN	achieve
.	SENT	.
We	PP	we
did	VBD	do
it	PP	it
with	IN	with
tobacco	NN	tobacco
and	CC	and
we	PP	we
can	MD	can
do	VB	do
it	PP	it
again	RB	again
.	SENT	.
For	IN	for
peace	NN	peace
,	,	,
for	IN	for
climate	NN	climate
and	CC	and
to	TO	to
protect	VB	protect
all	DT	all
life	NN	life
on	IN	on
Earth	NP	Earth
,	,	,
we	PP	we
need	VBP	need
to	TO	to
#BanFossilAds	NNS	<unknown>
.	SENT	.
