“	``	"
How	WRB	how
f*cked	JJ	<unknown>
are	VBP	be
we	PP	we
,	,	,
really	RB	really
?	SENT	?
”	''	"
It	PP	it
might	MD	might
not	RB	not
be	VB	be
recognisable	JJ	recognisable
to	TO	to
us	PP	us
,	,	,
but	CC	but
life	NN	life
will	MD	will
go	VB	go
on	RP	on
.	SENT	.
Even	RB	even
if	IN	if
we	PP	we
go	VBP	go
back	RB	back
to	TO	to
first	JJ	first
principles	NNS	principle
and	CC	and
evolving	VBG	evolve
again	RB	again
,	,	,
the	DT	the
planet	NN	planet
will	MD	will
survive	VB	survive
.	SENT	.
Even	RB	even
if	IN	if
we	PP	we
stopped	VBD	stop
burning	VBG	burn
all	DT	all
fossil	JJ	fossil
fuels	NNS	fuel
tomorrow	NN	tomorrow
,	,	,
we	PP	we
’re	VBP	be
committed	VBN	commit
to	TO	to
a	DT	a
certain	JJ	certain
level	NN	level
of	IN	of
change	NN	change
already	RB	already
.	SENT	.
All	RB	all
we	PP	we
can	MD	can
hope	VB	hope
for	IN	for
is	VBZ	be
to	TO	to
minimise	VB	minimise
the	DT	the
amount	NN	amount
of	IN	of
change	NN	change
.	SENT	.
There	EX	there
’s	VBZ	be
no	DT	no
magic	JJ	magic
wand	NN	wand
,	,	,
the	DT	the
planet	NN	planet
wo	MD	wo
n’t	RB	n't
return	VB	return
to	TO	to
the	DT	the
way	NN	way
it	PP	it
was	VBD	be
,	,	,
but	CC	but
it	PP	it
might	MD	might
stabilise	VB	stabilise
in	IN	in
a	DT	a
new	JJ	new
state	NN	state
.	SENT	.
If	IN	if
I	PP	I
ran	VBD	run
out	RP	out
of	IN	of
optimism	NN	optimism
I	PP	I
’d	MD	will
struggle	VB	struggle
to	TO	to
get	VB	get
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
but	CC	but
I	PP	I
still	RB	still
do	VBP	do
n’t	RB	n't
believe	VB	believe
in	IN	in
fairy	JJ	fairy
tales	NNS	tale
with	IN	with
a	DT	a
happy	JJ	happy
ending	NN	ending
.	SENT	.
It	PP	it
’s	VBZ	be
either	RB	either
we	PP	we
continue	VBP	continue
as	IN	as
we	PP	we
are	VBP	be
,	,	,
and	CC	and
watch	VB	watch
as	IN	as
everything	NN	everything
gets	VBZ	get
worse	JJR	bad
,	,	,
or	CC	or
we	PP	we
act	VBP	act
now	RB	now
to	TO	to
try	VB	try
and	CC	and
minimise	VB	minimise
the	DT	the
impact	NN	impact
on	IN	on
us	PP	us
and	CC	and
other	JJ	other
species	NNS	specie
.	SENT	.
This	DT	this
is	VBZ	be
n’t	RB	n't
a	DT	a
theory	NN	theory
that	WDT	that
’s	VBZ	be
up	RB	up
for	IN	for
debate	NN	debate
;	:	;
it	PP	it
’s	VBZ	be
based	VBN	base
on	IN	on
lots	NNS	lot
of	IN	of
evidence	NN	evidence
,	,	,
compiled	VBN	compile
by	IN	by
thousands	NNS	thousand
of	IN	of
scientists	NNS	scientist
.	SENT	.
They	PP	they
’re	VBP	be
denying	VBG	deny
a	DT	a
body	NN	body
of	IN	of
science	NN	science
that	WDT	that
stretches	VBZ	stretch
back	RB	back
to	TO	to
the	DT	the
late	RB	late
1800s	JJ	<unknown>
.	SENT	.
Continuing	VBG	continue
to	TO	to
believe	VB	believe
otherwise	RB	otherwise
is	VBZ	be
delusional	JJ	delusional
,	,	,
simply	RB	simply
delusional	JJ	delusional
.	SENT	.
There	EX	there
’s	VBZ	be
no	DT	no
room	NN	room
for	IN	for
doubt	NN	doubt
.	SENT	.
I	PP	I
kind	RB	kind
of	IN	of
feel	VB	feel
sorry	RB	sorry
for	IN	for
anyone	NN	anyone
who	WP	who
ca	MD	ca
n’t	RB	n't
see	VB	see
that	DT	that
.	SENT	.
It	PP	it
irks	VBZ	irk
me	PP	me
when	WRB	when
people	NNS	people
see	VBP	see
scientists	NNS	scientist
as	IN	as
somehow	RB	somehow
a	DT	a
breed	NN	breed
apart	RB	apart
from	IN	from
regular	JJ	regular
folk	NN	folk
;	:	;
the	DT	the
idea	NN	idea
that	IN	that
it	PP	it
’s	VBZ	be
all	DT	all
very	RB	very
complicated	VBN	complicate
and	CC	and
our	PP$	our
word	NN	word
is	VBZ	be
God	NP	God
.	SENT	.
We	PP	we
’re	VBP	be
human	JJ	human
beings	NNS	being
,	,	,
prone	JJ	prone
to	TO	to
errors	NNS	error
and	CC	and
influences	NNS	influence
and	CC	and
our	PP$	our
brains	NNS	brain
have	VBP	have
limitations	NNS	limitation
too	RB	too
!	SENT	!
We	PP	we
should	MD	should
n’t	RB	n't
take	VB	take
the	DT	the
uncertainty	NN	uncertainty
out	RP	out
of	IN	of
science	NN	science
;	:	;
removing	VBG	remove
all	PDT	all
the	DT	the
gaps	NNS	gap
and	CC	and
presenting	VBG	present
a	DT	a
theory	NN	theory
as	IN	as
fact	NN	fact
sets	VBZ	set
scientists	NNS	scientist
against	IN	against
each	DT	each
and	CC	and
just	RB	just
confuses	VBZ	confuse
people	NNS	people
.	SENT	.
The	DT	the
view	NN	view
that	IN	that
some	DT	some
scientists	NNS	scientist
have	VBP	have
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
manipulate	VB	manipulate
the	DT	the
planet	NN	planet
in	IN	in
order	NN	order
to	TO	to
fix	VB	fix
it	PP	it
is	VBZ	be
another	DT	another
one	CD	one
that	WDT	that
bothers	VBZ	bother
me	PP	me
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
be	VB	be
wary	JJ	wary
of	IN	of
false	JJ	false
solutions	NNS	solution
like	IN	like
geoengineering	NN	geoengineering
.	SENT	.
I	PP	I
’ve	VBP	have
just	RB	just
read	VBN	read
a	DT	a
paper	NN	paper
that	WDT	that
outlines	VBZ	outline
plans	NNS	plan
to	TO	to
pump	VB	pump
cold	JJ	cold
water	NN	water
into	IN	into
the	DT	the
Arctic	NP	Arctic
to	TO	to
try	VB	try
and	CC	and
refreeze	VB	refreeze
the	DT	the
ice-cap	NN	<unknown>
.	SENT	.
It	PP	it
’s	VBZ	be
totally	RB	totally
mad	JJ	mad
!	SENT	!
This	DT	this
old	JJ	old
style	NN	style
of	IN	of
thinking	NN	thinking
believes	VBZ	believe
the	DT	the
Earth	NN	earth
operates	VBZ	operate
like	IN	like
a	DT	a
machine	NN	machine
,	,	,
but	CC	but
that	DT	that
’s	VBZ	be
not	RB	not
how	WRB	how
natural	JJ	natural
systems	NNS	system
operate	VBP	operate
.	SENT	.
You	PP	you
ca	MD	ca
n’t	RB	n't
scale	VB	scale
importance	NN	importance
.	SENT	.
There	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
things	NNS	thing
to	TO	to
be	VB	be
working	VBG	work
on	IN	on
,	,	,
environmental	JJ	environmental
science	NN	science
is	VBZ	be
just	RB	just
the	DT	the
thing	NN	thing
that	WDT	that
’s	VBZ	be
most	RBS	most
appropriate	JJ	appropriate
for	IN	for
me	PP	me
personally	RB	personally
.	SENT	.
It	PP	it
reflects	VBZ	reflect
my	PP$	my
interests	NNS	interest
and	CC	and
passions	NNS	passion
and	CC	and
how	WRB	how
I	PP	I
would	MD	would
like	VB	like
to	TO	to
see	VB	see
the	DT	the
planet	NN	planet
preserved	VBN	preserve
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
These	DT	these
things	NNS	thing
are	VBP	be
all	RB	all
connected	VBN	connect
.	SENT	.
For	IN	for
a	DT	a
scientist	NN	scientist
,	,	,
I	PP	I
think	VBP	think
it	PP	it
’s	VBZ	be
best	JJS	good
to	TO	to
pick	VB	pick
an	DT	an
area	NN	area
that	WDT	that
’s	VBZ	be
most	RBS	most
relevant	JJ	relevant
for	IN	for
you	PP	you
to	TO	to
work	VB	work
in	IN	in
.	SENT	.
Environmental	JJ	environmental
science	NN	science
is	VBZ	be
most	RBS	most
likely	JJ	likely
to	TO	to
be	VB	be
an	DT	an
underrepresented	VBN	underrepresent
field	NN	field
;	:	;
sidelined	VBN	sideline
because	IN	because
it	PP	it
’s	VBZ	be
a	DT	a
complex	JJ	complex
subject	NN	subject
that	WDT	that
’s	VBZ	be
inconvenient	JJ	inconvenient
and	CC	and
difficult	JJ	difficult
,	,	,
and	CC	and
it	PP	it
does	VBZ	do
n’t	RB	n't
bring	VB	bring
financial	JJ	financial
rewards	NNS	reward
.	SENT	.
You	PP	you
do	VBP	do
n’t	RB	n't
necessarily	RB	necessarily
achieve	VB	achieve
fame	NN	fame
by	IN	by
researching	VBG	research
air	NN	air
pollution	NN	pollution
…	NN	<unknown>
We	PP	we
’ve	VBP	have
not	RB	not
been	VBN	be
good	JJ	good
at	IN	at
protecting	VBG	protect
our	PP$	our
environment	NN	environment
so	RB	so
far	RB	far
,	,	,
but	CC	but
I	PP	I
hope	VBP	hope
to	TO	to
see	VB	see
that	DT	that
change	NN	change
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
huge	JJ	huge
privilege	NN	privilege
to	TO	to
be	VB	be
a	DT	a
small	JJ	small
part	NN	part
of	IN	of
this	DT	this
great	JJ	great
continuum	NN	continuum
of	IN	of
people	NNS	people
contributing	VBG	contribute
to	TO	to
increasing	JJ	increasing
humanity	NN	humanity
’s	POS	's
collective	JJ	collective
knowledge	NN	knowledge
about	IN	about
everything	NN	everything
.	SENT	.
Seeing	VBG	see
some	DT	some
of	IN	of
the	DT	the
changes	NNS	change
that	WDT	that
have	VBP	have
already	RB	already
taken	VBN	take
place	NN	place
in	IN	in
the	DT	the
30	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
started	VBD	start
,	,	,
like	IN	like
the	DT	the
London	NP	London
convention	NN	convention
to	TO	to
stop	VB	stop
dumping	VBG	dump
waste	NN	waste
at	IN	at
sea	NN	sea
,	,	,
the	DT	the
Stockholm	NP	Stockholm
convention	NN	convention
to	TO	to
regulate	VB	regulate
organic	JJ	organic
pollutants	NNS	pollutant
,	,	,
and	CC	and
the	DT	the
work	NN	work
the	DT	the
IPCC	NP	<unknown>
is	VBZ	be
doing	VBG	do
to	TO	to
inform	VB	inform
people	NNS	people
about	IN	about
climate	NN	climate
change	NN	change
—	:	-
that	WDT	that
’s	VBZ	be
what	WP	what
brings	VBZ	bring
me	PP	me
hope	VBP	hope
.	SENT	.
There	EX	there
have	VBP	have
always	RB	always
been	VBN	be
thousands	NNS	thousand
of	IN	of
problems	NNS	problem
but	CC	but
we	PP	we
’re	VBP	be
getting	VBG	get
much	RB	much
better	RBR	well
at	IN	at
identifying	VBG	identify
them	PP	them
and	CC	and
addressing	VBG	address
them	PP	them
.	SENT	.
These	DT	these
are	VBP	be
difficult	JJ	difficult
times	NNS	time
to	TO	to
be	VB	be
an	DT	an
environmental	JJ	environmental
scientist	NN	scientist
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
most	RBS	most
powerful	JJ	powerful
leaders	NNS	leader
is	VBZ	be
working	VBG	work
to	TO	to
dismantle	VB	dismantle
significant	JJ	significant
research	NN	research
institutions	NNS	institution
,	,	,
and	CC	and
the	DT	the
spread	NN	spread
of	IN	of
fake	JJ	fake
news	NN	news
has	VBZ	have
made	VBN	make
authentic	JJ	authentic
science	NN	science
more	RBR	more
important	JJ	important
than	IN	than
ever	RB	ever
.	SENT	.
We	PP	we
’re	VBP	be
now	RB	now
taken	VBN	take
far	RB	far
more	RBR	more
seriously	RB	seriously
and	CC	and
not	RB	not
laughed	VBD	laugh
at	IN	at
for	IN	for
caring	VBG	care
about	IN	about
biodiversity	NN	biodiversity
and	CC	and
the	DT	the
need	NN	need
to	TO	to
protect	VB	protect
the	DT	the
natural	JJ	natural
world	NN	world
.	SENT	.
We	PP	we
should	MD	should
n’t	RB	n't
be	VB	be
pessimistic	JJ	pessimistic
that	IN	that
we	PP	we
have	VBP	have
n’t	RB	n't
fixed	VBN	fix
the	DT	the
planet	NN	planet
yet	RB	yet
:	:	:
we	PP	we
’ve	VBP	have
made	VBN	make
significant	JJ	significant
progress	NN	progress
in	IN	in
some	DT	some
areas	NNS	area
,	,	,
and	CC	and
that	WDT	that
gives	VBZ	give
me	PP	me
optimism	NN	optimism
that	IN	that
we	PP	we
can	MD	can
do	VB	do
the	DT	the
same	JJ	same
in	IN	in
others	NNS	other
.	SENT	.
Just	RB	just
stop	VB	stop
and	CC	and
think	VB	think
about	IN	about
the	DT	the
impact	NN	impact
we	PP	we
are	VBP	be
having	VBG	have
on	IN	on
the	DT	the
planet	NN	planet
and	CC	and
systems	NNS	system
around	IN	around
us	PP	us
.	SENT	.
Think	VB	think
about	RB	about
how	WRB	how
you	PP	you
’re	VBP	be
living	VBG	live
your	PP$	your
life	NN	life
;	:	;
how	WRB	how
much	RB	much
waste	VB	waste
you	PP	you
’re	VBP	be
producing	VBG	produce
,	,	,
how	WRB	how
far	RB	far
you	PP	you
’re	VBP	be
travelling	VBG	travel
,	,	,
what	WP	what
food	NN	food
you	PP	you
eat	VBP	eat
,	,	,
what	WP	what
you	PP	you
’re	VBP	be
buying	VBG	buy
—	:	-
it	PP	it
’s	VBZ	be
all	DT	all
significant	JJ	significant
and	CC	and
it	PP	it
can	MD	can
