How	WRB	how
using	VBG	use
land	VB	land
better	JJR	good
is	VBZ	be
a	DT	a
vital	JJ	vital
part	NN	part
of	IN	of
surviving	VBG	survive
the	DT	the
climate	NN	climate
crisis	NN	crisis
It	PP	it
’s	VBZ	be
no	RB	no
secret	JJ	secret
that	IN	that
forests	NNS	forest
,	,	,
grasslands	NNS	grassland
and	CC	and
other	JJ	other
natural	JJ	natural
areas	NNS	area
are	VBP	be
havens	NNS	haven
for	IN	for
wildlife	NN	wildlife
and	CC	and
plant	NN	plant
species	NNS	specie
.	SENT	.
These	DT	these
hotspots	NNS	hotspot
of	IN	of
natural	JJ	natural
richness	NN	richness
contain	VBP	contain
thousands	NNS	thousand
upon	IN	upon
thousands	NNS	thousand
of	IN	of
species	NNS	specie
,	,	,
many	JJ	many
of	IN	of
which	WDT	which
have	VBP	have
yet	RB	yet
to	TO	to
be	VB	be
studied	VBN	study
or	CC	or
even	RB	even
discovered	VBN	discover
by	IN	by
scientists	NNS	scientist
.	SENT	.
As	IN	as
these	DT	these
natural	JJ	natural
landscapes	NNS	landscape
are	VBP	be
converted	VBN	convert
into	IN	into
industrial	JJ	industrial
agricultural	JJ	agricultural
land	NN	land
,	,	,
this	DT	this
richness	NN	richness
is	VBZ	be
being	VBG	be
replaced	VBN	replace
by	IN	by
huge	JJ	huge
areas	NNS	area
dominated	VBN	dominate
by	IN	by
only	RB	only
a	DT	a
few	JJ	few
species	NN	species
–	:	-
domesticated	VBN	domesticate
livestock	NN	livestock
and	CC	and
plantation	NN	plantation
crops	NNS	crop
like	IN	like
palm	NN	palm
oil	NN	oil
and	CC	and
soya	NN	soya
.	SENT	.
Many	JJ	many
wild	JJ	wild
species	NNS	specie
are	VBP	be
being	VBG	be
pushed	VBN	push
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
extinction	NN	extinction
,	,	,
and	CC	and
the	DT	the
recent	JJ	recent
report	NN	report
from	IN	from
the	DT	the
UN	NP	UN
’s	POS	's
IPBES	NP	<unknown>
warns	VBZ	warn
that	IN	that
up	RB	up
to	TO	to
one	CD	one
million	CD	million
species	NN	species
face	NN	face
extinction	NN	extinction
because	IN	because
of	IN	of
human	JJ	human
activity	NN	activity
.	SENT	.
To	TO	to
prevent	VB	prevent
this	DT	this
,	,	,
the	DT	the
relentless	JJ	relentless
expansion	NN	expansion
of	IN	of
industrial	JJ	industrial
agriculture	NN	agriculture
needs	VBZ	need
to	TO	to
be	VB	be
halted	VBN	halt
and	CC	and
natural	JJ	natural
areas	NNS	area
restored	VBN	restore
so	IN	so
they	PP	they
can	MD	can
continue	VB	continue
to	TO	to
support	VB	support
the	DT	the
bewildering	VBG	bewilder
variety	NN	variety
of	IN	of
life	NN	life
found	VBN	find
on	IN	on
our	PP$	our
planet	NN	planet
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
adopting	VBG	adopt
ecological	JJ	ecological
farming	NN	farming
practices	NNS	practice
will	MD	will
reduce	VB	reduce
the	DT	the
use	NN	use
of	IN	of
chemicals	NNS	chemical
like	IN	like
pesticides	NNS	pesticide
–	:	-
good	JJ	good
