“	``	"
The	DT	the
Brazilian	JJ	Brazilian
authorities	NNS	authority
have	VBP	have
abandoned	VBN	abandon
us	PP	us
and	CC	and
are	VBP	be
not	RB	not
doing	VBG	do
their	PP$	their
duties	NNS	duty
to	TO	to
protect	VB	protect
our	PP$	our
land	NN	land
from	IN	from
illegal	JJ	illegal
loggers	NNS	logger
and	CC	and
land	NN	land
grabbers	NNS	grabber
.	SENT	.
Now	RB	now
it	PP	it
’s	VBZ	be
in	IN	in
our	PP$	our
own	JJ	own
hands	NNS	hand
.	SENT	.
”	''	"
That	DT	that
sentence	NN	sentence
was	VBD	be
repeated	VBN	repeat
often	RB	often
during	IN	during
my	PP$	my
first	JJ	first
encounter	NN	encounter
with	IN	with
the	DT	the
Karipuna	NP	<unknown>
people	NNS	people
in	IN	in
February	NP	February
2018	CD	@card@
.	SENT	.
The	DT	the
Karipuna	NP	<unknown>
are	VBP	be
an	DT	an
Indigenous	JJ	indigenous
community	NN	community
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Rondônia	NP	<unknown>
,	,	,
Brazil	NP	Brazil
.	SENT	.
Even	RB	even
though	IN	though
they	PP	they
live	VBP	live
in	IN	in
an	DT	an
officially	RB	officially
protected	VBN	protect
area	NN	area
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
Amazon	NP	Amazon
rainforest	NN	rainforest
,	,	,
only	RB	only
58	CD	@card@
of	IN	of
them	PP	them
remain	VBP	remain
.	SENT	.
Just	RB	just
a	DT	a
few	JJ	few
weeks	NNS	week
before	IN	before
I	PP	I
met	VBD	meet
with	IN	with
them	PP	them
,	,	,
FUNAI	NP	Funai
’s	POS	's
(	(	(
the	DT	the
Brazilian	JJ	Brazilian
governmental	JJ	governmental
agency	NN	agency
for	IN	for
Indigenous	JJ	indigenous
issues	NNS	issue
)	)	)
closest	JJS	close
office	NN	office
had	VBD	have
been	VBN	be
set	VBN	set
on	IN	on
fire	NN	fire
,	,	,
leaving	VBG	leave
the	DT	the
Karipuna	NP	<unknown>
alone	JJ	alone
and	CC	and
vulnerable	JJ	vulnerable
.	SENT	.
This	DT	this
violent	JJ	violent
act	NN	act
is	VBZ	be
just	RB	just
one	CD	one
example	NN	example
of	IN	of
how	WRB	how
alarming	JJ	alarming
their	PP$	their
situation	NN	situation
has	VBZ	have
become	VBN	become
.	SENT	.
Brazil	NP	Brazil
is	VBZ	be
the	DT	the
deadliest	JJS	deadly
country	NN	country
for	IN	for
environmental	JJ	environmental
activists	NNS	activist
and	CC	and
land	NN	land
defenders	NNS	defender
,	,	,
and	CC	and
the	DT	the
Karipuna	NP	<unknown>
themselves	PP	themselves
face	VBP	face
constant	JJ	constant
death	NN	death
threats	NNS	threat
.	SENT	.
The	DT	the
Karipuna	NP	<unknown>
Indigenous	JJ	indigenous
land	NN	land
