When	WRB	when
I	PP	I
think	VBP	think
of	IN	of
the	DT	the
forest	NN	forest
,	,	,
I	PP	I
remember	VBP	remember
playing	VBG	play
in	IN	in
it	PP	it
.	SENT	.
We	PP	we
would	MD	would
build	VB	build
huts	NNS	hut
of	IN	of
sticks	NNS	stick
and	CC	and
moss	NN	moss
,	,	,
and	CC	and
vehicles	NNS	vehicle
from	IN	from
bamboo	NN	bamboo
trees	NNS	tree
.	SENT	.
Getting	VBG	get
lost	VBN	lose
in	IN	in
the	DT	the
forest	NN	forest
was	VBD	be
a	DT	a
real	JJ	real
adventure	NN	adventure
.	SENT	.
We	PP	we
used	VBD	use
to	TO	to
turn	VB	turn
the	DT	the
forest	NN	forest
into	IN	into
a	DT	a
navigation	NN	navigation
game	NN	game
.	SENT	.
We	PP	we
could	MD	could
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
orientation	NN	orientation
without	IN	without
a	DT	a
compass	NN	compass
or	CC	or
a	DT	a
GPS	NP	GPS
.	SENT	.
Joining	VBG	join
the	DT	the
fight	NN	fight
through	IN	through
the	DT	the
forest	NN	forest
campaign	NN	campaign
of	IN	of
Greenpeace	NP	Greenpeace
Africa	NP	Africa
six	CD	six
years	NNS	year
ago	RB	ago
gave	VBD	give
me	PP	me
an	DT	an
opportunity	NN	opportunity
to	TO	to
defend	VB	defend
my	PP$	my
forest	NN	forest
and	CC	and
stand	NN	stand
for	IN	for
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
people	NNS	people
living	VBG	live
here	RB	here
.	SENT	.
Working	VBG	work
with	IN	with
communities	NNS	community
and	CC	and
learning	VBG	learn
to	TO	to
see	VB	see
the	DT	the
forest	NN	forest
through	IN	through
their	PP$	their
eyes	NNS	eye
,	,	,
hearing	VBG	hear
their	PP$	their
cry	NN	cry
the	DT	the
forest	NN	forest
is	VBZ	be
destroyed	VBN	destroy
in	IN	in
the	DT	the
name	NN	name
of	IN	of
“	``	"
development	NN	development
”	''	"
,	,	,
makes	VBZ	make
me	PP	me
more	RBR	more
eager	JJ	eager
to	TO	to
continue	VB	continue
to	TO	to
stand	VB	stand
with	IN	with
them	PP	them
and	CC	and
for	IN	for
their	PP$	their
rights	NNS	right
.	SENT	.
Here	RB	here
in	IN	in
Cameroon	NP	Cameroon
,	,	,
many	JJ	many
of	IN	of
the	DT	the
plantations	NNS	plantation
that	WDT	that
have	VBP	have
replaced	VBN	replace
our	PP$	our
natural	JJ	natural
forests	NNS	forest
are	VBP	be
in	IN	in
fact	NN	fact
tree	NN	tree
monocultures	NNS	monoculture
.	SENT	.
But	CC	but
not	RB	not
everyone	NN	everyone
understands	VBZ	understand
the	DT	the
difference	NN	difference
between	IN	between
a	DT	a
tree	NN	tree
monoculture	NN	monoculture
plantation	NN	plantation
and	CC	and
a	DT	a
natural	JJ	natural
forest	NN	forest
.	SENT	.
Even	RB	even
some	DT	some
governments	NNS	government
.	SENT	.
By	IN	by
replacing	VBG	replace
natural	JJ	natural
forests	NNS	forest
with	IN	with
monoculture	NN	monoculture
tree	NN	tree
plantations	NNS	plantation
,	,	,
not	RB	not
only	RB	only
are	VBP	be
human	JJ	human
communities	NNS	community
and	CC	and
endangered	JJ	endangered
species	NNS	specie
put	VBN	put
at	IN	at
risk	NN	risk
,	,	,
but	CC	but
enormous	JJ	enormous
stocks	NNS	stock
of	IN	of
carbon	NN	carbon
are	VBP	be
released	VBN	release
into	IN	into
the	DT	the
air	NN	air
.	SENT	.
Carbon	NN	carbon
is	VBZ	be
mostly	RB	mostly
stored	VBN	store
in	IN	in
the	DT	the
thick	JJ	thick
stems	NNS	stem
and	CC	and
deep	JJ	deep
roots	NNS	root
of	IN	of
trees	NNS	tree
that	WDT	that
are	VBP	be
hundreds	NNS	hundred
of	IN	of
years	NNS	year
old	JJ	old
.	SENT	.
Planting	VBG	plant
new	JJ	new
trees	NNS	tree
to	TO	to
replace	VB	replace
ancient	JJ	ancient
forests	NNS	forest
is	VBZ	be
not	RB	not
a	DT	a
solution	NN	solution
.	SENT	.
It	PP	it
just	RB	just
serves	VBZ	serve
to	TO	to
greenwash	VB	<unknown>
the	DT	the
