There	EX	there
is	VBZ	be
an	DT	an
old	JJ	old
,	,	,
now	RB	now
iconic	JJ	iconic
,	,	,
Coca-Cola	NP	Coca-Cola
commercial	JJ	commercial
from	IN	from
1971	CD	@card@
,	,	,
called	VBN	call
Hilltop	NN	Hilltop
or	CC	or
as	RB	as
it	PP	it
’s	VBZ	be
more	RBR	more
commonly	RB	commonly
known	VBN	know
as	IN	as
“	``	"
I	PP	I
’d	MD	will
like	VB	like
to	TO	to
buy	VB	buy
the	DT	the
world	NN	world
a	DT	a
Coke	NP	Coke
”	''	"
.	SENT	.
The	DT	the
video	NN	video
features	VBZ	feature
a	DT	a
diverse	JJ	diverse
group	NN	group
of	IN	of
young	JJ	young
people	NNS	people
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
holding	VBG	hold
glass	NN	glass
bottles	NNS	bottle
of	IN	of
Coke	NP	Coke
on	IN	on
a	DT	a
pristine	JJ	pristine
hilltop	NN	hilltop
.	SENT	.
In	IN	in
it	PP	it
they	PP	they
sing	VBP	sing
,	,	,
“	``	"
I	PP	I
’d	MD	will
like	VB	like
to	TO	to
buy	VB	buy
the	DT	the
world	NN	world
a	DT	a
home	NN	home
…	NN	<unknown>
to	TO	to
buy	VB	buy
the	DT	the
world	NN	world
a	DT	a
Coke	NP	Coke
and	CC	and
keep	VB	keep
it	PP	it
company	NN	company
.	SENT	.
It	PP	it
’s	VBZ	be
the	DT	the
real	JJ	real
thing	NN	thing
,	,	,
what	WP	what
the	DT	the
world	NN	world
wants	VBZ	want
today	NN	today
.	SENT	.
”	''	"
If	IN	if
Coca-Cola	NP	Coca-Cola
wants	VBZ	want
to	TO	to
show	VB	show
it	PP	it
cares	VBZ	care
about	IN	about
the	DT	the
communities	NNS	community
who	WP	who
are	VBP	be
being	VBG	be
hit	VBN	hit
hardest	JJS	hard
by	IN	by
the	DT	the
climate	NN	climate
and	CC	and
pollution	NN	pollution
crises	NNS	crisis
,	,	,
it	PP	it
will	MD	will
end	VB	end
the	DT	the
production	NN	production
of	IN	of
plastics	NNS	plastic
;	:	;
production	NN	production
that	WDT	that
disproportionately	RB	disproportionately
harms	VBZ	harm
low	JJ	low
income	NN	income
communities	NNS	community
and	CC	and
communities	NNS	community
of	IN	of
colour	NN	colour
.	SENT	.
Coca-Cola	NP	Coca-Cola
must	MD	must
put	VB	put
its	PP$	its
money	NN	money
where	WRB	where
its	PP$	its
mouth	NN	mouth
is	VBZ	be
and	CC	and
invest	VB	invest
in	IN	in
systems	NNS	system
of	IN	of
reuse	NN	reuse
that	WDT	that
eliminate	VBP	eliminate
the	DT	the
burden	NN	burden
of	IN	of
toxic	JJ	toxic
plastic	JJ	plastic
pollution	NN	pollution
from	IN	from
these	DT	these
communities	NNS	community
so	IN	so
they	PP	they
have	VBP	have
access	NN	access
to	TO	to
cleaner	JJR	clean
air	NN	air
and	CC	and
water	NN	water
,	,	,
and	CC	and
can	MD	can
thrive	VB	thrive
in	IN	in
the	DT	the
communities	NNS	community
they	PP	they
call	VBP	call
home	NN	home
.	SENT	.
If	IN	if
Coca-Cola	NP	Coca-Cola
truly	RB	truly
wants	VBZ	want
to	TO	to
live	VB	live
up	RP	up
to	TO	to
its	PP$	its
climate	NN	climate
commitments	NNS	commitment
,	,	,
it	PP	it
must	MD	must
play	VB	play
no	DT	no
part	NN	part
in	IN	in
fuelling	VBG	fuel
a	DT	a
planned	JJ	planned
fossil	JJ	fossil
fuel	NN	fuel
petrochemical	NN	petrochemical
expansion	NN	expansion
that	WDT	that
risks	VBZ	risk
locking	VBG	lock
us	PP	us
into	IN	into
high	JJ	high
emissions	NNS	emission
and	CC	and
the	DT	the
worst	JJS	bad
impacts	NNS	impact
of	IN	of
climate	NN	climate
change	NN	change
.	SENT	.
It	PP	it
must	MD	must
end	VB	end
its	PP$	its
toxic	JJ	toxic
relationship	NN	relationship
with	IN	with
the	DT	the
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
.	SENT	.
It	PP	it
’s	VBZ	be
time	NN	time
for	IN	for
Coca-Cola	NP	Coca-Cola
to	TO	to
buy	VB	buy
into	IN	into
refill	NN	refill
and	CC	and
reuse	NN	reuse
systems	NNS	system
for	IN	for
its	PP$	its
products	NNS	product
.	SENT	.
We	PP	we
need	VBP	need
real	JJ	real
solutions	NNS	solution
.	SENT	.
It	PP	it
’s	VBZ	be
what	WP	what
the	DT	the
world	NN	world
demands	NNS	demand
today	NN	today
.	SENT	.
Robin	NP	Robin
Flaharty	NP	Flaharty
is	VBZ	be
Plastic	NP	Plastic
Free	NP	Free
Future	JJ	future
campaigner	NN	campaigner
with	IN	with
Greenpeace	NP	Greenpeace
USA	NP	USA
.	SENT	.
At	IN	at
this	DT	this
year	NN	year
’s	POS	's
shareholder	NN	shareholder
meeting	NN	meeting
,	,	,
50	CD	@card@
years	NNS	year
on	RB	on
,	,	,
Coca-Cola	NP	Coca-Cola
wants	VBZ	want
to	TO	to
pretend	VB	pretend
that	IN	that
it	PP	it
’s	VBZ	be
still	RB	still
on	IN	on
that	DT	that
hilltop	NN	hilltop
,	,	,
making	VBG	make
us	PP	us
feel	VBP	feel
refreshed	VBN	refresh
and	CC	and
joyful	JJ	joyful
,	,	,
full	JJ	full
of	IN	of
nostalgia	NN	nostalgia
for	IN	for
its	PP$	its
“	``	"
classic	JJ	classic
”	''	"
brand	NN	brand
.	SENT	.
Meantime	NN	meantime
activists	NNS	activist
around	IN	around
the	DT	the
world	NN	world
are	VBP	be
protesting	VBG	protest
loudly	RB	loudly
–	:	-
pointing	VBG	point
out	RP	out
that	DT	that
thanks	NNS	thanks
to	TO	to
the	DT	the
operations	NNS	operation
of	IN	of
companies	NNS	company
like	IN	like
Coca	NP	Coca
Cola	NP	Cola
–	:	-
the	DT	the
hilltop	NN	hilltop
is	VBZ	be
now	RB	now
not	RB	not
only	RB	only
littered	VBN	litter
with	IN	with
single	JJ	single
use	NN	use
plastic	NN	plastic
bottles	NNS	bottle
,	,	,
but	CC	but
increasingly	RB	increasingly
being	VBG	be
covered	VBN	cover
over	RP	over
with	IN	with
new	JJ	new
fossil	JJ	fossil
fuel	NN	fuel
infrastructure	NN	infrastructure
designed	VBN	design
to	TO	to
make	VB	make
