Something	NN	something
amazing	JJ	amazing
happened	VBD	happen
this	DT	this
past	JJ	past
month	NN	month
.	SENT	.
Plastic	NN	plastic
monsters	NNS	monster
came	VBD	come
to	TO	to
life	NN	life
around	IN	around
the	DT	the
world	NN	world
,	,	,
rising	VBG	rise
up	RP	up
from	IN	from
dirty	JJ	dirty
landfills	NNS	landfill
,	,	,
climbing	VBG	climb
over	IN	over
piles	NNS	pile
of	IN	of
trash	NN	trash
,	,	,
and	CC	and
even	RB	even
swimming	VBG	swim
up	RP	up
and	CC	and
out	RP	out
of	IN	of
seas	NNS	sea
,	,	,
lakes	NNS	lake
,	,	,
and	CC	and
rivers	NNS	river
to	TO	to
make	VB	make
long	RB	long
and	CC	and
sometimes	RB	sometimes
arduous	JJ	arduous
journeys	NNS	journey
back	RB	back
home	RB	home
to	TO	to
their	PP$	their
source	NN	source
.	SENT	.
The	DT	the
next	JJ	next
day	NN	day
,	,	,
April	NP	April
11	CD	@card@
,	,	,
2019	CD	@card@
,	,	,
Greenpeace	NP	Greenpeace
activists	NNS	activist
crashed	VBD	crash
the	DT	the
Nestlé	NP	<unknown>
AGM	NP	AGM
to	TO	to
demand	VB	demand
that	IN	that
Nestlé	NP	<unknown>
end	VB	end
its	PP$	its
reliance	NN	reliance
on	IN	on
single-use	NN	<unknown>
plastic	NN	plastic
,	,	,
and	CC	and
invest	VB	invest
immediately	RB	immediately
in	IN	in
alternative	JJ	alternative
delivery	NN	delivery
systems	NNS	system
based	VBN	base
on	IN	on
refill	NN	refill
and	CC	and
reuse	NN	reuse
.	SENT	.
And	CC	and
on	IN	on
April	NP	April
16	CD	@card@
,	,	,
2019	CD	@card@
,	,	,
plastic	NN	plastic
monsters	NNS	monster
showed	VBD	show
up	RP	up
with	IN	with
Greenpeace	NP	Greenpeace
activists	NNS	activist
at	IN	at
Nestlé	JJ	<unknown>
offices	NNS	office
all	RB	all
around	IN	around
the	DT	the
world	NN	world
!	SENT	!
A	DT	a
plastic	JJ	plastic
monster	NN	monster
appeared	VBD	appear
in	IN	in
Nairobi	NP	Nairobi
,	,	,
Kenya	NP	Kenya
,	,	,
and	CC	and
the	DT	the
#plasticmonster	NN	#plasticmonster
hashtag	NN	<unknown>
was	VBD	be
trending	VBG	trend
on	IN	on
social	JJ	social
media	NNS	medium
in	IN	in
the	DT	the
country	NN	country
.	SENT	.
Also	RB	also
on	IN	on
April	NP	April
16	CD	@card@
,	,	,
2019	CD	@card@
,	,	,
Greenpeace	NP	Greenpeace
Italy	NP	Italy
activists	NNS	activist
protested	VBD	protest
at	IN	at
the	DT	the
San	NP	San
Pellegrino	NP	Pellegrino
plant	NN	plant
,	,	,
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
brand	NN	brand
properties	NNS	property
of	IN	of
Nestlé	NP	<unknown>
.	SENT	.
The	DT	the
giant	JJ	giant
plastic	NN	plastic
monster	NN	monster
finally	RB	finally
arrived	VBD	arrive
home	NN	home
to	TO	to
Nestlé	NP	<unknown>
’s	POS	's
global	JJ	global
headquarters	NN	headquarters
in	IN	in
Switzerland	NP	Switzerland
on	IN	on
April	NP	April
16	CD	@card@
,	,	,
2019	CD	@card@
.	SENT	.
Activists	NNS	activist
also	RB	also
visited	VBD	visit
Nestlé	NP	<unknown>
’s	POS	's
national	JJ	national
office	NN	office
in	IN	in
Ljubljana	NP	Ljubljana
,	,	,
Slovenia	NP	Slovenia
,	,	,
and	CC	and
brought	VBD	bring
back	RB	back
a	DT	a
selection	NN	selection
of	IN	of
Nestlé	NP	<unknown>
’s	POS	's
own	JJ	own
branded	VBN	brand
plastic	NN	plastic
waste	NN	waste
collected	VBN	collect
from	IN	from
Greenpeace	NP	Greenpeace
supporters	NNS	supporter
.	SENT	.
In	IN	in
the	DT	the
U.S.	NP	U.S.
,	,	,
Greenpeace	NP	Greenpeace
activists	NNS	activist
delivered	VBD	deliver
a	DT	a
plastic	JJ	plastic
monster	NN	monster
to	TO	to
Nestlé	NP	<unknown>
’s	POS	's
headquarters	NN	headquarters
in	IN	in
Arlington	NP	Arlington
,	,	,
Virginia	NP	Virginia
.	SENT	.
The	DT	the
monster	NN	monster
vomited	VBN	vomit
Nestlé	NP	<unknown>
’s	POS	's
plastic	JJ	plastic
