There	EX	there
is	VBZ	be
a	DT	a
message	NN	message
often	RB	often
written	VBN	write
on	IN	on
signs	NNS	sign
displayed	VBN	display
at	IN	at
climate	NN	climate
marches	NNS	march
around	IN	around
the	DT	the
world	NN	world
that	WDT	that
reads	VBZ	read
:	:	:
“	``	"
Every	DT	every
disaster	NN	disaster
movie	NN	movie
starts	VBZ	start
with	IN	with
the	DT	the
government	NN	government
ignoring	VBG	ignore
a	DT	a
scientist	NN	scientist
.	SENT	.
”	''	"
The	DT	the
star-studded	JJ	star-studded
Do	VBP	do
n’t	RB	n't
Look	VB	look
Up	RB	up
directed	VBN	direct
by	IN	by
Adam	NP	Adam
McKay	NP	McKay
is	VBZ	be
a	DT	a
satirical	JJ	satirical
film	NN	film
that	WDT	that
focuses	VBZ	focus
on	IN	on
those	DT	those
scientists	NNS	scientist
doing	VBG	do
their	PP$	their
best	RBS	well
not	RB	not
to	TO	to
be	VB	be
ignored	VBN	ignore
.	SENT	.
The	DT	the
myth	NN	myth
of	IN	of
the	DT	the
consumption	NN	consumption
of	IN	of
animal	JJ	animal
protein	NN	protein
for	IN	for
high	JJ	high
physical	JJ	physical
performance	NN	performance
is	VBZ	be
dismantled	VBN	dismantle
in	IN	in
this	DT	this
documentary	NN	documentary
where	WRB	where
Arnold	NP	Arnold
Schwarzenegger	NP	Schwarzenegger
tells	VBZ	tell
how	WRB	how
his	PP$	his
health	NN	health
improved	VBN	improve
after	IN	after
adopting	VBG	adopt
a	DT	a
plant-based	JJ	<unknown>
diet	NN	diet
.	SENT	.
Food	NN	food
for	IN	for
thought	NN	thought
(	(	(
pun	NN	pun
intended	VBN	intend
)	)	)
:	:	:
even	RB	even
Roman	NP	Roman
fighters	NNS	fighter
did	VBD	do
not	RB	not
eat	VB	eat
meat	NN	meat
.	SENT	.
Analyses	NNS	analysis
based	VBN	base
on	IN	on
more	JJR	more
than	IN	than
5000	CD	@card@
bones	NNS	bone
of	IN	of
gladiators	NNS	gladiator
indicate	VBP	indicate
they	PP	they
had	VBD	have
a	DT	a
plant-based	JJ	<unknown>
diet	NN	diet
.	SENT	.
A	DT	a
good	JJ	good
opportunity	NN	opportunity
for	IN	for
us	PP	us
to	TO	to
rethink	VB	rethink
our	PP$	our
meat	NN	meat
consumption	NN	consumption
.	SENT	.
Sexy	JJ	sexy
Killer	NP	Killer
is	VBZ	be
the	DT	the
popular	JJ	popular
environmental	JJ	environmental
documentary	NN	documentary
that	WDT	that
thrilled	VBD	thrill
Indonesia	NP	Indonesia
in	IN	in
2019	CD	@card@
,	,	,
reaching	VBG	reach
30	CD	@card@
million	CD	million
viewers	NNS	viewer
on	IN	on
YouTube	NP	<unknown>
and	CC	and
still	RB	still
being	VBG	be
widely	RB	widely
discussed	VBN	discuss
today	NN	today
.	SENT	.
This	DT	this
film	NN	film
reveals	VBZ	reveal
the	DT	the
adverse	JJ	adverse
effects	NNS	effect
of	IN	of
the	DT	the
coal	NN	coal
industry	NN	industry
in	IN	in
Indonesia	NP	Indonesia
–	:	-
from	IN	from
mining	NN	mining
to	TO	to
shipping	VBG	ship
and	CC	and
burning	VBG	burn
it	PP	it
–	:	-
and	CC	and
also	RB	also
the	DT	the
environment	NN	environment
and	CC	and
the	DT	the
political	JJ	political
scandal	NN	scandal
behind	IN	behind
it	PP	it
.	SENT	.
Why	WRB	why
the	DT	the
name	NN	name
Sexy	JJ	sexy
Killer	NP	Killer
?	SENT	?
“	``	"
Because	IN	because
it	PP	it
’s	VBZ	be
a	DT	a
killer	NN	killer
to	TO	to
society	NN	society
but	CC	but
sexy	JJ	sexy
for	IN	for
the	DT	the
politicians	NNS	politician
”	''	"
.	SENT	.
A	DT	a
group	NN	group
of	IN	of
Australian	JJ	Australian
scientists	NNS	scientist
and	CC	and
photographers	NNS	photographer
are	VBP	be
diving	VBG	dive
around	RP	around
the	DT	the
country	NN	country
looking	VBG	look
for	IN	for
evidence	NN	evidence
that	IN	that
global	JJ	global
warming	NN	warming
is	VBZ	be
killing	VBG	kill
coral	JJ	coral
reefs	NNS	reef
.	SENT	.
Among	IN	among
scientific	JJ	scientific
difficulties	NNS	difficulty
and	CC	and
some	DT	some
unforeseen	JJ	unforeseen
circumstances	NNS	circumstance
,	,	,
the	DT	the
so-called	JJ	so-called
coral	NN	coral
bleaching	VBG	bleach
surprises	NNS	surprise
negatively	RB	negatively
due	JJ	due
to	TO	to
the	DT	the
range	NN	range
and	CC	and
mortality	NN	mortality
of	IN	of
the	DT	the
species	NN	species
.	SENT	.
What	WP	what
could	MD	could
seem	VB	seem
like	IN	like
a	DT	a
story	NN	story
with	IN	with
a	DT	a
tragic	JJ	tragic
ending	NN	ending
turned	VBN	turn
into	IN	into
a	DT	a
network	NN	network
of	IN	of
solidarity	NN	solidarity
in	IN	in
defense	NN	defense
of	IN	of
the	DT	the
oceans	NNS	ocean
.	SENT	.
Spoiler	NN	spoiler
:	:	:
you	PP	you
will	MD	will
cry	VB	cry
seeing	VBG	see
images	NNS	image
of	IN	of
the	DT	the
coral	JJ	coral
reefs	NNS	reef
.	SENT	.
From	IN	from
going	VBG	go
on	IN	on
expeditions	NNS	expedition
with	IN	with
scientists	NNS	scientist
uncovering	VBG	uncover
the	DT	the
reality	NN	reality
of	IN	of
climate	NN	climate
change	NN	change
to	TO	to
meeting	NN	meeting
with	IN	with
political	JJ	political
leaders	NNS	leader
fighting	VBG	fight
against	IN	against
inaction	NN	inaction
,	,	,
this	DT	this
film	NN	film
shows	VBZ	show
Leonardo	NP	Leonardo
DiCaprio	NP	Dicaprio
on	IN	on
a	DT	a
journey	NN	journey
around	IN	around
the	DT	the
world	NN	world
to	TO	to
witness	NN	witness
climate	NN	climate
change	NN	change
firsthand	RB	firsthand
and	CC	and
show	VB	show
how	WRB	how
disinformation	NN	disinformation
campaigns	NNS	campaign
are	VBP	be
orchestrated	VBN	orchestrate
to	TO	to
confuse	VB	confuse
the	DT	the
public	NN	public
about	IN	about
the	DT	the
urgency	NN	urgency
of	IN	of
the	DT	the
growing	VBG	grow
climate	NN	climate
crisis	NN	crisis
.	SENT	.
With	IN	with
unprecedented	JJ	unprecedented
access	NN	access
to	TO	to
thought	VBN	think
leaders	NNS	leader
around	IN	around
the	DT	the
world	NN	world
,	,	,
DiCaprio	NP	Dicaprio
searches	NNS	search
for	IN	for
hope	NN	hope
in	IN	in
a	DT	a
rising	VBG	rise
tide	NN	tide
of	IN	of
catastrophic	JJ	catastrophic
news	NN	news
.	SENT	.
The	DT	the
carbon	NN	carbon
emissions	NNS	emission
from	IN	from
the	DT	the
film	NN	film
were	VBD	be
offset	VBN	offset
through	IN	through
a	DT	a
voluntary	JJ	voluntary
carbon	NN	carbon
tax	NN	tax
.	SENT	.
The	DT	the
film	NN	film
tells	VBZ	tell
the	DT	the
story	NN	story
of	IN	of
the	DT	the
founding	NN	founding
of	IN	of
Greenpeace	NP	Greenpeace
,	,	,
which	WDT	which
came	VBD	come
from	IN	from
an	DT	an
idea	NN	idea
that	WDT	that
seemed	VBD	seem
impossible	JJ	impossible
:	:	:
a	DT	a
rag-tag	NN	rag-tag
group	NN	group
of	IN	of
activists	NNS	activist
went	VBD	go
out	RP	out
on	IN	on
a	DT	a
boat	NN	boat
to	TO	to
prevent	VB	prevent
nuclear	JJ	nuclear
weapons	NNS	weapon
testing	VBG	test
off	RP	off
the	DT	the
coast	NN	coast
of	IN	of
Alaska	NP	Alaska
.	SENT	.
The	DT	the
plan	NN	plan
did	VBD	do
not	RB	not
work	VB	work
,	,	,
but	CC	but
it	PP	it
drew	VBD	draw
the	DT	the
world	NN	world
’s	POS	's
attention	NN	attention
to	TO	to
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
environment	NN	environment
and	CC	and
a	DT	a
call	NN	call
for	IN	for
peace	NN	peace
.	SENT	.
What	WP	what
are	VBP	be
your	PP$	your
favorite	JJ	favorite
films	NNS	film
and	CC	and
series	NN	series
about	IN	about
the	DT	the
environment	NN	environment
?	SENT	?
Share	NN	share
with	IN	with
us	PP	us
in	IN	in
the	DT	the
comments	NNS	comment
below	RB	below
!	SENT	!
Diego	NP	Diego
Gonzaga	NP	Gonzaga
,	,	,
Gaby	NP	Gaby
Flores	NP	Flores
,	,	,
and	CC	and
Chris	NP	Chris
Greenberg	NP	Greenberg
are	VBP	be
Content	JJ	content
Editors	NNS	editor
at	IN	at
Greenpeace	NP	Greenpeace
International	NP	International
The	DT	the
comedy	NN	comedy
—	:	-
which	WDT	which
set	VBD	set
Netflix	NP	<unknown>
viewing	NN	viewing
records	NNS	record
upon	IN	upon
its	PP$	its
streaming	VBG	stream
release	NN	release
and	CC	and
is	VBZ	be
nominated	VBN	nominate
for	IN	for
four	CD	four
Oscars	NNS	Oscar
,	,	,
including	VBG	include
Best	JJS	good
Picture	NN	picture
at	IN	at
