“	``	"
You	PP	you
buy	VBP	buy
furniture	NN	furniture
.	SENT	.
You	PP	you
tell	VBP	tell
yourself	PP	yourself
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
sofa	NN	sofa
I	PP	I
will	MD	will
ever	RB	ever
need	VB	need
in	IN	in
my	PP$	my
life	NN	life
…	NN	<unknown>
Then	RB	then
the	DT	the
right	NN	right
set	VBN	set
of	IN	of
dishes	NNS	dish
.	SENT	.
Then	RB	then
the	DT	the
perfect	JJ	perfect
bed	NN	bed
.	SENT	.
The	DT	the
drapes	NNS	drape
.	SENT	.
The	DT	the
rug	NN	rug
.	SENT	.
Then	RB	then
you	PP	you
’re	VBP	be
trapped	VBN	trap
in	IN	in
your	PP$	your
lovely	JJ	lovely
nest	NN	nest
,	,	,
and	CC	and
the	DT	the
things	NNS	thing
you	PP	you
used	VBD	use
to	TO	to
own	VB	own
,	,	,
now	RB	now
they	PP	they
own	VBP	own
you	PP	you
.	SENT	.
”	''	"
–	:	-
Chuck	NP	Chuck
Palahniuk	NP	<unknown>
,	,	,
Fight	NN	fight
Club	NP	Club
Many	JJ	many
of	IN	of
us	PP	us
live	VBP	live
in	IN	in
a	DT	a
world	NN	world
where	WRB	where
happiness	NN	happiness
is	VBZ	be
the	DT	the
choice	NN	choice
between	IN	between
17	CD	@card@
kinds	NNS	kind
of	IN	of
plastic-bottled	JJ	plastic-bottled
water	NN	water
brands	NNS	brand
,	,	,
even	RB	even
though	IN	though
the	DT	the
same	JJ	same
water	NN	water
is	VBZ	be
coming	VBG	come
out	RP	out
of	IN	of
our	PP$	our
taps	NNS	tap
at	IN	at
home	NN	home
.	SENT	.
We	PP	we
purchase	VBP	purchase
souvenirs	NNS	souvenir
that	WDT	that
are	VBP	be
made	VBN	make
far	RB	far
away	RB	away
from	IN	from
the	DT	the
places	NNS	place
that	IN	that
we	PP	we
bought	VBD	buy
them	PP	them
.	SENT	.
We	PP	we
’re	VBP	be
charmed	VBN	charm
by	IN	by
trinkets	NNS	trinket
and	CC	and
know	VB	know
that	DT	that
anything	NN	anything
of	IN	of
value	NN	value
has	VBZ	have
been	VBN	be
triple-wrapped	VBN	triple-wrap
in	IN	in
titanium	NN	titanium
strength	NN	strength
packaging	NN	packaging
.	SENT	.
We	PP	we
feather	VBP	feather
our	PP$	our
offices	NNS	office
with	IN	with
post-it	NN	<unknown>
notes	NNS	note
and	CC	and
take	VB	take
showers	NNS	shower
that	WDT	that
last	VBP	last
long	RB	long
after	IN	after
we	PP	we
’re	VBP	be
clean	JJ	clean
.	SENT	.
We	PP	we
race	VBP	race
down	RP	down
the	DT	the
aisles	NNS	aisle
,	,	,
an	DT	an
arm	NN	arm
outstretched	VBD	outstretch
,	,	,
sweeping	VBG	sweep
stuff	NN	stuff
off	IN	off
shelves	NNS	shelf
into	IN	into
shopping	NN	shopping
trolleys	NNS	trolley
,	,	,
only	RB	only
vaguely	RB	vaguely
aware	JJ	aware
that	IN	that
more	JJR	more
than	IN	than
a	DT	a
billion	NN	billion
people	NNS	people
worldwide	RB	worldwide
do	VBP	do
n’t	RB	n't
have	VB	have
access	NN	access
to	TO	to
basic	JJ	basic
things	NNS	thing
,	,	,
like	IN	like
water	NN	water
and	CC	and
clothing	NN	clothing
.	SENT	.
We	PP	we
buy	VBP	buy
stuff	NN	stuff
for	IN	for
its	PP$	its
convenience	NN	convenience
without	IN	without
realising	VBG	realise
that	IN	that
its	PP$	its
production	NN	production
and	CC	and
destruction	NN	destruction
are	VBP	be
not	RB	not
convenient	JJ	convenient
at	IN	at
all	DT	all
.	SENT	.
The	DT	the
Story	NN	story
of	IN	of
a	DT	a
Spoon	NP	Spoon
is	VBZ	be
an	DT	an
appeal	NN	appeal
for	IN	for
people	NNS	people
to	TO	to
stop	VB	stop
racing	VBG	race
down	RP	down
the	DT	the
aisles	NNS	aisle
.	SENT	.
To	TO	to
slow	VB	slow
down	RP	down
.	SENT	.
To	TO	to
take	VB	take
a	DT	a
moment	NN	moment
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
the	DT	the
stuff	NN	stuff
we	PP	we
buy	VBP	buy
came	VBD	come
into	IN	into
existence	NN	existence
and	CC	and
what	WP	what
happens	VBZ	happen
to	TO	to
that	DT	that
stuff	NN	stuff
when	WRB	when
we	PP	we
no	RB	no
longer	RBR	longer
have	VB	have
use	NN	use
for	IN	for
it	PP	it
.	SENT	.
It	PP	it
’s	VBZ	be
about	RB	about
asking	VBG	ask
ourselves	PP	ourselves
,	,	,
when	WRB	when
you	PP	you
consider	VBP	consider
the	DT	the
history	NN	history
and	CC	and
future	NN	future
of	IN	of
a	DT	a
thing	NN	thing
,	,	,
is	VBZ	be
there	RB	there
a	DT	a
more	RBR	more
sustainable	JJ	sustainable
alternative	NN	alternative
?	SENT	?
It	PP	it
’s	VBZ	be
about	RB	about
understanding	VBG	understand
our	PP$	our
inter-dependency	NN	inter-dependency
with	IN	with
the	DT	the
natural	JJ	natural
environment	NN	environment
and	CC	and
changing	VBG	change
the	DT	the
way	NN	way
we	PP	we
consume	VBP	consume
for	IN	for
the	DT	the
better	RBR	well
.	SENT	.
We	PP	we
’re	VBP	be
starting	VBG	start
to	TO	to
get	VB	get
it	PP	it
.	SENT	.
Change	NN	change
is	VBZ	be
already	RB	already
underway	JJ	underway
.	SENT	.
We	PP	we
’re	VBP	be
doing	VBG	do
more	RBR	more
reducing	VBG	reduce
,	,	,
more	RBR	more
reusing	VBG	reuse
and	CC	and
more	JJR	more
recycling	NN	recycling
.	SENT	.
More	JJR	more
grocery	NN	grocery
stores	NNS	store
wo	MD	wo
n’t	RB	n't
give	VB	give
you	PP	you
a	DT	a
plastic	JJ	plastic
bag	NN	bag
and	CC	and
more	JJR	more
of	IN	of
us	PP	us
are	VBP	be
exchanging	VBG	exchange
our	PP$	our
clothes	NNS	clothes
or	CC	or
passing	VBG	pass
them	PP	them
on	IN	on
to	TO	to
people	NNS	people
who	WP	who
need	VBP	need
them	PP	them
.	SENT	.
The	DT	the
fact	NN	fact
is	VBZ	be
,	,	,
at	IN	at
a	DT	a
thing	NN	thing
’s	POS	's
beginning	NN	beginning
and	CC	and
at	IN	at
its	PP$	its
end	NN	end
,	,	,
it	PP	it
’s	VBZ	be
up	RB	up
to	TO	to
you	PP	you
.	SENT	.
Are	VBP	be
you	PP	you
up	RP	up
for	IN	for
making	VBG	make
the	DT	the
change	NN	change
?	SENT	?
