When	WRB	when
you	PP	you
think	VBP	think
of	IN	of
‘	``	'
the	DT	the
future	NN	future
of	IN	of
transport	NN	transport
’	''	'
you	PP	you
probably	RB	probably
imagine	VB	imagine
flying	VBG	fly
cars	NNS	car
,	,	,
self-driving	VBG	self-drive
ones	NNS	one
or	CC	or
Knight	NP	Knight
Rider	NP	Rider
(	(	(
if	IN	if
you	PP	you
’re	VBP	be
old	JJ	old
enough	NN	enough
)	)	)
.	SENT	.
But	CC	but
the	DT	the
vision	NN	vision
that	WDT	that
’s	VBZ	have
been	VBN	be
sold	VBN	sell
to	TO	to
us	PP	us
via	IN	via
Hollywood	NP	Hollywood
and	CC	and
the	DT	the
car	NN	car
industry	NN	industry
is	VBZ	be
not	RB	not
sustainable	JJ	sustainable
.	SENT	.
It	PP	it
’s	VBZ	be
high	JJ	high
energy	NN	energy
,	,	,
individualised	VBN	individualise
and	CC	and
profit-driven	JJ	profit-driven
.	SENT	.
And	CC	and
it	PP	it
would	MD	would
mean	VB	mean
a	DT	a
future	NN	future
much	RB	much
like	IN	like
the	DT	the
past	JJ	past
–	:	-
full	JJ	full
of	IN	of
traffic	NN	traffic
jams	NNS	jam
.	SENT	.
There	EX	there
are	VBP	be
caveats	NNS	caveat
though	RB	though
.	SENT	.
These	DT	these
systems	NNS	system
need	VBP	need
to	TO	to
be	VB	be
built	VBN	build
to	TO	to
last	VB	last
,	,	,
with	IN	with
easy	JJ	easy
,	,	,
low-energy	NN	low-energy
mechanisms	NNS	mechanism
to	TO	to
keep	VB	keep
batteries	NNS	battery
charged	VBN	charge
up	RP	up
.	SENT	.
And	CC	and
above	IN	above
all	DT	all
,	,	,
they	PP	they
need	VBP	need
to	TO	to
operate	VB	operate
in	IN	in
the	DT	the
public	JJ	public
interest	NN	interest
–	:	-
integrating	VBG	integrate
into	IN	into
public	JJ	public
transport	NN	transport
systems	NNS	system
without	IN	without
littering	VBG	litter
the	DT	the
streets	NNS	street
or	CC	or
endangering	VBG	endanger
the	DT	the
public	NN	public
.	SENT	.
Trains	NNS	train
,	,	,
buses	NNS	bus
,	,	,
ferries	NNS	ferry
,	,	,
trams	VBZ	tram
–	:	-
these	DT	these
are	VBP	be
the	DT	the
backbones	NNS	backbone
of	IN	of
urban	JJ	urban
transport	NN	transport
.	SENT	.
A	DT	a
bus	NN	bus
can	MD	can
carry	VB	carry
far	RB	far
more	JJR	more
people	NNS	people
than	IN	than
a	DT	a
car	NN	car
,	,	,
which	WDT	which
means	VBZ	mean
it	PP	it
can	MD	can
move	VB	move
far	RB	far
more	JJR	more
people	NNS	people
through	IN	through
a	DT	a
city	NN	city
.	SENT	.
In	IN	in
terms	NNS	term
of	IN	of
space	NN	space
and	CC	and
energy	NN	energy
,	,	,
public	JJ	public
transport	NN	transport
is	VBZ	be
the	DT	the
most	RBS	most
efficient	JJ	efficient
way	NN	way
to	TO	to
move	VB	move
millions	NNS	million
of	IN	of
people	NNS	people
.	SENT	.
And	CC	and
it	PP	it
’s	VBZ	be
a	DT	a
form	NN	form
of	IN	of
a	DT	a
social	JJ	social
safety	NN	safety
net	NN	net
as	IN	as
it	PP	it
liberates	VBZ	liberate
people	NNS	people
on	IN	on
lower	JJR	low
incomes	NNS	income
from	IN	from
the	DT	the
cost	NN	cost
of	IN	of
owning	VBG	own
and	CC	and
maintaining	VBG	maintain
a	DT	a
car	NN	car
.	SENT	.
Cities	NNS	city
like	IN	like
Moscow	NP	Moscow
and	CC	and
Beijing	NP	Beijing
have	VBP	have
public	JJ	public
transport	NN	transport
networks	NNS	network
that	WDT	that
are	VBP	be
so	RB	so
good	JJ	good
they	PP	they
are	VBP	be
famous	JJ	famous
for	IN	for
it	PP	it
.	SENT	.
And	CC	and
other	JJ	other
cities	NNS	city
are	VBP	be
catching	VBG	catch
up	RP	up
.	SENT	.
Auckland	NP	Auckland
in	IN	in
New	NP	New
Zealand	NP	Zealand
recently	RB	recently
revamped	VBD	revamp
its	PP$	its
bus	NN	bus
network	NN	network
with	IN	with
faster	JJR	fast
,	,	,
easier	JJR	easy
connections	NNS	connection
and	CC	and
is	VBZ	be
now	RB	now
on	IN	on
track	NN	track
to	TO	to
double	VB	double
its	PP$	its
bus	NN	bus
passenger	NN	passenger
numbers	NNS	number
within	IN	within
a	DT	a
decade	NN	decade
.	SENT	.
Something	NN	something
no	DT	no
other	JJ	other
city	NN	city
has	VBZ	have
done	VBN	do
!	SENT	!
Cars	NNS	car
are	VBP	be
everywhere	RB	everywhere
in	IN	in
cities	NNS	city
