Earlier	RBR	earlier
this	DT	this
month	NN	month
,	,	,
activists	NNS	activist
from	IN	from
Greenpeace	NP	Greenpeace
Spain	NP	Spain
installed	VBD	install
a	DT	a
12	CD	@card@
metre	NN	metre
long	JJ	long
train	NN	train
model	NN	model
in	IN	in
the	DT	the
Barcelona-El	NP	<unknown>
Prat	NP	Prat
airport	NN	airport
to	TO	to
protest	VB	protest
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
airline	NN	airline
sector	NN	sector
and	CC	and
the	DT	the
planned	JJ	planned
expansion	NN	expansion
of	IN	of
the	DT	the
airport	NN	airport
.	SENT	.
Ensure	VB	ensure
train	NN	train
operators	NNS	operator
have	VBP	have
compatible	JJ	compatible
sales	NNS	sale
systems	NNS	system
so	RB	so
that	IN	that
buying	VBG	buy
a	DT	a
train	NN	train
ticket	NN	ticket
is	VBZ	be
as	RB	as
easy	JJ	easy
as	IN	as
buying	VBG	buy
a	DT	a
plane	NN	plane
ticket	NN	ticket
Facilitate	VBP	facilitate
access	NN	access
to	TO	to
trains	NNS	train
for	IN	for
all	DT	all
people	NNS	people
,	,	,
including	VBG	include
those	DT	those
who	WP	who
travel	VBP	travel
with	IN	with
their	PP$	their
bicycle	NN	bicycle
or	CC	or
pet	NN	pet
.	SENT	.
Mobility	NN	mobility
For	IN	for
All	DT	all
is	VBZ	be
working	VBG	work
in	IN	in
collaboration	NN	collaboration
with	IN	with
allies	NNS	ally
to	TO	to
promote	VB	promote
the	DT	the
benefits	NNS	benefit
of	IN	of
alternative	JJ	alternative
mobility	NN	mobility
for	IN	for
improved	VBN	improve
city	NN	city
life	NN	life
for	IN	for
all	DT	all
city	NN	city
dwellers	NNS	dweller
,	,	,
whatever	WDT	whatever
their	PP$	their
background	NN	background
or	CC	or
socioeconomic	JJ	socioeconomic
status	NN	status
.	SENT	.
The	DT	the
expansion	NN	expansion
of	IN	of
the	DT	the
Barcelona-El	NP	<unknown>
Prat	NP	Prat
airport	NN	airport
would	MD	would
cause	VB	cause
tremendous	JJ	tremendous
damage	NN	damage
to	TO	to
precious	JJ	precious
wetlands	NNS	wetland
and	CC	and
cost	VB	cost
1.7	CD	@card@
million	CD	million
euros	NNS	<unknown>
.	SENT	.
Businesses	NNS	business
and	CC	and
representatives	NNS	representative
promoting	VBG	promote
this	DT	this
project	NN	project
would	MD	would
like	VB	like
people	NNS	people
to	TO	to
believe	VB	believe
that	IN	that
opposing	VBG	oppose
the	DT	the
expansion	NN	expansion
will	MD	will
hurt	VB	hurt
the	DT	the
city	NN	city
and	CC	and
its	PP$	its
inhabitants	NNS	inhabitant
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
true	JJ	true
.	SENT	.
No	DT	no
city	NN	city
can	MD	can
prosper	VB	prosper
based	VBN	base
exclusively	RB	exclusively
on	IN	on
a	DT	a
“	``	"
low	JJ	low
cost	NN	cost
”	''	"
tourism	NN	tourism
model	NN	model
that	WDT	that
negatively	RB	negatively
impacts	VBZ	impact
the	DT	the
population	NN	population
with	IN	with
more	JJR	more
expensive	JJ	expensive
rents	NNS	rent
while	IN	while
devouring	VBG	devour
public	JJ	public
resources	NNS	resource
.	SENT	.
This	DT	this
train	NN	train
model	NN	model
was	VBD	be
designed	VBN	design
to	TO	to
highlight	VB	highlight
the	DT	the
shocking	JJ	shocking
lack	NN	lack
of	IN	of
rail	NN	rail
connectivity	NN	connectivity
among	IN	among
European	JJ	European
countries	NNS	country
and	CC	and
across	IN	across
the	DT	the
continent	NN	continent
.	SENT	.
It	PP	it
will	MD	will
travel	VB	travel
across	IN	across
Europe	NP	Europe
in	IN	in
the	DT	the
coming	VBG	come
months	NNS	month
.	SENT	.
With	IN	with
the	DT	the
arrival	NN	arrival
of	IN	of
summer	NN	summer
in	IN	in
Europe	NP	Europe
,	,	,
the	DT	the
easing	NN	easing
of	IN	of
restrictions	NNS	restriction
means	VBZ	mean
a	DT	a
return	NN	return
to	TO	to
travel	VB	travel
throughout	IN	throughout
the	DT	the
continent	NN	continent
.	SENT	.
However	RB	however
,	,	,
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
lucky	JJ	lucky
enough	RB	enough
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
travel	VB	travel
