On International Women’s Day, Greenpeace is shining a spotlight on inspiring female visual storytellers who are deeply passionate about environmental issues. Through their powerful work, these women bring attention to critical stories of nature, communities, and the planet’s challenges.

Arati Kumar-Rao documents South Asia’s rivers and biodiversity, capturing the intricate connections between water systems and the life they sustain.

Khadija Farah photographs the climate impacts on Zanzibar seaweed farmers, revealing how changing weather patterns affect their livelihoods and the coastal ecosystems they depend on.

Maki Hayashida explores sustainable Japanese landscapes, showcasing innovative ways communities harmonize with nature in a rapidly changing world.

Ore Huiying focuses on Mekong River communities, highlighting the daily lives and environmental pressures faced by those living along this vital waterway.

Eva Verbeeck captures Africa’s climate crisis and U.S. water scarcity, using her lens to illustrate the human and ecological toll of these pressing issues.

Sarah Grohnert films Maori bonds with land, portraying the profound cultural and spiritual relationships indigenous people maintain with their environments.

Priya Thuvassery directs on Indian coral reefs, bringing to light the beauty and fragility of these underwater ecosystems threatened by pollution and warming seas.

Teresa Camou Guerrero documents Mexican corn farmers, emphasizing their traditional practices and the challenges they face in preserving agricultural heritage amid environmental shifts.

Tali Kimelman explores forest bathing, demonstrating the restorative power of immersing in nature and its role in promoting well-being and conservation awareness.

Morgan Trimble focuses on African wildlife conservation, capturing efforts to protect endangered species and habitats across the continent.

These storytellers remind us of the vital role women play in advocating for our planet, using art and imagery to inspire action and change.
