My	PP$	my
upbringing	NN	upbringing
was	VBD	be
in	IN	in
a	DT	a
South	JJ	South
African	JJ	African
township	NN	township
,	,	,
a	DT	a
place	NN	place
that	WDT	that
was	VBD	be
diverse	JJ	diverse
and	CC	and
religiously	RB	religiously
vibrant	JJ	vibrant
,	,	,
yet	RB	yet
also	RB	also
marked	VBN	mark
by	IN	by
cultural	JJ	cultural
insularity	NN	insularity
and	CC	and
a	DT	a
struggle	NN	struggle
with	IN	with
constitutional	JJ	constitutional
diversity	NN	diversity
.	SENT	.
In	IN	in
this	DT	this
context	NN	context
,	,	,
we	PP	we
are	VBP	be
witnessing	VBG	witness
a	DT	a
rise	NN	rise
in	IN	in
hate	NN	hate
crimes	NNS	crime
targeting	VBG	target
the	DT	the
LGBTQIA+	NP	<unknown>
community	NN	community
,	,	,
which	WDT	which
has	VBZ	have
prompted	VBN	prompt
presidential	JJ	presidential
action	NN	action
.	SENT	.
Simultaneously	RB	simultaneously
,	,	,
the	DT	the
effects	NNS	effect
of	IN	of
climate	NN	climate
change	NN	change
are	VBP	be
becoming	VBG	become
undeniable	JJ	undeniable
.	SENT	.
We	PP	we
face	VBP	face
water	NN	water
scarcity	NN	scarcity
,	,	,
climate-induced	JJ	<unknown>
migration	NN	migration
,	,	,
and	CC	and
reduced	VBN	reduce
productivity	NN	productivity
.	SENT	.
Food	NN	food
insecurity	NN	insecurity
and	CC	and
hunger	VBP	hunger
now	RB	now
affect	VB	affect
40	CD	@card@
%	NN	%
of	IN	of
South	JJ	South
Africans	NNS	African
.	SENT	.
These	DT	these
climate	NN	climate
impacts	NNS	impact
,	,	,
such	JJ	such
as	IN	as
droughts	NNS	drought
,	,	,
floods	NNS	flood
,	,	,
and	CC	and
locusts—which	NP	<unknown>
the	DT	the
IPCC	NP	<unknown>
reports	NNS	report
confirm—are	NN	<unknown>
being	VBG	be
framed	VBN	frame
as	IN	as
signs	NNS	sign
of	IN	of
the	DT	the
"	``	"
end	NN	end
times	NNS	time
.	SENT	.
"	``	"
Religion	NN	religion
is	VBZ	be
being	VBG	be
used	VBN	use
as	IN	as
a	DT	a
tool	NN	tool
for	IN	for
manipulation	NN	manipulation
,	,	,
diverting	VBG	divert
blame	NN	blame
for	IN	for
these	DT	these
crises	NNS	crisis
.	SENT	.
Instead	RB	instead
of	IN	of
holding	VBG	hold
corporate	JJ	corporate
greed	NN	greed
accountable	JJ	accountable
,	,	,
blame	NN	blame
is	VBZ	be
shifted	VBN	shift
onto	IN	onto
marginalized	VBN	marginalize
groups	NNS	group
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
need	NN	need
for	IN	for
grassroots	NNS	grassroots
sensitization	NN	sensitization
to	TO	to
counter	VB	counter
this	DT	this
narrative	NN	narrative
.	SENT	.
We	PP	we
must	MD	must
call	VB	call
for	IN	for
equitable	JJ	equitable
futures	NNS	future
that	WDT	that
prioritize	VBP	<unknown>
people	NNS	people
over	IN	over
profit	NN	profit
.	SENT	.
