Quack	UH	quack
Pirihi	NP	<unknown>
,	,	,
an	DT	an
Aotearoa	NP	<unknown>
activist	NN	activist
with	IN	with
Ngāpuhi	NP	<unknown>
,	,	,
Ngāti	NP	<unknown>
Wai	NP	Wai
,	,	,
Ngati	NP	<unknown>
Porou	NP	<unknown>
,	,	,
and	CC	and
Ngāti	NP	<unknown>
Whatua	NP	<unknown>
o	NN	o
Kaipara	NP	<unknown>
heritage	NN	heritage
,	,	,
is	VBZ	be
attending	VBG	attend
the	DT	the
ISA	NP	Isa
conference	NN	conference
in	IN	in
Jamaica	NP	Jamaica
.	SENT	.
She	PP	she
travelled	VBD	travel
with	IN	with
Pacific	JJ	Pacific
activists	NNS	activist
aboard	IN	aboard
Greenpeace	NP	Greenpeace
’s	POS	's
Arctic	NP	Arctic
Sunrise	NN	sunrise
to	TO	to
address	VB	address
the	DT	the
stakes	NNS	stake
Indigenous	JJ	indigenous
peoples	NNS	people
have	VBP	have
in	IN	in
deep	JJ	deep
sea	NN	sea
mining	NN	mining
.	SENT	.
Pirihi	NP	<unknown>
emphasizes	VBZ	emphasize
the	DT	the
cultural	JJ	cultural
connections	NNS	connection
to	TO	to
both	DT	both
land	NN	land
and	CC	and
ocean	NN	ocean
.	SENT	.
She	PP	she
warns	VBZ	warn
that	IN	that
deep	JJ	deep
sea	NN	sea
mining	NN	mining
exacerbates	VBZ	exacerbate
the	DT	the
impacts	NNS	impact
of	IN	of
colonization	NN	colonization
,	,	,
such	JJ	such
as	IN	as
incarceration	NN	incarceration
,	,	,
mental	JJ	mental
illness	NN	illness
,	,	,
and	CC	and
systemic	JJ	systemic
failures	NNS	failure
.	SENT	.
These	DT	these
impacts	NNS	impact
,	,	,
she	PP	she
states	VBZ	state
,	,	,
hinder	VB	hinder
the	DT	the
processes	NNS	process
of	IN	of
healing	NN	healing
and	CC	and
liberation	NN	liberation
for	IN	for
her	PP$	her
people	NNS	people
.	SENT	.
Guided	VBN	guide
by	IN	by
her	PP$	her
ancestors	NNS	ancestor
,	,	,
Pirihi	NP	<unknown>
advocates	NNS	advocate
for	IN	for
solidarity	NN	solidarity
,	,	,
maintaining	VBG	maintain
a	DT	a
presence	NN	presence
in	IN	in
international	JJ	international
spaces	NNS	space
,	,	,
and	CC	and
employing	VBG	employ
playful	JJ	playful
protest	NN	protest
.	SENT	.
She	PP	she
notes	VBZ	note
that	IN	that
when	WRB	when
outsiders	NNS	outsider
fail	VBP	fail
to	TO	to
observe	VB	observe
proper	JJ	proper
protocols	NNS	protocol
like	IN	like
karakia	NN	<unknown>
and	CC	and
karanga	NN	<unknown>
,	,	,
they	PP	they
undermine	VBP	undermine
mana	NN	mana
and	CC	and
intrude	VB	intrude
.	SENT	.
While	IN	while
Papatūānuku	NP	<unknown>
has	VBZ	have
the	DT	the
ability	NN	ability
to	TO	to
cleanse	VB	cleanse
,	,	,
mining	NN	mining
poses	VBZ	pose
a	DT	a
threat	NN	threat
to	TO	to
livelihoods	NNS	livelihood
and	CC	and
to	TO	to
Māori	NP	<unknown>
identity	NN	identity
,	,	,
which	WDT	which
is	VBZ	be
intrinsically	RB	intrinsically
tied	VBN	tie
to	TO	to
the	DT	the
moana	NN	<unknown>
.	SENT	.
