Our	PP$	our
human	JJ	human
population	NN	population
has	VBZ	have
reached	VBN	reach
8	CD	@card@
billion	NNS	billion
,	,	,
and	CC	and
with	IN	with
over	IN	over
half	NN	half
of	IN	of
us	PP	us
living	VBG	live
in	IN	in
cities	NNS	city
,	,	,
the	DT	the
urban	JJ	urban
landscape	NN	landscape
has	VBZ	have
a	DT	a
huge	JJ	huge
impact	NN	impact
.	SENT	.
Cities	NNS	city
produce	VBP	produce
70	CD	@card@
%	NN	%
of	IN	of
CO2	JJ	<unknown>
emissions	NNS	emission
and	CC	and
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
drive	VB	drive
radical	JJ	radical
climate	NN	climate
transformations	NNS	transformation
.	SENT	.
Over	IN	over
the	DT	the
next	JJ	next
30	CD	@card@
years	NNS	year
,	,	,
urban	JJ	urban
growth	NN	growth
will	MD	will
be	VB	be
concentrated	VBN	concentrate
in	IN	in
Africa	NP	Africa
,	,	,
Asia	NP	Asia
,	,	,
Latin	NP	Latin
America	NP	America
,	,	,
and	CC	and
the	DT	the
Caribbean	NP	Caribbean
.	SENT	.
These	DT	these
are	VBP	be
regions	NNS	region
where	WRB	where
cities	NNS	city
already	RB	already
face	VBP	face
significant	JJ	significant
social	JJ	social
and	CC	and
climate	NN	climate
challenges	NNS	challenge
.	SENT	.
A	DT	a
justice-centered	JJ	<unknown>
approach	NN	approach
to	TO	to
climate	NN	climate
change	NN	change
is	VBZ	be
essential	JJ	essential
,	,	,
one	CD	one
that	WDT	that
requires	VBZ	require
protecting	VBG	protect
and	CC	and
including	VBG	include
marginalized	VBN	marginalize
people	NNS	people
.	SENT	.
We	PP	we
are	VBP	be
gathering	VBG	gather
voices	NNS	voice
from	IN	from
individuals	NNS	individual
in	IN	in
frontline	NN	frontline
cities	NNS	city
who	WP	who
are	VBP	be
working	VBG	work
to	TO	to
create	VB	create
healthier	JJR	healthy
,	,	,
greener	JJR	green
urban	JJ	urban
spaces	NNS	space
.	SENT	.
Urban	NP	Urban
Justice	NP	Justice
means	VBZ	mean
addressing	VBG	address
inequalities	NNS	inequality
intersectionally	RB	intersectionally
.	SENT	.
It	PP	it
involves	VBZ	involve
recognizing	VBG	recognize
local	JJ	local
solutions	NNS	solution
to	TO	to
build	VB	build
new	JJ	new
models	NNS	model
that	WDT	that
are	VBP	be
centered	VBN	center
on	IN	on
both	DT	both
climate	NN	climate
and	CC	and
social	JJ	social
justice	NN	justice
.	SENT	.
It	PP	it
is	VBZ	be
also	RB	also
about	IN	about
grassroots	NNS	grassroots
movements	NNS	movement
pushing	VBG	push
for	IN	for
inclusion	NN	inclusion
in	IN	in
decision-making	NN	decision-making
processes	NNS	process
.	SENT	.
What	WP	what
does	VBZ	do
#UrbanJustice	NN	#Urbanjustice
mean	VB	mean
to	TO	to
you	PP	you
?	SENT	?
