My	PP$	my
first	JJ	first
sea	NN	sea
action	NN	action
was	VBD	be
aboard	IN	aboard
the	DT	the
Greenpeace	NP	Greenpeace
ship	NN	ship
Arctic	NP	Arctic
Sunrise	NN	sunrise
,	,	,
where	WRB	where
we	PP	we
protested	VBD	protest
Shell	NP	Shell
's	POS	's
"	``	"
red	JJ	red
monster	NN	monster
"	``	"
FPSO	NP	<unknown>
as	IN	as
it	PP	it
headed	VBD	head
to	TO	to
extract	VB	extract
oil	NN	oil
from	IN	from
the	DT	the
Penguins	NNS	penguin
field	NN	field
in	IN	in
the	DT	the
North	NP	North
Sea	NP	Sea
.	SENT	.
I	PP	I
felt	VBD	feel
scared	RB	scared
yet	RB	yet
excited	VBN	excite
.	SENT	.
I	PP	I
was	VBD	be
angry	JJ	angry
at	IN	at
the	DT	the
greed	NN	greed
of	IN	of
the	DT	the
fossil	JJ	fossil
fuel	NN	fuel
industry	NN	industry
and	CC	and
the	DT	the
inaction	NN	inaction
of	IN	of
governments	NNS	government
that	WDT	that
cause	VBP	cause
avertable	JJ	<unknown>
disasters	NNS	disaster
in	IN	in
places	NNS	place
like	IN	like
Cameroon	NP	Cameroon
.	SENT	.
I	PP	I
also	RB	also
worried	VBD	worry
about	IN	about
the	DT	the
climate	NN	climate
impacts	NNS	impact
on	IN	on
future	JJ	future
generations	NNS	generation
.	SENT	.
Despite	IN	despite
suffering	VBG	suffer
from	IN	from
seasickness	NN	seasickness
,	,	,
I	PP	I
found	VBD	find
elation	NN	elation
in	IN	in
the	DT	the
global	JJ	global
resistance	NN	resistance
.	SENT	.
Communities	NNS	community
,	,	,
women	NNS	woman
,	,	,
and	CC	and
youth	NN	youth
are	VBP	be
demanding	VBG	demand
an	DT	an
end	NN	end
to	TO	to
fossil	JJ	fossil
fuels	NNS	fuel
,	,	,
accountability	NN	accountability
for	IN	for
loss	NN	loss
and	CC	and
damage	NN	damage
,	,	,
and	CC	and
a	DT	a
just	JJ	just
transition	NN	transition
to	TO	to
clean	VB	clean
energy	NN	energy
.	SENT	.
