There	EX	there
is	VBZ	be
an	DT	an
African	JJ	African
concept	NN	concept
known	VBN	know
as	IN	as
"	``	"
Ubuntu	NP	<unknown>
,	,	,
"	''	"
which	WDT	which
speaks	VBZ	speak
to	TO	to
a	DT	a
universal	JJ	universal
bond	NN	bond
connecting	VBG	connect
all	RB	all
of	IN	of
humanity	NN	humanity
for	IN	for
our	PP$	our
collective	JJ	collective
salvation	NN	salvation
.	SENT	.
This	DT	this
idea	NN	idea
is	VBZ	be
central	JJ	central
to	TO	to
the	DT	the
Greenpeace	NP	Greenpeace
Alternative	NP	Alternative
Futures	NPS	Futures
Project	NP	Project
.	SENT	.
As	IN	as
part	NN	part
of	IN	of
this	DT	this
initiative	NN	initiative
,	,	,
young	JJ	young
artists	NNS	artist
from	IN	from
countries	NNS	country
like	IN	like
Zambia	NP	Zambia
,	,	,
South	NP	South
Africa	NP	Africa
,	,	,
Chile	NP	Chile
,	,	,
Kenya	NP	Kenya
,	,	,
Indonesia	NP	Indonesia
,	,	,
Panama	NP	Panama
,	,	,
and	CC	and
Australia	NP	Australia
used	VBN	use
AI	VBP	ai
to	TO	to
visualize	VB	visualize
green	JJ	green
and	CC	and
fair	JJ	fair
futures	NNS	future
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
global	JJ	global
inequality	NN	inequality
.	SENT	.
The	DT	the
artists	NNS	artist
shared	VBD	share
their	PP$	their
visions	NNS	vision
of	IN	of
diversity	NN	diversity
,	,	,
community	NN	community
,	,	,
and	CC	and
potential	JJ	potential
.	SENT	.
Their	PP$	their
personal	JJ	personal
inspirations	NNS	inspiration
were	VBD	be
reflected	VBN	reflect
in	IN	in
quotes	NNS	quote
,	,	,
which	WDT	which
also	RB	also
touched	VBD	touch
upon	IN	upon
the	DT	the
role	NN	role
of	IN	of
AI	NN	ai
in	IN	in
democratizing	VBG	democratize
creativity	NN	creativity
.	SENT	.
Ultimately	RB	ultimately
,	,	,
the	DT	the
project	NN	project
encourages	VBZ	encourage
us	PP	us
all	DT	all
to	TO	to
dare	VB	dare
to	TO	to
dream	VB	dream
together	RB	together
for	IN	for
a	DT	a
better	JJR	good
world	NN	world
that	WDT	that
respects	VBZ	respect
people	NNS	people
and	CC	and
the	DT	the
earth	NN	earth
.	SENT	.
