We	PP	we
are	VBP	be
in	IN	in
a	DT	a
biodiversity	NN	biodiversity
crisis	NN	crisis
.	SENT	.
One	CD	one
million	CD	million
species	NNS	specie
are	VBP	be
threatened	VBN	threaten
with	IN	with
extinction	NN	extinction
due	JJ	due
to	TO	to
deforestation	NN	deforestation
,	,	,
overfishing	NN	overfishing
,	,	,
and	CC	and
resource	NN	resource
extraction	NN	extraction
.	SENT	.
The	DT	the
Convention	NN	convention
on	IN	on
Biological	JJ	biological
Diversity	NN	diversity
has	VBZ	have
suffered	VBN	suffer
from	IN	from
weak	JJ	weak
implementation	NN	implementation
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
need	NN	need
for	IN	for
clear	JJ	clear
mechanisms	NNS	mechanism
to	TO	to
address	VB	address
this	DT	this
.	SENT	.
At	IN	at
COP15	NP	<unknown>
,	,	,
rich	JJ	rich
countries	NNS	country
in	IN	in
the	DT	the
Global	NP	Global
North	NP	North
must	MD	must
provide	VB	provide
funding	NN	funding
for	IN	for
ecosystem	NN	ecosystem
protection	NN	protection
in	IN	in
the	DT	the
Global	NP	Global
South	NP	South
.	SENT	.
A	DT	a
$700	JJ	<unknown>
billion	NN	billion
finance	NN	finance
gap	NN	gap
needs	VBZ	need
to	TO	to
be	VB	be
closed	VBN	close
,	,	,
which	WDT	which
can	MD	can
be	VB	be
achieved	VBN	achieve
by	IN	by
redirecting	VBG	redirect
harmful	JJ	harmful
subsidies	NNS	subsidy
.	SENT	.
Key	JJ	Key
demands	NNS	demand
include	VBP	include
the	DT	the
recognition	NN	recognition
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
'	POS	'
rights	NNS	right
,	,	,
who	WP	who
are	VBP	be
the	DT	the
stewards	NNS	steward
of	IN	of
80	CD	@card@
%	NN	%
of	IN	of
the	DT	the
world	NN	world
's	POS	's
remaining	VBG	remain
biodiversity	NN	biodiversity
.	SENT	.
The	DT	the
approach	NN	approach
of	IN	of
fortress	NN	fortress
conservation	NN	conservation
must	MD	must
be	VB	be
rejected	VBN	reject
.	SENT	.
A	DT	a
30x30	JJ	<unknown>
target	NN	target
should	MD	should
be	VB	be
adopted	VBN	adopt
to	TO	to
conserve	VB	conserve
30	CD	@card@
%	NN	%
of	IN	of
land	NN	land
and	CC	and
water	NN	water
by	IN	by
2030	CD	@card@
,	,	,
with	IN	with
Indigenous	JJ	indigenous
and	CC	and
local	JJ	local
communities	NNS	community
at	IN	at
the	DT	the
center	NN	center
of	IN	of
this	DT	this
effort	NN	effort
.	SENT	.
