Our	PP$	our
societal	JJ	societal
view	NN	view
of	IN	of
mobility	NN	mobility
,	,	,
shaped	VBN	shape
by	IN	by
cars	NNS	car
,	,	,
oil	NN	oil
,	,	,
and	CC	and
marketing	NN	marketing
,	,	,
champions	VBZ	champion
individual	JJ	individual
freedom	NN	freedom
and	CC	and
status	NN	status
while	IN	while
ignoring	VBG	ignore
the	DT	the
long-term	JJ	long-term
consequences	NNS	consequence
.	SENT	.
This	DT	this
has	VBZ	have
led	VBN	lead
to	TO	to
pollution	NN	pollution
,	,	,
streets	NNS	street
that	WDT	that
are	VBP	be
unsafe	JJ	unsafe
for	IN	for
children	NNS	child
,	,	,
and	CC	and
significant	JJ	significant
climate	NN	climate
damage	NN	damage
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
stark	JJ	stark
inequality	NN	inequality
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
this	DT	this
system	NN	system
.	SENT	.
Wealthier	JJR	wealthy
people	NNS	people
are	VBP	be
disproportionately	RB	disproportionately
responsible	JJ	responsible
for	IN	for
emissions	NNS	emission
,	,	,
but	CC	but
everyone	NN	everyone
suffers	VBZ	suffer
from	IN	from
the	DT	the
resulting	VBG	result
air	NN	air
pollution	NN	pollution
,	,	,
accidents	NNS	accident
,	,	,
and	CC	and
environmental	JJ	environmental
loss	NN	loss
.	SENT	.
In	IN	in
the	DT	the
post-COVID	JJ	<unknown>
world	NN	world
,	,	,
we	PP	we
have	VBP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
push	VB	push
for	IN	for
systemic	JJ	systemic
change	NN	change
toward	IN	toward
a	DT	a
more	RBR	more
resilient	JJ	resilient
form	NN	form
of	IN	of
mobility	NN	mobility
.	SENT	.
This	DT	this
future	NN	future
includes	VBZ	include
safe	JJ	safe
walking	NN	walking
and	CC	and
cycling	NN	cycling
infrastructure	NN	infrastructure
,	,	,
accessible	JJ	accessible
public	JJ	public
transport	NN	transport
,	,	,
and	CC	and
the	DT	the
use	NN	use
of	IN	of
electric	JJ	electric
cars	NNS	car
for	IN	for
necessities	NNS	necessity
,	,	,
not	RB	not
for	IN	for
status-symbol	NN	status-symbol
SUVs	NP	<unknown>
.	SENT	.
It	PP	it
prioritizes	VBZ	<unknown>
affordable	JJ	affordable
trains	NNS	train
over	IN	over
flights	NNS	flight
and	CC	and
the	DT	the
creation	NN	creation
of	IN	of
more	JJR	more
green	JJ	green
spaces	NNS	space
.	SENT	.
Mobility	NN	mobility
should	MD	should
be	VB	be
treated	VBN	treat
as	IN	as
a	DT	a
sustainable	JJ	sustainable
common	JJ	common
good	NN	good
,	,	,
one	CD	one
that	WDT	that
prioritizes	VBZ	<unknown>
society	NN	society
,	,	,
autonomy	NN	autonomy
,	,	,
and	CC	and
cohesion	NN	cohesion
.	SENT	.
