Our	PP$	our
economic	JJ	economic
system	NN	system
,	,	,
a	DT	a
system	NN	system
of	IN	of
"	``	"
Fossil	JJ	fossil
Capital	NN	capital
,	,	,
"	''	"
prioritizes	VBZ	<unknown>
endless	JJ	endless
growth	NN	growth
over	IN	over
the	DT	the
well-being	NN	well-being
of	IN	of
people	NNS	people
and	CC	and
the	DT	the
planet	NN	planet
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
system	NN	system
that	WDT	that
plunders	VBZ	plunder
resources	NNS	resource
,	,	,
oppresses	VBZ	oppress
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
,	,	,
and	CC	and
deepens	VBZ	deepen
both	DT	both
inequality	NN	inequality
and	CC	and
the	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
all	RB	all
fueled	VBN	fuel
by	IN	by
a	DT	a
dependency	NN	dependency
on	IN	on
fossil	JJ	fossil
fuels	NNS	fuel
.	SENT	.
The	DT	the
2008	CD	@card@
financial	JJ	financial
crisis	NN	crisis
gave	VBD	give
rise	NN	rise
to	TO	to
austerity	NN	austerity
measures	NNS	measure
that	WDT	that
sacrificed	VBD	sacrifice
the	DT	the
future	NN	future
,	,	,
creating	VBG	create
crises	NNS	crisis
that	WDT	that
have	VBP	have
now	RB	now
been	VBN	be
worsened	VBN	worsen
by	IN	by
the	DT	the
COVID-19	NP	<unknown>
pandemic	NN	pandemic
.	SENT	.
In	IN	in
this	DT	this
system	NN	system
,	,	,
the	DT	the
most	RBS	most
oppressed	VBN	oppress
communities	NNS	community
bear	VBP	bear
the	DT	the
heaviest	JJS	heavy
burden	NN	burden
,	,	,
while	IN	while
the	DT	the
powerful	JJ	powerful
continue	VBP	continue
to	TO	to
benefit	VB	benefit
.	SENT	.
The	DT	the
impacts	NNS	impact
are	VBP	be
devastating	JJ	devastating
and	CC	and
widespread	JJ	widespread
.	SENT	.
We	PP	we
see	VBP	see
climate	NN	climate
deaths	NNS	death
,	,	,
increasing	VBG	increase
hardship	NN	hardship
for	IN	for
youth	NN	youth
,	,	,
women	NNS	woman
,	,	,
and	CC	and
low-income	JJ	low-income
communities	NNS	community
,	,	,
and	CC	and
a	DT	a
tragic	JJ	tragic
loss	NN	loss
of	IN	of
biodiversity	NN	biodiversity
.	SENT	.
As	IN	as
activist	JJ	activist
Kaossara	NP	<unknown>
Sani	NP	Sani
has	VBZ	have
urged	VBN	urge
,	,	,
it	PP	it
is	VBZ	be
time	NN	time
for	IN	for
action	NN	action
.	SENT	.
We	PP	we
must	MD	must
break	VB	break
the	DT	the
system	NN	system
that	WDT	that
is	VBZ	be
failing	VBG	fail
us	PP	us
.	SENT	.
It	PP	it
is	VBZ	be
time	NN	time
to	TO	to
launch	VB	launch
a	DT	a
#FossilFreeRevolution	NN	#FossilFreerevolution
.	SENT	.
