Our	PP$	our
report	NN	report
,	,	,
"	''	"
Justice	NP	Justice
for	IN	for
People	NP	People
and	CC	and
Planet	NP	Planet
,	,	,
"	''	"
details	VBZ	detail
20	CD	@card@
case	NN	case
studies	NNS	study
that	WDT	that
highlight	VBP	highlight
corporate	JJ	corporate
abuses	NNS	abuse
of	IN	of
human	JJ	human
and	CC	and
environmental	JJ	environmental
rights	NNS	right
.	SENT	.
These	DT	these
cases	NNS	case
cover	VBP	cover
issues	NNS	issue
such	JJ	such
as	IN	as
deforestation	NN	deforestation
,	,	,
pollution	NN	pollution
,	,	,
and	CC	and
violations	NNS	violation
of	IN	of
Indigenous	JJ	indigenous
rights	NNS	right
.	SENT	.
The	DT	the
report	NN	report
attributes	VBZ	attribute
these	DT	these
abuses	NNS	abuse
to	TO	to
significant	JJ	significant
governance	NN	governance
gaps	NNS	gap
in	IN	in
global	JJ	global
economic	JJ	economic
rules	NNS	rule
.	SENT	.
These	DT	these
gaps	NNS	gap
are	VBP	be
not	RB	not
accidental	JJ	accidental
;	:	;
they	PP	they
are	VBP	be
enabled	VBN	enable
by	IN	by
political	JJ	political
choices	NNS	choice
and	CC	and
the	DT	the
corporate	JJ	corporate
capture	NN	capture
of	IN	of
institutions	NNS	institution
.	SENT	.
To	TO	to
address	VB	address
this	DT	this
,	,	,
we	PP	we
have	VBP	have
proposed	VBN	propose
10	CD	@card@
Principles	NNS	principle
for	IN	for
Corporate	JJ	corporate
Accountability	NN	accountability
.	SENT	.
The	DT	the
core	NN	core
of	IN	of
these	DT	these
principles	NNS	principle
is	VBZ	be
the	DT	the
need	NN	need
to	TO	to
put	VB	put
people	NNS	people
and	CC	and
the	DT	the
environment	NN	environment
ahead	RB	ahead
of	IN	of
corporations	NNS	corporation
.	SENT	.
They	PP	they
advocate	VBP	advocate
for	IN	for
binding	JJ	binding
rules	NNS	rule
,	,	,
mandatory	JJ	mandatory
due	JJ	due
diligence	NN	diligence
,	,	,
transparency	NN	transparency
,	,	,
and	CC	and
clear	JJ	clear
liability	NN	liability
for	IN	for
corporations	NNS	corporation
.	SENT	.
Furthermore	RB	furthermore
,	,	,
the	DT	the
principles	NNS	principle
call	VBP	call
for	IN	for
guaranteed	VBN	guarantee
access	NN	access
to	TO	to
remedy	VB	remedy
for	IN	for
victims	NNS	victim
and	CC	and
effective	JJ	effective
enforcement	NN	enforcement
.	SENT	.
There	EX	there
are	VBP	be
positive	JJ	positive
examples	NNS	example
showing	VBG	show
that	IN	that
change	NN	change
is	VBZ	be
possible	JJ	possible
.	SENT	.
These	DT	these
include	VBP	include
France	NP	France
's	POS	's
laws	NNS	law
on	IN	on
risk	NN	risk
prevention	NN	prevention
,	,	,
a	DT	a
referendum	NN	referendum
that	WDT	that
took	VBD	take
place	NN	place
in	IN	in
Switzerland	NP	Switzerland
,	,	,
and	CC	and
the	DT	the
UK	NP	UK
's	POS	's
Modern	NP	Modern
Slavery	NN	slavery
Act	NP	Act
.	SENT	.
While	IN	while
Greenpeace	NP	Greenpeace
's	POS	's
work	NN	work
involves	VBZ	involve
exposing	JJ	exposing
misdeeds	NNS	misdeed
,	,	,
we	PP	we
also	RB	also
praise	VBP	praise
positive	JJ	positive
corporate	JJ	corporate
actions	NNS	action
and	CC	and
are	VBP	be
focused	VBN	focus
on	IN	on
offering	NN	offering
alternatives	NNS	alternative
.	SENT	.
